Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar			
0333	Zeta Cygni	???????-?					-	-	-	?12	12	Na	G8 III D			
0337		???????-?					-	-	-	?02	11	Na	F4 V			
0338		???????-?					-	-	-	?32	17	Na	G6 V			
0340		???????-?					-	-	-	?00	7	Na	G5 V			
0432		???????-?					-	-	-	?14	12	Na	M1 V			
0440		???????-?					-	-	-	?10	8	Na	M0 V M9 V			
0531		???????-?					-	-	-	?13	13	Na	G6 V			
0533		???????-?					-	-	-	?01	8	Na	G7 V M3 V			
0534		???????-?					-	-	-	?00	5	Na	F8 V M1 V M6 V			
0536		???????-?					-	-	-	?03	9	Na	G2 V			
0537		???????-?					-	-	-	?13	9	Na	M0 V M5 V			
0540		???????-?					-	-	-	?22	13	Na	K6 V M4 V			
0633		???????-?					-	-	-	?03	16	Na	M0 V			
0635		???????-?					-	-	-	?03	12	Na	M0 V			
0636		???????-?					-	-	-	?04	14	Na	K4 V M4 V			
0731		???????-?					-	-	-	?03	6	Na	F9 V			
0732		???????-?					-	-	-	?21	10	Na	K8 V M4 V			
0736		???????-?					-	-	-	?22	11	Na	K8 V			
0737		???????-?					-	-	-	?25	11	Na	M1 V M1 V			
0740		???????-?					-	-	-	?10	11	Na	G2 V M5 V			
0835		???????-?					-	-	-	?03	11	Na	K4 V M2 V			
0836		???????-?					-	-	-	?13	12	Na	G3 V M7 V			
0931		???????-?					-	-	-	?00	11	Na	K5 V M4 V			
0934		???????-?					-	-	-	?02	9	Na	M0 V			
0939	Iota Cephei	???????-?					-	-	-	?25	15	Na	K0 III			
1036		???????-?					-	-	-	?10	8	Na	G4 V G8 V			
1040		???????-?					-	-	-	?04	13	Na	G9 V M8 V			
1134		???????-?					-	-	-	?04	13	Na	G7 V M4 V			
1136		???????-?					-	-	-	?00	4	Na	G7 V K0 V			
1139		???????-?					-	-	-	?13	14	Na	K9 V M2 V			
1140		???????-?					-	-	-	?20	9	Na	G9 V M5 V			
1236		???????-?					-	-	-	?00	11	Na	G5 V G8 V			
1238		???????-?					-	-	-	?05	10	Na	M3 V			
1240		???????-?					-	-	-	?03	9	Na	M1 V			
1332		???????-?					-	-	-	?20	9	Na	G0 V			
1333		???????-?					-	-	-	?10	10	Na	F8 V			
1438		???????-?					-	-	-	?14	14	Na	K5 V			
1440		???????-?					-	-	-	?13	12	Na	K7 V			
1531		???????-?					-	-	-	?13	12	Na	F2 V			
1532		???????-?					-	-	-	?03	14	Na	G5 V M2 V			
1534		???????-?					-	-	-	?04	8	Na	F8 V K2 V			
1535		???????-?					-	-	-	?00	9	Na	F1 V			
1537		???????-?					-	-	-	?02	9	Na	K8 V M2 V			
1631		???????-?					-	-	-	?10	14	Na	G4 V			
1632		???????-?					-	-	-	?04	14	Na	M3 V			
1637		???????-?					-	-	-	?00	9	Na	K5 V M3 V			
1638		???????-?					-	-	-	?12	15	Na	K7 V M8 V			
1735		???????-?					-	-	-	?04	15	Na	M1 V M1 V			
1736		???????-?					-	-	-	?10	10	Na	G7 V			
1831		???????-?					-	-	-	?03	10	Na	G0 V			
1832		???????-?					-	-	-	?03	8	Na	K9 V			
1833		???????-?					-	-	-	?23	11	Na	K4 V M1 V			
1834		???????-?					-	-	-	?03	13	Na	F5 V			
1836		???????-?					-	-	-	?05	8	Na	K1 V			
1837		???????-?					-	-	-	?05	15	Na	G3 V			
1838		???????-?					-	-	-	?13	11	Na	G5 V			
1840		???????-?					-	-	-	?15	18	Na	M2 V M8 V			
1934		???????-?					-	-	-	?12	11	Na	F4 V K2 V			
1935		???????-?					-	-	-	?03	12	Na	G6 V			
1936		???????-?					-	-	-	?01	9	Na	F9 V			
1939		???????-?					-	-	-	?02	8	Na	G3 V			
2032		???????-?					-	-	-	?23	11	Na	G2 V			
2132		???????-?					-	-	-	?14	15	Na	M3 V M8 V			
2133		???????-?					-	-	-	?23	12	Na	M3 V			
2134		???????-?					-	-	-	?01	9	Na	G3 V M3 V			
2135		???????-?					-	-	-	?23	11	Na	M1 V			
2136		???????-?					-	-	-	?04	8	Na	K4 V M7 V			
2139	Beta Ceti	???????-?					-	-	-	?22	12	Na	K0 III			
2231		???????-?					-	-	-	?13	8	Na	G3 V K6 V			
2234		???????-?					-	-	-	?04	15	Na	M1 V			
2236		???????-?					-	-	-	?10	10	Na	M2 V M9 V			
2238		???????-?					-	-	-	?04	10	Na	G3 V			
2239		???????-?					-	-	-	?04	7	Na	K4 V K5 V			
2332		???????-?					-	-	-	?03	8	Na	K1 V M2 V			
2334		???????-?					-	-	-	?12	7	Na	G2 V			
2335		???????-?					-	-	-	?11	9	Na	M0 V			
2338		???????-?					-	-	-	?01	8	Na	M2 V			
2339		???????-?					-	-	-	?13	15	Na	M1 V			
2434		???????-?					-	-	-	?03	12	Na	M0 V			
2436		???????-?					-	-	-	?03	6	Na	M2 V			
2439		???????-?					-	-	-	?24	13	Na	M2 V M9 V			
2534		???????-?					-	-	-	?24	9	Na	M3 V			
2536		???????-?					-	-	-	?04	13	Na	G0 V			
2538		???????-?					-	-	-	?12	9	Na	K6 V			
2539		???????-?					-	-	-	?04	12	Na	F2 V			
2631		?100???-?	Va Sa				-	-	-	?14	14	Na	M2 V			
2633		???????-?					-	-	-	?22	9	Na	M1 V M2 V			
2638		???????-?					-	-	-	?02	6	Na	M3 V M5 V			
2731		?200???-?	Va Co Lk Sa				-	-	-	?03	8	Na	F4 V			
2736		???????-?					-	-	-	?02	8	Na	M1 V			
2831	Faith	X756000-0	Ba Ga Lt				-	-	-	024	9	Na	K6 V			
2836		???????-?					-	-	-	?00	13	Na	G3 V			
2837		???????-?					-	-	-	?12	7	Na	K8 V M6 V			
2839		???????-?					-	-	-	?04	8	Na	M0 V			
2932		?586???-?					-	-	-	?14	16	Na	M1 V			
2933	Nova Pacifica	E568000-0	Ba Lt				-	-	-	002	14	Na	G2 V			
2934		?559???-?					-	-	-	?22	8	Na	K2 V			
2936		???????-?					-	-	-	?13	13	Na	K5 V M1 V			
2937		???????-?					-	-	-	?04	13	Na	G0 V M2 V			
2939		???????-?					-	-	-	?04	15	Na	K1 V			
2940		???????-?					-	-	-	?12	6	Na	K1 V M2 V			
3031		?AE8???-?					-	-	-	?00	10	Na	G0 V			
3036		???????-?					-	-	-	?20	10	Na	M2 V			
3037		???????-?					-	-	-	?04	15	Na	M1 V M5 V			
3040		???????-?					-	-	-	?24	12	Na	F4 V K7 V			
3135		???????-?					-	-	-	?04	10	Na	G6 V K9 V			
3231		?435???-?					-	-	-	?13	13	Na	G8 V			
3234		???????-?					-	-	-	?15	14	Na	M2 V			
3235		???????-?					-	-	-	?22	14	Na	M0 V			
3237		???????-?					-	-	-	?02	12	Na	G1 V K8 V			
3239		???????-?					-	-	-	?03	14	Na	G8 V			
