Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1508	Knae	E	0416	Aefuez	X64A000-8	 	Di Wa 		003	Wild	F5 V	{ -3 }	(C00+1)	[0000]	B	0	12
1900	Knae	E	0416	Aefuez	C64A378-9	 	Lo Wa 		903	NaVa	F5 V	{ -1 }	(C20-2)	[2259]	B	0	-48

1105	Knae	E	0417	Gugvues	E8C6978-3	 	Fl Hi In 		900	VK	F2 V	{ 0 }	(788+3)	[]	BE	0	0
1201	Knae	E	0417	Gugvues	X8C6000-3	 	Di Fl In 		000	VK	F2 V	{ -2 }	(700-4)	[0000]	BE	0	-28
1447	Knae	E	0417	Gugvues	X8C6000-3	 	Di Fl In 		000	Wild	F2 V	{ -2 }	(700-1)	[0000]	BE	0	-7
1508	Knae	E	0417	Gugvues	X8C6000-3	 	Di Fl 		000	Wild	F2 V	{ -3 }	(700+3)	[0000]	B	0	21
1900	Knae	E	0417	Gugvues	C8C6677-3	 	Fl Ni 		500	NaVa	F2 V	{ -2 }	(750+1)	[2446]	B	0	35

1105	Knae	E	0419	Dodhfueth	B252255-7	 	Lo Po 		127	VK	G6 V M8 V	{ 0 }	(810-2)	[]	B	0	0
1201	Knae	E	0419	Dodhfueth	D252147-3	 	Lo Po 		527	VK	G6 V M8 V	{ -3 }	(800-4)	[4134]	B	0	-32
1447	Knae	E	0419	Dodhfueth	D252000-3	 	Di Po 		027	Wild	G6 V M8 V	{ -3 }	(800+2)	[0000]	B	0	16
1508	Knae	E	0419	Dodhfueth	D252000-3	 	Di Po 		027	Wild	G6 V M8 V	{ -3 }	(800-1)	[0000]	B	0	-8
1900	Knae	E	0419	Dodhfueth	B252622-5	 	Ni Po 		127	NaVa	G6 V M8 V	{ -1 }	(850+3)	[3576]	B	0	120

1105	Knae	I	0421	Ullaorz	A4246A6-A	 	Ni Px 		800	VK	F6 V	{ 0 }	(951+5)	[]	B	0	0
1201	Knae	I	0421	Ullaorz	X424000-A	 	Di Px 		000	VK	F6 V	{ -1 }	(900+1)	[0000]	B	0	9
1447	Knae	I	0421	Ullaorz	X424000-A	 	Di Px 		000	Wild	F6 V	{ -1 }	(900+2)	[0000]	B	0	18
1508	Knae	I	0421	Ullaorz	X424000-A	 	Di 		000	Wild	F6 V	{ -1 }	(900+1)	[0000]	B	0	9
1900	Knae	I	0421	Ullaorz	D424410-5	 	Ni 		400	NaVa	F6 V	{ -3 }	(933+1)	[6126]	B	0	81

1105	Knae	I	0423	Eoenguekoer	C446788-6	 	Ag Pi 		216	VK	G9 V M4 V	{ 0 }	(A6A+1)	[]	BCD	0	0
1201	Knae	I	0423	Eoenguekoer	E4469DF-6	 	Hi In 		316	VK	G9 V M4 V	{ 0 }	(A89-3)	[B9A9]	BE	0	-2160
1447	Knae	I	0423	Eoenguekoer	E446000-6	 	Di In 		016	Wild	G9 V M4 V	{ -2 }	(A00+1)	[0000]	BE	0	10
1508	Knae	I	0423	Eoenguekoer	E446000-6	 	Di 		016	Wild	G9 V M4 V	{ -3 }	(A00+3)	[0000]	B	0	30
1900	Knae	I	0423	Eoenguekoer	C446656-7	 	Ag Ni 		716	NaVa	G9 V M4 V	{ -1 }	(A53+1)	[4582]	BC	0	150

1105	Knae	I	0424	Tsuegnaeang	EAAA747-7	 	Fl 		116	VK	F6 V M2 V	{ 0 }	(665-3)	[]	B	0	0
1201	Knae	I	0424	Tsuegnaeang	XAAA000-7	 	Di Fl 		016	VK	F6 V M2 V	{ -3 }	(600+5)	[0000]	B	0	30
1447	Knae	I	0424	Tsuegnaeang	XAAA000-7	 	Di Fl 		016	Wild	F6 V M2 V	{ -3 }	(600+4)	[0000]	B	0	24
1508	Knae	I	0424	Tsuegnaeang	XAAA000-7	 	Di Fl 		016	Wild	F6 V M2 V	{ -3 }	(600+1)	[0000]	B	0	6
1900	Knae	I	0424	Tsuegnaeang	DAAA200-9	 	Fl Lo 		916	NaVa	F6 V M2 V	{ -2 }	(D10-2)	[315E]	B	0	-26

1105	Knae	I	0426	Vangaeksksal	C538678-5	 	Ni 		718	VK	M1 V M3 V	{ 0 }	(751+1)	[]	B	0	0
1201	Knae	I	0426	Vangaeksksal	X538000-5	 	Di 		018	VK	M1 V M3 V	{ -3 }	(700-1)	[0000]	B	0	-7
1447	Knae	I	0426	Vangaeksksal	X538000-5	 	Di 		018	Wild	M1 V M3 V	{ -3 }	(700-2)	[0000]	B	0	-14
1508	Knae	I	0426	Vangaeksksal	X538000-5	 	Di 		018	Wild	M1 V M3 V	{ -3 }	(700+2)	[0000]	B	0	14
1900	Knae	I	0426	Vangaeksksal	A538445-A	 	Ni 		618	NaVa	M1 V M3 V	{ 1 }	(G34+1)	[252C]	B	0	192

1105	Knae	M	0437	Thaenadz	A52667A-A	 	Ni 		217	Ve	G9 V M3 V	{ 0 }	(G53+5)	[]	B	0	0
1201	Knae	M	0437	Thaenadz	X526000-A	 	Di 		017	Ve	G9 V M3 V	{ -1 }	(G00-2)	[0000]	B	0	-32
1447	Knae	M	0437	Thaenadz	X526000-A	 	Di 		017	Wild	G9 V M3 V	{ -1 }	(G00+2)	[0000]	B	0	32
1508	Knae	M	0437	Thaenadz	X526000-A	 	Di 		017	Wild	G9 V M3 V	{ -1 }	(G00-2)	[0000]	B	0	-32
1900	Knae	M	0437	Thaenadz	C5269CE-8	 	Hi In 		817	NaVa	G9 V M3 V	{ 1 }	(G85-2)	[8A48]	BE	0	-1280

1105	Knae	A	0503	Llakha	B7C2556-B	 	Fl He Ni 		202	Va	M2 V	{ 0 }	(943+1)	[]	B	0	0
1201	Knae	A	0503	Llakha	X7C2000-B	 	Di Fl He 		002	Va	M2 V	{ -1 }	(900+3)	[0000]	B	0	27
1447	Knae	A	0503	Llakha	X7C2000-B	 	Di Fl He 		002	Wild	M2 V	{ -1 }	(900+2)	[0000]	B	0	18
1508	Knae	A	0503	Llakha	X7C2000-B	 	Di Fl He 		002	Wild	M2 V	{ -1 }	(900+1)	[0000]	B	0	9
1900	Knae	A	0503	Llakha	B7C2475-A	 	Fl He Ni 		702	NaVa	M2 V	{ 1 }	(937-1)	[456C]	B	0	-189

1105	Knae	A	0504	Saegakhau	DAB8422-7	 	Fl Ni 		303	Va	M0 V	{ 0 }	(A33-4)	[]	B	0	0
1201	Knae	A	0504	Saegakhau	XAB8000-7	 	Di Fl 		003	Va	M0 V	{ -3 }	(A00+1)	[0000]	B	0	10
1447	Knae	A	0504	Saegakhau	XAB8000-7	 	Di Fl 		003	Wild	M0 V	{ -3 }	(A00-3)	[0000]	B	0	-30
1508	Knae	A	0504	Saegakhau	XAB8000-7	 	Di Fl 		003	Wild	M0 V	{ -3 }	(A00+2)	[0000]	B	0	20
1900	Knae	A	0504	Saegakhau	CAB8610-8	 	Fl Ni 		603	NaVa	M0 V	{ -2 }	(D51+1)	[745B]	B	0	65

1105	Knae	E	0512	Kaegoulon	A200479-B	 	Ni Va 		103	VK	M3 V	{ 0 }	(B33-1)	[]	B	0	0
1201	Knae	E	0512	Kaegoulon	X200000-B	 	Di Va 		003	VK	M3 V	{ -1 }	(B00-2)	[0000]	B	0	-22
1447	Knae	E	0512	Kaegoulon	X200000-B	 	Di Va 		003	Wild	M3 V	{ -1 }	(B00-1)	[0000]	B	0	-11
1508	Knae	E	0512	Kaegoulon	X200000-B	 	Di Va 		003	Wild	M3 V	{ -1 }	(B00+1)	[0000]	B	0	11
1900	Knae	E	0512	Kaegoulon	C200300-8	 	Lo Va 		603	NaVa	M3 V	{ -2 }	(B20+1)	[612A]	B	0	22

1105	Knae	E	0513	Irreth	A225301-G	 	Lo 		603	VK	M6 V	{ 0 }	(F20+3)	[]	B	0	0
1201	Knae	E	0513	Irreth	X225000-G	 	Di 		003	VK	M6 V	{ 0 }	(F00-1)	[0000]	B	0	-15
1447	Knae	E	0513	Irreth	X225000-G	 	Di 		003	Wild	M6 V	{ 0 }	(F00+1)	[0000]	B	0	15
1508	Knae	E	0513	Irreth	X225000-G	 	Di 		003	Wild	M6 V	{ 0 }	(F00-2)	[0000]	B	0	-30
1900	Knae	E	0513	Irreth	E225442-9	 	Ni 		903	NaVa	M6 V	{ -2 }	(F32+1)	[122B]	B	0	90

1105	Knae	E	0514	Kaokasaer	B687640-8	 	Ag Ri Ga Ni 		904	VK	F1 V	{ 0 }	(D51+4)	[]	BC	0	0
1201	Knae	E	0514	Kaokasaer	X687731-5	 	Ag Ri Ga 	B	104	VK	F1 V	{ 0 }	(966+3)	[8796]	BC	0	972
1447	Knae	E	0514	Kaokasaer	X687685-0	 	Ag Ri Ga Ni 		504	Wild	F1 V	{ -1 }	(950+1)	[7551]	BC	0	45
1508	Knae	E	0514	Kaokasaer	X687643-0	 	Ag Ri Ga Ni 		504	Wild	F1 V	{ -1 }	(954+1)	[4581]	BC	0	180
1900	Knae	E	0514	Kaokasaer	E68777C-4	 	Ag Ri Ga 		204	NaVa	F1 V	{ 0 }	(965+2)	[9746]	BC	0	540

1105	Knae	E	0515	Vaksun	D110642-7	 	Na Ni 		202	VK	M3 V	{ 0 }	(852+1)	[]	B	0	0
1201	Knae	E	0515	Vaksun	X110000-7	 	Di Na 		002	VK	M3 V	{ -3 }	(800+3)	[0000]	B	0	24
1447	Knae	E	0515	Vaksun	X110000-7	 	Di Na 		002	Wild	M3 V	{ -3 }	(800+1)	[0000]	B	0	8
1508	Knae	E	0515	Vaksun	X110000-7	 	Di 		002	Wild	M3 V	{ -3 }	(800+2)	[0000]	B	0	16
1900	Knae	E	0515	Vaksun	C110878-9	 	Na Pi Ph 		402	NaVa	M3 V	{ 0 }	(A75-2)	[A86B]	BDe	0	-700

1105	Knae	I	0524	Taafu	B657543-6	 	Ag Ga Ni 		803	VK	F8 V M2 V	{ 0 }	(843+1)	[]	BC	0	0
1201	Knae	I	0524	Taafu	D65757C-4	 	Ag Ga Ni 	B	503	VK	F8 V M2 V	{ -2 }	(841+1)	[8324]	BC	0	32
1447	Knae	I	0524	Taafu	D657000-4	 	Di Ga 		003	Wild	F8 V M2 V	{ -3 }	(800-2)	[0000]	B	0	-16
1508	Knae	I	0524	Taafu	D657000-4	 	Di Ga 		003	Wild	F8 V M2 V	{ -3 }	(800+2)	[0000]	B	0	16
1900	Knae	I	0524	Taafu	B6579DB-9	 	Ga Hi 		203	NaVa	F8 V M2 V	{ 2 }	(B8D-5)	[CB19]	BE	0	-5720

1105	Knae	I	0525	Rrouuekhs	C2117CF-4	 	Ic Na Pi 		523	VK	K8 III	{ 0 }	(768-1)	[]	BD	0	0
1201	Knae	I	0525	Rrouuekhs	X211000-4	 	Di Ic Na Pi 		023	VK	K8 III	{ -3 }	(700-2)	[0000]	BD	0	-14
1447	Knae	I	0525	Rrouuekhs	X211000-4	 	Di Ic Na Pi 		023	Wild	K8 III	{ -3 }	(700+1)	[0000]	BD	0	7
1508	Knae	I	0525	Rrouuekhs	X211000-4	 	Di Ic 		023	Wild	K8 III	{ -3 }	(700-2)	[0000]	B	0	-14
1900	Knae	I	0525	Rrouuekhs	C211210-5	 	Ic Lo 		423	NaVa	K8 III	{ -2 }	(710+1)	[1175]	B	0	7

1105	Knae	M	0533	Isaezogoun	C7B7400-7	 	Fl Ni 		102	Ve	M5 V	{ 0 }	(836+1)	[]	B	0	0
1201	Knae	M	0533	Isaezogoun	X7B7000-7	 	Di Fl 		002	Ve	M5 V	{ -3 }	(800+1)	[0000]	B	0	8
1447	Knae	M	0533	Isaezogoun	X7B7000-7	 	Di Fl 		002	Wild	M5 V	{ -3 }	(800-1)	[0000]	B	0	-8
1508	Knae	M	0533	Isaezogoun	X7B7000-7	 	Di Fl 		002	Wild	M5 V	{ -3 }	(800-5)	[0000]	B	0	-40
1900	Knae	M	0533	Isaezogoun	D7B7236-4	 	Fl Lo 		102	NaVa	M5 V	{ -3 }	(810-4)	[4165]	B	0	-32

1105	Knae	M	0535	Ouvogorruz	B443547-9	 	Ni Po 		914	Ve	K6 V M6 V	{ 0 }	(A44-1)	[]	B	0	0
1201	Knae	M	0535	Ouvogorruz	C443554-5	 	Ni Po 		514	Ve	K6 V M6 V	{ -2 }	(544+3)	[A363]	B	0	240
1447	Knae	M	0535	Ouvogorruz	D443000-5	 	Di Po 		014	Wild	K6 V M6 V	{ -3 }	(500+5)	[0000]	B	0	25
1508	Knae	M	0535	Ouvogorruz	D443000-5	 	Di Po 		014	Wild	K6 V M6 V	{ -3 }	(500-3)	[0000]	B	0	-15
1900	Knae	M	0535	Ouvogorruz	A443233-B	 	Lo Po 		414	NaVa	K6 V M6 V	{ 1 }	(A11-4)	[134F]	B	0	-40

1105	Knae	M	0536	Faesouk	B559641-5	 	Ni 		603	Ve	G0 V	{ 0 }	(952+2)	[]	B	0	0
1201	Knae	M	0536	Faesouk	D559643-5	 	Ni 		703	Ve	G0 V	{ -3 }	(950-3)	[7364]	B	0	-135
1447	Knae	M	0536	Faesouk	D559000-5	 	Di 		003	Wild	G0 V	{ -3 }	(900+1)	[0000]	B	0	9
1508	Knae	M	0536	Faesouk	D559000-5	 	Di 		003	Wild	G0 V	{ -3 }	(900+1)	[0000]	B	0	9
1900	Knae	M	0536	Faesouk	E559201-3	 	Lo 		703	NaVa	G0 V	{ -3 }	(910+1)	[1144]	B	0	9

1105	Knae	M	0539	Zaghaedhaeng	E867647-3	 	Ag Ri Ga Ni 		302	Ve	F5 V	{ 0 }	(752+1)	[]	BC	0	0
1201	Knae	M	0539	Zaghaedhaeng	X867642-3	 	Ag Ri Ga Ni 	B	402	Ve	F5 V	{ -1 }	(754-1)	[6585]	BC	0	-140
1447	Knae	M	0539	Zaghaedhaeng	X867432-0	 	Ga Ni Pa 		202	Wild	F5 V	{ -3 }	(730+3)	[4141]	Bc	0	63
1508	Knae	M	0539	Zaghaedhaeng	X867477-0	 	Ga Ni Pa 		202	Wild	F5 V	{ -3 }	(733-1)	[1151]	Bc	0	-63
1900	Knae	M	0539	Zaghaedhaeng	E867655-4	 	Ag Ri Ga Ni 		202	NaVa	F5 V	{ -1 }	(750+1)	[A5A1]	BC	0	35

1105	Knae	A	0603	Iklorrghvoul	E341250-5	 	He Lo Po 		704	Va	K2 V M7 V	{ 0 }	(710+1)	[]	B	0	0
1201	Knae	A	0603	Iklorrghvoul	X341314-3	 	He Lo Po 		704	Va	K2 V M7 V	{ -3 }	(720+2)	[6114]	B	0	28
1447	Knae	A	0603	Iklorrghvoul	X341000-3	 	Di He Po 		004	Wild	K2 V M7 V	{ -3 }	(700+4)	[0000]	B	0	28
1508	Knae	A	0603	Iklorrghvoul	X341000-3	 	Di He Po 		004	Wild	K2 V M7 V	{ -3 }	(700+3)	[0000]	B	0	21
1900	Knae	A	0603	Iklorrghvoul	D341300-5	 	He Lo Po 		604	NaVa	K2 V M7 V	{ -3 }	(720+1)	[3145]	B	0	14

1105	Knae	A	0605	Laeirrgaks	B261952-A	 	Hi Pr 		113	Va	F0 V M3 V	{ 0 }	(C87+1)	[]	BcE	0	0
1201	Knae	A	0605	Laeirrgaks	X261000-A	 	Di 		013	Va	F0 V M3 V	{ -1 }	(C00+1)	[0000]	B	0	12
1447	Knae	A	0605	Laeirrgaks	X261000-A	 	Di 		013	Wild	F0 V M3 V	{ -1 }	(C00+5)	[0000]	B	0	60
1508	Knae	A	0605	Laeirrgaks	X261000-A	 	Di 		013	Wild	F0 V M3 V	{ -1 }	(C00-1)	[0000]	B	0	-12
1900	Knae	A	0605	Laeirrgaks	B261677-7	 	Ni Ri 		613	NaVa	F0 V M3 V	{ 0 }	(856+5)	[A668]	BC	0	1200

1105	Knae	A	0606	Gughoou	C3228CB-8	 	He Na Pi Po Ph 		810	Va	F3 V	{ 0 }	(A7C+3)	[]	BDe	0	0
1201	Knae	A	0606	Gughoou	X322000-8	 	Di He Na Pi Po 		010	Va	F3 V	{ -3 }	(A00+1)	[0000]	BD	0	10
1447	Knae	A	0606	Gughoou	X322000-8	 	Di He Na Pi Po 		010	Wild	F3 V	{ -3 }	(A00-1)	[0000]	BD	0	-10
1508	Knae	A	0606	Gughoou	X322000-8	 	Di He Po 		010	Wild	F3 V	{ -3 }	(A00+1)	[0000]	B	0	10
1900	Knae	A	0606	Gughoou	C322215-9	 	He Lo Po 		110	NaVa	F3 V	{ -1 }	(A10+4)	[415A]	B	0	40

1105	Knae	A	0608	Thoae	C130977-B	 	De Hi Na Po 		921	Va	F4 V	{ 0 }	(883-2)	[]	BE	0	0
1201	Knae	A	0608	Thoae	X130000-B	 	De Di Na Po 		021	Va	F4 V	{ -1 }	(800+1)	[0000]	B	0	8
1447	Knae	A	0608	Thoae	X130000-B	 	De Di Na Po 		021	Wild	F4 V	{ -1 }	(800+1)	[0000]	B	0	8
1508	Knae	A	0608	Thoae	X130000-B	 	De Di Po 		021	Wild	F4 V	{ -1 }	(800-2)	[0000]	B	0	-16
1900	Knae	A	0608	Thoae	X1307BE-3	 	De Na Po 		221	NaVa	F4 V	{ -2 }	(564+1)	[8581]	B	0	120

1105	Knae	E	0614	Diodoe	C52316B-6	 	Lo Po 		200	VK	M7 V M8 V	{ 0 }	(700+3)	[]	B	0	0
1201	Knae	E	0614	Diodoe	X523000-6	 	Di Po 		000	VK	M7 V M8 V	{ -3 }	(700-2)	[0000]	B	0	-14
1447	Knae	E	0614	Diodoe	X523000-6	 	Di Po 		000	Wild	M7 V M8 V	{ -3 }	(700-1)	[0000]	B	0	-7
1508	Knae	E	0614	Diodoe	X523000-6	 	Di Po 		000	Wild	M7 V M8 V	{ -3 }	(700-2)	[0000]	B	0	-14
1900	Knae	E	0614	Diodoe	X523884-0	 	Na Pi Po Ph 		200	NaVa	M7 V M8 V	{ -2 }	(777-2)	[5631]	BDe	0	-686

1105	Knae	E	0616	Aethun	E468669-0	 	Ag Ri Ni 		900	VK	F1 V	{ 0 }	(755+4)	[]	BC	0	0
1201	Knae	E	0616	Aethun	X4687A9-0	 	Ag Ri 	B	100	VK	F1 V	{ 0 }	(766+1)	[5731]	BC	0	252
1447	Knae	E	0616	Aethun	X4686BE-0	 	Ag Ri Ni 		500	Wild	F1 V	{ -1 }	(750-2)	[5554]	BC	0	-70
1508	Knae	E	0616	Aethun	X468632-0	 	Ag Ri Ni 		600	Wild	F1 V	{ -1 }	(755-2)	[7531]	BC	0	-350
1900	Knae	E	0616	Aethun	B4685A9-5	 	Ag Pr Ni 		200	NaVa	F1 V	{ 0 }	(741+1)	[2553]	BcC	0	28

1105	Knae	E	0620	Vokoroentson	A326558-B	 	Ni 		710	VK	F3 V	{ 0 }	(445+1)	[]	B	0	0
1201	Knae	E	0620	Vokoroentson	X326000-B	 	Di 		010	VK	F3 V	{ -1 }	(400+2)	[0000]	B	0	8
1447	Knae	E	0620	Vokoroentson	X326000-B	 	Di 		010	Wild	F3 V	{ -1 }	(400-4)	[0000]	B	0	-16
1508	Knae	E	0620	Vokoroentson	X326000-B	 	Di 		010	Wild	F3 V	{ -1 }	(400+1)	[0000]	B	0	4
1900	Knae	E	0620	Vokoroentson	B326875-7	 	Ph Pi 		710	NaVa	F3 V	{ 0 }	(376+2)	[684A]	BDe	0	252

1105	Knae	I	0628	Safofaevue	C646310-7	 	Lo 		703	VK	K3 V	{ 0 }	(A20-1)	[]	B	0	0
1201	Knae	I	0628	Safofaevue	E646213-6	 	Lo 		803	VK	K3 V	{ -3 }	(A10+1)	[1177]	B	0	10
1447	Knae	I	0628	Safofaevue	E646000-6	 	Di 		003	Wild	K3 V	{ -3 }	(A00-3)	[0000]	B	0	-30
1508	Knae	I	0628	Safofaevue	E646000-6	 	Di 		003	Wild	K3 V	{ -3 }	(A00+1)	[0000]	B	0	10
1900	Knae	I	0628	Safofaevue	C646445-7	 	Ni Pa 		803	NaVa	K3 V	{ -2 }	(A30-1)	[2259]	Bc	0	-30

1105	Knae	M	0636	Aekekue	A200872-D	 	Na Pi Ph Va 		123	Ve	F9 V	{ 0 }	(F78+1)	[]	BDe	0	0
1201	Knae	M	0636	Aekekue	X200000-D	 	Di Na Pi Va 		023	Ve	F9 V	{ -1 }	(F00+1)	[0000]	BD	0	15
1447	Knae	M	0636	Aekekue	X200000-D	 	Di Na Pi Va 		023	Wild	F9 V	{ -1 }	(F00+5)	[0000]	BD	0	75
1508	Knae	M	0636	Aekekue	X200000-D	 	Di Va 		023	Wild	F9 V	{ -1 }	(F00-2)	[0000]	B	0	-30
1900	Knae	M	0636	Aekekue	E200511-8	 	Ni Va 		923	NaVa	F9 V	{ -3 }	(F40-4)	[1247]	B	0	-240

1105	Knae	M	0639	Kaakhagz	C693865-3	 	Ph Pi 		512	Ve	K0 V M7 V	{ 0 }	(677-5)	[]	BDe	0	0
1201	Knae	M	0639	Kaakhagz	E6938AE-3	 	Ph Pi 	B	612	Ve	K0 V M7 V	{ -2 }	(675+1)	[C637]	BDe	0	210
1447	Knae	M	0639	Kaakhagz	E6938AC-0	 	Ph Pi 		312	Wild	K0 V M7 V	{ -2 }	(674-1)	[7621]	BDe	0	-168
1508	Knae	M	0639	Kaakhagz	E693876-0	 	Ph Pi 		412	Wild	K0 V M7 V	{ -2 }	(675+3)	[8671]	BDe	0	630
1900	Knae	M	0639	Kaakhagz	C693676-3	 	Ni 		112	NaVa	K0 V M7 V	{ -2 }	(650+1)	[6433]	B	0	30

1105	Knae	A	0701	Uegvounu	B464554-8	 	Ag Pr Ni 		604	Va	F9 V M2 V	{ 0 }	(844+2)	[]	BcC	0	0
1201	Knae	A	0701	Uegvounu	D464525-7	 	Ag Pr Ni 	B	404	Va	F9 V M2 V	{ -2 }	(444-2)	[1357]	BcC	0	-128
1447	Knae	A	0701	Uegvounu	D464531-1	 	Ag Pr Ni 		204	Wild	F9 V M2 V	{ -2 }	(440+4)	[9311]	BcC	0	64
1508	Knae	A	0701	Uegvounu	D464572-2	 	Ag Pr Ni 		104	Wild	F9 V M2 V	{ -2 }	(440+2)	[6365]	BcC	0	32
1900	Knae	A	0701	Uegvounu	C46459B-5	 	Ag Pr Ni 		904	NaVa	F9 V M2 V	{ -1 }	(444-5)	[4415]	BcC	0	-320

1105	Knae	A	0703	Oegor	B6767B8-6	 	Ag Pi 		400	Va	F4 V	{ 0 }	(A66+1)	[]	BCD	0	0
1201	Knae	A	0703	Oegor	D676733-6	 	Ag Pi 	B	500	Va	F4 V	{ -1 }	(A67+2)	[569A]	BCD	0	840
1447	Knae	A	0703	Oegor	D6767AE-0	 	Ag Pi 		200	Wild	F4 V	{ -1 }	(A67-4)	[4651]	BCD	0	-1680
1508	Knae	A	0703	Oegor	D676775-1	 	Ag Pi 		100	Wild	F4 V	{ -1 }	(A63-1)	[4651]	BCD	0	-180
1900	Knae	A	0703	Oegor	C67657A-5	 	Ag Ni 		600	NaVa	F4 V	{ -1 }	(A41+1)	[84A3]	BC	0	40

1105	Knae	A	0704	Khughaenuel	B480574-8	 	De Ni Pr 		403	Va	G1 V	{ 0 }	(B46-1)	[]	Bc	0	0
1201	Knae	A	0704	Khughaenuel	D480510-4	 	De Ni Pr 		303	Va	G1 V	{ -3 }	(840+1)	[A257]	Bc	0	32
1447	Knae	A	0704	Khughaenuel	D480000-4	 	De Di 		003	Wild	G1 V	{ -3 }	(800+4)	[0000]	B	0	32
1508	Knae	A	0704	Khughaenuel	D480000-4	 	De Di 		003	Wild	G1 V	{ -3 }	(800+3)	[0000]	B	0	24
1900	Knae	A	0704	Khughaenuel	D48088A-3	 	De Ph Ri 		803	NaVa	G1 V	{ -1 }	(877+3)	[57A5]	BCe	0	1176

1105	Knae	A	0706	Iraegknaen	D576866-4	 	Pa Pi Ph 		515	Va	F7 V M0 V	{ 0 }	(674+4)	[]	BcDe	0	0
1201	Knae	A	0706	Iraegknaen	X57689C-3	 	Pa Pi Ph 	B	615	Va	F7 V M0 V	{ -2 }	(671-4)	[6631]	BcDe	0	-168
1447	Knae	A	0706	Iraegknaen	X576000-3	 	Di Pi 		015	Wild	F7 V M0 V	{ -3 }	(600-3)	[0000]	BD	0	-18
1508	Knae	A	0706	Iraegknaen	X576000-3	 	Di 		015	Wild	F7 V M0 V	{ -3 }	(600-3)	[0000]	B	0	-18
1900	Knae	A	0706	Iraegknaen	C5768BG-6	 	Pa Pi Ph 		815	NaVa	F7 V M0 V	{ -1 }	(67B+3)	[3767]	BcDe	0	1386

1105	Knae	A	0707	Daeedhknaek	C979121-7	 	Lo 		701	Va	F4 V	{ 0 }	(600+1)	[]	B	0	0
1201	Knae	A	0707	Daeedhknaek	X979147-4	 	Lo 		201	Va	F4 V	{ -3 }	(600+3)	[3131]	B	0	18
1447	Knae	A	0707	Daeedhknaek	X979000-4	 	Di 		001	Wild	F4 V	{ -3 }	(600-2)	[0000]	B	0	-12
1508	Knae	A	0707	Daeedhknaek	X979000-4	 	Di 		001	Wild	F4 V	{ -3 }	(600+3)	[0000]	B	0	18
1900	Knae	A	0707	Daeedhknaek	C9796AD-6	 	Ni 		501	NaVa	F4 V	{ -2 }	(651-3)	[A475]	B	0	-90

1105	Knae	E	0715	Oedzang	C8C2330-8	 	Fl He Lo 		302	VK	M0 V M7 V	{ 0 }	(820+1)	[]	B	0	0
1201	Knae	E	0715	Oedzang	X8C2000-8	 	Di Fl He 		002	VK	M0 V M7 V	{ -3 }	(800+3)	[0000]	B	0	24
1447	Knae	E	0715	Oedzang	X8C2000-8	 	Di Fl He 		002	Wild	M0 V M7 V	{ -3 }	(800+1)	[0000]	B	0	8
1508	Knae	E	0715	Oedzang	X8C2000-8	 	Di Fl He 		002	Wild	M0 V M7 V	{ -3 }	(800+1)	[0000]	B	0	8
1900	Knae	E	0715	Oedzang	A8C2875-B	 	Fl He Ph 		802	NaVa	M0 V M7 V	{ 2 }	(878-2)	[CA49]	Be	0	-896

1105	Knae	E	0717	Olavi	C260737-4	 	De Ri 		810	VK	F2 V	{ 0 }	(269-3)	[]	BC	0	0
1201	Knae	E	0717	Olavi	E260778-4	 	De Ri 	B	910	VK	F2 V	{ -1 }	(263+1)	[3614]	BC	0	36
1447	Knae	E	0717	Olavi	E260753-1	 	De Ri 		410	Wild	F2 V	{ -1 }	(263-2)	[7641]	BC	0	-72
1508	Knae	E	0717	Olavi	E2607AE-1	 	De Ri 		510	Wild	F2 V	{ -1 }	(268+1)	[5641]	BC	0	96
1900	Knae	E	0717	Olavi	B260899-6	 	De Ph Ri 		110	NaVa	F2 V	{ 1 }	(278+1)	[A913]	BCe	0	112

1105	Knae	E	0720	Tukedhzoerz	X7C269D-1	 	Fl He Ni 		212	VK	M1 V	{ 0 }	(551+5)	[]	B	0	0
1201	Knae	E	0720	Tukedhzoerz	X7C2000-1	 	Di Fl He 		012	VK	M1 V	{ -3 }	(500+3)	[0000]	B	0	15
1447	Knae	E	0720	Tukedhzoerz	X7C2000-1	 	Di Fl He 		012	Wild	M1 V	{ -3 }	(500+1)	[0000]	B	0	5
1508	Knae	E	0720	Tukedhzoerz	X7C2000-1	 	Di Fl He 		012	Wild	M1 V	{ -3 }	(500+1)	[0000]	B	0	5
1900	Knae	E	0720	Tukedhzoerz	B7C2777-9	 	Fl He 		512	NaVa	M1 V	{ 1 }	(866+1)	[B86C]	B	0	288

1105	Knae	I	0723	Zokoknerr	C544379-2	 	Lo 		600	VK	F5 V	{ 0 }	(620+1)	[]	B	0	0
1201	Knae	I	0723	Zokoknerr	E544223-1	 	Lo 		900	VK	F5 V	{ -3 }	(610-2)	[1181]	B	0	-12
1447	Knae	I	0723	Zokoknerr	E544000-1	 	Di 		000	Wild	F5 V	{ -3 }	(600-1)	[0000]	B	0	-6
1508	Knae	I	0723	Zokoknerr	E544000-1	 	Di 		000	Wild	F5 V	{ -3 }	(600-1)	[0000]	B	0	-6
