Hex	Name	UWP	Remarks	{ Ix }	( Ex )	[ Cx ]	N	B	Z	PBG	W	A	Stellar
3216		?610???-?	Tz				-	-	-	632	D	Na	M4 V D
3217		?225???-?					-	-	-	400	B	Na	K6 V K3 V D
3225		?672???-?	He Tz				-	-	-	500	4	Na	M3 V M3 V M2 V
3229		?797???-?	Lk Sa				-	-	-	631	G	Na	M1 V
3230		?875???-?	Ho Tr Tz				-	-	-	200	6	Na	K3 V D
3231		?943???-?	Po				-	-	-	303	E	Na	K3 V M2 V D
3233		?479???-?					-	-	-	111	B	Na	K7 V M1 V
3235		?256???-?					-	-	-	303	C	Na	K0 V M5 V K5 V
3237		?256???-?	Co Tz				-	-	-	501	6	Na	M6 V
3239		?000???-?	As Co Sa				-	-	-	312	A	Na	A3 V F1 V F2 V
