Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
1809	Modra	C8A2347-8	Fl He Lo Px	{-2}	(920-1)	[3167]	B	-	-	611	8	Im	F5 V
1811	Yanbol	BBB2699-7	Fl He Ni Px	{-1}	(855-2)	[B557]	B	-	-	903	7	Im	K5 V
1816	Sao Jose de Ribama	A510774-A	Na Pi	{+2}	(F6E+1)	[99AC]	DB	N	-	406	7	Im	D
1820	Plympton	A200BBE-F	Va Hi Na In	{+4}	(CAF+2)	[FF1F]	fEB	-	-	604	6	Im	M5 V
1827	Edmonton	C200378-B	Va Lo	{+0}	(F20+5)	[537D]	B	S	-	708	8	Im	D
1829	Atherton	E662152-8	Lo	{-3}	(A00-4)	[1169]	B	-	-	502	9	Im	F0 V
1830	Menottigalli	C000300-B	As Va Lo	{+0}	(820+1)	[2397]	B	S	-	514	7	Im	K5 V
1836	Laval	B6A2769-7	Fl He	{+0}	(666-1)	[778C]	B	-	-	600	3	Im	G5 V M5 V
1837	Bansko	E200100-A	Va Lo	{-1}	(A00-5)	[1125]	B	-	-	513	8	Im	M0 V
1902	Vinifera	C200369-7	Va Lo	{-2}	(920+1)	[4115]	B	-	-	206	8	Im	K0 V
1903	Vale do Paraiso	A300999-E	Va Hi Na In	{+4}	(F8A-2)	[8D3F]	fEB	N	-	818	11	Im	D D
1904	Bratislava	C300558-A	Va Ni	{+0}	(F42+4)	[4536]	B	-	-	405	7	Im	M0 V
1905	Normannia	B6B49AD-D	Fl Hi In	{+4}	(689+1)	[6D8C]	fEB	-	-	300	4	Im	K0 V K5 V
1907	Pribina	B20066B-C	Va Ni Na	{+1}	(954-2)	[A78E]	B	-	-	904	6	Im	M5 V
1908	Puerto Colombia	B200798-C	Va Na Pi	{+2}	(96A+4)	[A93B]	DB	S	-	905	7	Im	G5 V M5 V
1912	Lifeson	D200530-5	Va Ni	{-3}	(640-1)	[6238]	B	-	-	704	6	Im	M5 V
1914	Gunter	C9B0300-8	He Lo	{-2}	(D20+1)	[5138]	B	-	-	103	6	Im	M5 V
1917	El Limon	C200545-9	Va Ni	{-1}	(B40-1)	[345A]	B	-	-	304	7	Im	M5 V
1919	Joensuu	C200412-A	Va Ni	{+0}	(E31+3)	[3479]	B	-	-	306	7	Im	D
1920	Federacion	B200665-B	Va Ni Na	{+1}	(952+1)	[875B]	B	-	-	614	7	Im	M5 V
1921	Nuremberg	B100756-E	Va Na Pi	{+2}	(E69-1)	[492F]	DB	-	-	906	7	Im	D
1922	Cruz Grande	C410563-9	Ni	{-1}	(F45+1)	[345C]	B	-	-	309	11	Im	D D
1924	Gus -Khrustal nyy	A2008A9-B	Va Ph Na Pi	{+2}	(F78-3)	[8A99]	eDB	-	-	818	12	Im	M5 V M5 V
1926	Acigne	A200A98-F	Va Hi Na In	{+4}	(A99+2)	[8E6F]	fEB	N	-	405	7	Im	M5 V
1930	Czestochowa	CAB6456-B	Fl Ni	{+0}	(D33+4)	[2459]	B	S	-	504	10	Im	K5 V M5 V
1933	Linhuang	A200654-C	Va Ni Na	{+1}	(F56+1)	[377F]	B	-	-	416	10	Im	M5 V M5 V
1934	Pelissanne	C200410-A	Va Ni	{+0}	(E33-2)	[543B]	B	-	-	426	10	Im	M5 V M5 V
1940	Banamba	C200695-6	Va Ni Na	{-2}	(454+1)	[2485]	B	S	-	704	7	Im	M5 V
2001	Dayton	C6B5544-9	Fl Ni	{-1}	(B42+1)	[4454]	B	-	-	604	7	Im	M0 V
2003	Idzerda	B100622-A	Va Ni Na	{+1}	(753+1)	[774E]	B	N	-	104	6	Im	M5 V
2005	Feininger	BAA2789-7	Fl He	{+0}	(C67+1)	[8729]	B	-	-	514	8	Im	K0 V
2008	Tegelen	D200587-5	Va Ni	{-3}	(840+3)	[2267]	B	S	-	904	8	Im	M0 V
2012	Xiaozhengzhuang	A610776-B	Na Pi	{+2}	(D66+4)	[594B]	DB	-	-	705	7	Im	M5 V
2016	San Nicolas	BAB0613-9	He Ni	{+0}	(B52-3)	[364A]	B	N	-	303	9	Im	F0 V
2017	Dobrush	E200305-8	Va Lo	{-3}	(820-2)	[3128]	B	-	-	105	7	Im	M5 V
2021	East Alton	B20066A-9	Va Ni Na	{+0}	(E56-1)	[464C]	B	N	-	504	8	Im	K5 V
2024	La Plata	C200000-0	Va Ba	{-2}	(B00+1)	[0000]	B	S	-	003	7	Im	M0 V
2026	Sid	B000625-9	As Va Ni Na	{+0}	(A52+2)	[6659]	B	-	-	713	8	Im	K0 V
2027	Persiceto	C200654-A	Va Ni Na	{+0}	(C52+1)	[9616]	B	S	-	514	7	Im	M0 V
2035	Apen	C200400-8	Va Ni	{-2}	(F34+3)	[128A]	B	-	-	305	8	Im	M0 V
2040	Shwebo	C410410-7	Ni	{-2}	(930-4)	[1215]	B	S	-	514	8	Im	M0 V
2101	Uyskoye	C200424-7	Va Ni	{-2}	(333+5)	[1276]	B	-	-	912	10	Im	A0 V
2102	Niknesterov	B10088D-9	Va Ph Na Pi	{+1}	(D77+2)	[4959]	eDB	N	-	805	10	Im	M5 V M5 V
2107	Treenajoi	B300966-D	Va Hi Na In	{+4}	(D87+3)	[6D89]	fEB	-	-	804	7	Im	M0 V
2109	Nixa	A77289D-8	He Ph Pi	{+0}	(677-1)	[9879]	eDB	N	-	504	8	Im	G0 V
2110	Pikulia	C200301-7	Va Lo	{-2}	(820+1)	[4198]	B	-	-	214	6	Im	M5 V
2112	Finchley	C86A330-8	Wa Lo	{-2}	(C20-2)	[415C]	B	S	-	602	9	Im	G0 V
2114	Port Orange	C200521-8	Va Ni	{-2}	(B44+2)	[8357]	B	-	-	214	8	Im	G5 V
2115	Sybil	C200332-8	Va Lo	{-2}	(E20+3)	[1187]	B	-	-	525	8	Im	M0 V
2119	Alvin	A200787-E	Va Na Pi	{+2}	(96A+1)	[495D]	DB	N	-	904	8	Im	G5 V
2127	Manukau City	D200131-8	Va Lo	{-3}	(A00-1)	[112B]	B	S	-	904	7	Im	M5 V
2131	Oak Grove	CAB5300-6	Fl Lo	{-2}	(620-2)	[1156]	B	-	-	405	8	Im	M0 V
2132	South Bradenton	A000698-F	As Va Ni Na	{+1}	(B54-1)	[175B]	B	N	-	723	9	Im	G0 V
2135	Bad Driburg	D100222-6	Va Lo	{-3}	(310+1)	[3133]	B	-	-	305	7	Im	D
2205	Marenka	E7B6310-4	Fl Lo	{-3}	(420-3)	[5181]	B	-	-	305	12	Im	M5 V M5 V
2207	Dorentrup	C100110-B	Va Lo	{+0}	(B00+3)	[1156]	B	S	-	106	10	Im	M5 V M5 V
2209	Qazvin	A200661-D	Va Ni Na	{+1}	(D53+3)	[776D]	B	-	-	404	6	Im	M5 V
2211	Pollath	CAB8300-B	Fl Lo	{+0}	(620+1)	[134A]	B	S	-	604	7	Im	M0 V
2212	Mira	C7C5567-7	Fl Ni	{-2}	(644-3)	[5376]	B	S	-	502	8	Im	K0 V
2220	San Zenone	B200665-C	Va Ni Na	{+1}	(F57-2)	[671F]	B	-	-	306	11	Im	M0 V M5 V
2221	Shingu	E200430-7	Va Ni	{-3}	(330+4)	[8156]	B	-	-	108	8	Im	D
2223	Tlalnelhuayocan	D200565-9	Va Ni	{-2}	(841+1)	[8317]	B	-	-	503	6	Im	M5 V
2224	Nea Moudania	B6B8648-8	Fl Ni	{-1}	(951+2)	[756A]	B	-	-	203	7	Im	M0 V
2233	Boitsov	EBB0337-5	He Lo	{-3}	(B20+2)	[4134]	B	-	-	103	8	Im	G5 V
2236	Medlock	C200300-B	Va Lo	{+0}	(A20+2)	[632A]	B	S	-	504	6	Im	M5 V
2303	Augusta	C200557-C	Va Ni	{+0}	(B41-2)	[759B]	B	-	-	305	7	Im	M0 V
2304	Geroskipou	E9A5000-0	Fl Ba	{-3}	(B00+1)	[0000]	B	-	-	013	8	Im	G0 V
2306	Rio Gallegos	A2008CE-A	Va Ph Na Pi	{+2}	(C76+2)	[AA9B]	eDB	-	A	105	6	Im	M5 V
2307	Beni Enzar	D300343-5	Va Lo	{-3}	(420+2)	[1154]	B	-	-	707	8	Im	D
2314	Jieshang	C200588-6	Va Ni	{-2}	(542+1)	[1348]	B	S	-	705	8	Im	M0 V
2315	Arapora	C647330-7	Lo	{-2}	(620-1)	[1159]	B	-	-	402	8	Im	F5 V
2317	Benifayo	C200200-8	Va Lo	{-2}	(A10+2)	[6187]	B	-	-	105	7	Im	M5 V
2318	Vanysek	B1006AB-9	Va Ni Na	{+0}	(F53+3)	[36A8]	B	N	-	30A	12	Im	D D
2320	Morlenbach	C200565-7	Va Ni	{-2}	(244+2)	[3363]	B	S	-	505	10	Im	M0 V M5 V
2323	Coxeter	CEB3456-8	Fl Ni Px	{-2}	(C30-2)	[426B]	B	S	-	104	10	Im	K5 V M5 V
2325	Lisbon	C4B0510-9	He Ni	{-1}	(E41+1)	[5485]	B	-	-	106	7	Im	D
2328	Ramos	A200788-E	Va Na Pi	{+2}	(769+3)	[791F]	DB	N	-	304	6	Im	M5 V
2329	Garuva	D000575-5	As Va Ni	{-3}	(340+5)	[7235]	B	S	-	813	8	Im	K0 V
2333	South Bruce Penins	C962569-4	Ni Pr	{-2}	(342+5)	[8362]	cB	-	-	224	12	Im	G0 V G5 V
2338	Reconquista	C000448-7	As Va Ni	{-2}	(732-1)	[4257]	B	S	-	713	8	Im	G5 V
2339	Villa del Conte	E8A5400-6	Fl Ni	{-3}	(831+1)	[1188]	B	-	-	913	9	Im	G0 V
2404	Lubango	C200444-9	Va Ni	{-1}	(F33+1)	[5355]	B	S	-	915	8	Im	D
2406	Bad Lauchstadt	B20098A-B	Va Hi Na In	{+4}	(A8B+1)	[5D59]	fEB	-	-	305	6	Im	M5 V
2408	Oileus	C586477-6	Ni Pa	{-2}	(534+1)	[1258]	cB	-	-	303	8	Im	G5 V
2409	Mugnano di Napoli	B20069E-8	Va Ni Na	{-1}	(E52+2)	[8568]	B	N	-	608	8	Im	D
2410	Yoro	X100000-0	Va Ba	{-3}	(700+1)	[0000]	B	-	R	013	8	Im	M0 V
2425	Mahdishahr	CAB3558-8	Fl Ni Px	{-2}	(F42+1)	[5329]	B	-	-	824	10	Im	K5 V M5 V
2427	Laie	CCB1388-5	Fl He Lo Px	{-2}	(720-1)	[6194]	B	-	-	904	9	Im	F0 V
2435	Ka-Dar	C863536-7	Ni Pr	{-2}	(540+1)	[437B]	cB	-	-	412	9	Im	G0 V
2440	Sao Goncalo do Rio	E200334-5	Va Lo	{-3}	(C20-2)	[5112]	B	-	-	304	8	Im	M5 V M5 V
2504	Soteapan	A6108CA-9	Ph Na Pi	{+1}	(F76-4)	[A94E]	eDB	N	-	515	8	Im	M0 V
2506	Bethpage	C200200-C	Va Lo	{+0}	(B10+1)	[224B]	B	S	-	804	6	Im	M5 V
2508	Rawat	A2008BD-A	Va Ph Na Pi	{+2}	(C7A+1)	[6A3B]	eDB	N	-	404	7	Im	M0 V
2511	Boca do Acre	C200237-7	Va Lo	{-2}	(810+1)	[1143]	B	S	-	307	7	Im	D
2512	Apuiares	C6B1244-6	Fl He Lo	{-2}	(810+3)	[2156]	B	-	-	612	10	Im	A0 V
2513	Aoba	E000235-9	As Va Lo	{-2}	(F10+2)	[2126]	B	-	-	224	12	Im	G0 V G5 V
2514	Artemivsk	C200477-7	Va Ni	{-2}	(730-5)	[3233]	B	-	-	803	6	Im	M5 V
2516	Tama	C5A846A-5	Fl Ni	{-2}	(733-3)	[2264]	B	S	-	515	9	Im	M5 V M5 V
2519	Brodallan	D200348-7	Va Lo	{-3}	(720-5)	[3178]	B	-	-	804	8	Im	G5 V
2523	Zunhua	C200277-B	Va Lo	{+0}	(F10+2)	[128C]	B	-	-	504	7	Im	M0 V
2526	Athol	C6B6000-0	Fl Ba	{-2}	(800-5)	[0000]	B	-	-	005	6	Im	D
2529	Campomorone	C200478-7	Va Ni	{-2}	(C31-5)	[8238]	B	-	-	915	7	Im	M5 V
2536	Delisle	C200300-8	Va Lo	{-2}	(D20+1)	[3139]	B	S	-	508	12	Im	M5 V M5 V
2602	Saheki	A300779-A	Va Na Pi	{+2}	(A68+3)	[795C]	DB	N	-	204	7	Im	M5 V
2604	Fukuyoshi	E200255-6	Va Lo	{-3}	(610+2)	[2159]	B	-	-	106	7	Im	D
2605	Ahrens	DCB1521-8	Fl He Ni	{-3}	(B42-2)	[5228]	B	-	-	502	8	Im	K5 V
2607	Redruth	C100589-C	Va Ni	{+0}	(746-2)	[157A]	B	-	-	904	6	Im	M5 V
2608	Stotfold	A9A5633-D	Fl Ni	{+1}	(B52+2)	[976B]	B	-	-	604	8	Im	K0 V
2611	Sawaishujiro	B2006BA-B	Va Ni Na	{+1}	(B56+1)	[974C]	B	-	-	804	6	Im	M5 V
2612	Matagob	E200100-A	Va Lo	{-1}	(D00+1)	[1179]	B	-	-	807	7	Im	D
2614	Antonina do Norte	C200525-B	Va Ni	{+0}	(F42-2)	[155C]	B	S	-	905	7	Im	M0 V
2616	Coreglia Antelmine	CAB5313-A	Fl Lo	{+0}	(D20-3)	[533C]	B	S	-	504	8	Im	K0 V
2617	Raon-l Etape	B20089C-C	Va Ph Na Pi	{+2}	(F77-5)	[9A6D]	eDB	-	-	905	10	Im	M0 V M5 V
2620	Brunswick	C000567-A	As Va Ni	{+0}	(745-1)	[6526]	B	S	-	413	7	Im	K5 V
2621	Kanie	E8A6000-0	Fl Ba	{-3}	(500-2)	[0000]	B	-	-	003	13	Im	F0 V F5 V
2623	Alayor	A100757-F	Va Na Pi	{+2}	(76D-4)	[493F]	DB	-	-	710	8	Im	M0 III
2625	Sant Angelo Lodigi	C7A458A-6	Fl Ni	{-2}	(A42-1)	[6325]	B	S	-	205	7	Im	M0 V
2630	Aquila	A944651-D	Ni Ag	{+2}	(953+1)	[586D]	CB	-	-	113	8	Im	G5 V
2632	Nidau	C6A5414-7	Fl Ni	{-2}	(B33+1)	[4228]	B	S	-	219	16	Im	K0 V M5 V M5 V
2633	Roche-la-Moliere	A997859-B	Ph Pa Pi	{+2}	(A79+3)	[4A5D]	eDcB	N	-	812	8	Im	G0 V
2634	Rekovac	B200667-C	Va Ni Na	{+1}	(D55-1)	[9758]	B	-	-	804	7	Im	M0 V
2638	Giblin	C000544-8	As Va Ni	{-2}	(E41+1)	[7379]	B	S	-	523	8	Im	K0 V
2639	Ponduru	E9B2548-3	Fl He Ni Px	{-3}	(441-2)	[6295]	B	-	-	303	8	Im	G5 V
2703	San Cristobal	B200756-9	Va Na Pi	{+1}	(D6C-3)	[781A]	DB	-	-	607	7	Im	D
2706	Kisohinoki	C6A2203-7	Fl He Lo	{-2}	(510-1)	[5175]	B	-	-	704	8	Im	M0 V
2714	Gamalski	A20067C-A	Va Ni Na	{+1}	(E53-2)	[67AC]	B	-	-	824	7	Im	M0 V
2717	San Giorgio a Crem	C6A048B-9	He Ni	{-1}	(A32-2)	[1349]	B	S	-	112	9	Im	F0 V
2720	Bersenbruck	A200865-C	Va Ph Na Pi	{+2}	(B75+5)	[AA4F]	eDB	-	-	604	7	Im	M0 V
2721	Konstantinovskoye	B200677-C	Va Ni Na	{+2}	(C58-4)	[6899]	B	NS	-	604	7	Im	M0 V
2722	Rosporden	A200849-A	Va Ph Na Pi	{+2}	(A79-1)	[5A5A]	eDB	N	-	203	6	Im	M5 V
2734	Peachland	A200845-B	Va Ph Na Pi	{+2}	(87B+1)	[BA5B]	eDB	-	-	205	7	Im	M0 V
2736	Boscotrecase	B6A67AD-9	Fl	{+1}	(A68+4)	[885A]	B	N	-	313	8	Im	K0 V
2738	Auburn	C200433-7	Va Ni	{-2}	(633-3)	[221C]	B	-	-	605	6	Im	M5 V
2740	Itaocara	B200851-9	Va Ph Na Pi	{+1}	(E78+1)	[B91C]	eDB	-	-	704	7	Im	M0 V
2806	Cuichapa	A6A5850-E	Fl Ph	{+2}	(F7A+3)	[6A1E]	eB	N	-	913	8	Im	G0 V
2808	Lake Station	BBB468A-9	Fl Ni	{+0}	(D53+3)	[3689]	B	-	-	903	8	Im	K5 V
2811	Webster Groves	C96A55A-C	Wa Ni Pr	{+0}	(A46-4)	[456E]	cB	S	-	705	11	Im	G5 V K5 V
2812	Kumiko	CAB4100-B	Fl Lo	{+0}	(900+3)	[115A]	B	S	-	404	6	Im	M5 V
2817	Nansouty	B00068C-D	As Va Ni Na	{+1}	(D55+5)	[772C]	B	-	-	224	7	Im	M0 V
2821	Ovidiu	C200622-8	Va Ni Na	{-2}	(C54-3)	[A486]	B	-	-	807	7	Im	D
2823	Cumberland	B8A7656-8	Fl Ni	{-1}	(B52+1)	[5568]	B	S	-	204	7	Im	M0 V
2828	Oakdale	C978435-5	Ni Pa	{-2}	(733+2)	[7218]	cB	-	-	503	8	Im	K5 V
2830	Sao Sebastiao do U	AAB66AA-D	Fl Ni	{+1}	(D55+1)	[575C]	B	-	-	504	8	Im	K5 V
2833	Herten	C200303-A	Va Lo	{+0}	(E20+2)	[233A]	B	-	-	506	7	Im	M5 V
2834	El Banco	E8A3103-7	Fl Lo	{-3}	(500+4)	[1179]	B	-	-	402	8	Im	G0 V
2835	Sinnamary	C9A2410-A	Fl He Ni	{+0}	(C31-2)	[5436]	B	S	-	403	8	Im	G0 V
2839	Hezimmermann	A200966-E	Va Hi Na In	{+4}	(C8A-2)	[8D39]	fEB	-	-	207	8	Im	D
2840	Tallkalakh	D200431-8	Va Ni	{-3}	(F31+2)	[6178]	B	-	-	414	7	Im	M0 V
2903	Panciu	D761259-3	Lo	{-3}	(410+4)	[3185]	B	S	-	703	8	Im	G5 V
2907	New Corella	C000520-7	As Va Ni	{-2}	(441+2)	[8354]	B	-	-	219	10	Im	D D
2909	Binnish	E200000-0	Va Ba	{-3}	(500+4)	[0000]	B	-	-	014	8	Im	G0 V
2911	Thornaby on Tees	E8B0433-8	He Ni	{-3}	(D30+1)	[313D]	B	-	-	506	7	Im	D
2913	Caledon	X200000-0	Va Ba	{-3}	(700-3)	[0000]	B	-	R	005	8	Im	M0 V
2915	Reiji	BCB1799-B	Fl He	{+2}	(86B-1)	[292C]	B	S	-	714	8	Im	K0 V
2916	Katsuura	A7A29CC-D	Fl He Hi In	{+4}	(88B+1)	[7D4B]	fEB	-	-	203	8	Im	G5 V
2918	Foresta	C20069D-A	Va Ni Na	{+0}	(F55-2)	[B679]	B	S	-	513	6	Im	M5 V
2927	Cubulco	C8A8342-7	Fl Lo	{-2}	(520-3)	[3165]	B	S	-	414	8	Im	K0 V
2930	Walmer	D200341-7	Va Lo	{-3}	(B20+1)	[411A]	B	S	-	604	9	Im	M0 V M5 V
2931	Bertrand	C5B7636-7	Fl Ni	{-2}	(752-4)	[3457]	B	S	-	503	7	Im	K5 V
2934	Shoin	B7B267A-9	Fl He Ni	{+0}	(A54+2)	[7655]	B	-	-	303	6	Im	M5 V
2935	Poggio Renatico	ACB7987-E	Fl Hi In	{+4}	(78E+5)	[6D4C]	fEB	-	-	303	7	Im	M0 V
3007	Soldato-Aleksandro	C200300-9	Va Lo	{-1}	(F20+1)	[2264]	B	-	-	516	11	Im	M5 V M5 V
3010	North Reading	E200000-0	Va Ba	{-3}	(700-3)	[0000]	B	-	-	005	9	Im	M5 V M5 V
3011	Serravalle Pistoie	C100524-B	Va Ni	{+0}	(A43-3)	[251C]	B	-	-	606	7	Im	M5 V
3012	Croata	C5A578A-6	Fl	{-1}	(664+1)	[A625]	B	-	-	413	11	Im	G0 V G5 V
3013	Hejiachuan	C200304-C	Va Lo	{+0}	(720-1)	[535E]	B	S	-	604	8	Im	G5 V
3015	Pressbaum	A200867-E	Va Ph Na Pi	{+2}	(F78+5)	[CA5F]	eDB	-	-	915	8	Im	K0 V
3017	Haute-Goulaine	C100200-8	Va Lo	{-2}	(810+1)	[7157]	B	S	-	904	6	Im	M5 V
3020	Agago	D998564-4	Ni Ag	{-2}	(544+1)	[7343]	CB	S	-	105	12	Im	K0 V M5 V
3021	Van Buren	B200786-B	Va Na Pi	{+2}	(B6C+1)	[991F]	DB	N	-	606	8	Im	M0 V
3022	Antioch	C768246-9	Lo	{-1}	(910-2)	[3168]	B	-	-	713	9	Im	F5 V
3023	Jean	B200696-C	Va Ni Na	{+2}	(D53+2)	[688D]	B	NS	-	515	8	Im	G5 V
3024	Santa Ignacia	B6A88BB-B	Fl Ph	{+2}	(97A-1)	[BA57]	eB	S	-	403	7	Im	M0 V
3027	Great Burstead	B200885-C	Va Ph Na Pi	{+2}	(F7C+3)	[CA7A]	eDB	N	-	106	10	Im	M5 V M5 V
3032	Buyende	C671478-6	He Ni	{-2}	(734+1)	[4247]	B	S	-	415	8	Im	G5 V
3038	Palm Desert	C200457-9	Va Ni	{-1}	(A35-4)	[534C]	B	-	-	315	7	Im	M5 V
3040	Kusong	E200542-4	Va Ni	{-3}	(741+1)	[2211]	B	-	-	107	8	Im	D
3103	Takaharu	C9B75AC-6	Fl Ni	{-2}	(342+1)	[7384]	B	-	-	213	8	Im	G0 V
3108	Chicopee	B2008AA-9	Va Ph Na Pi	{+1}	(A74-2)	[C999]	eDB	N	-	204	6	Im	M5 V
3111	New Freedom	C610220-6	Lo	{-2}	(910-4)	[1197]	B	S	-	918	14	Im	M5 V M5 V
3113	Emans	C200435-6	Va Ni	{-2}	(634+2)	[12A5]	B	-	-	90C	13	Im	M5 V D
3115	Shinfield	C30056A-B	Va Ni	{+0}	(845+3)	[253F]	B	-	-	405	8	Im	K0 V
3116	Martorell	C7A2448-5	Fl He Ni Px	{-2}	(A31-2)	[3247]	B	S	-	122	9	Im	A5 V
3118	Millingen aan de R	A2008AD-E	Va Ph Na Pi	{+2}	(57C+2)	[BA3E]	eDB	S	-	202	9	Im	F0 V
3119	Bockenem	C300233-7	Va Lo	{-2}	(610+2)	[718B]	B	-	-	703	8	Im	M0 V
3120	Nankivell	B20079D-8	Va Na Pi	{+0}	(F6B+5)	[8739]	DB	-	-	105	7	Im	M0 V
3125	Costa Volpino	B2006BD-C	Va Ni Na	{+1}	(D57+3)	[874B]	B	-	-	415	7	Im	M0 V
3128	Caussade	E7A3344-6	Fl Lo	{-3}	(520-3)	[1164]	B	-	-	313	8	Im	K5 V
3132	Nigricollis	ADB3866-B	Fl Ph	{+2}	(D7B+1)	[5A7C]	eB	-	-	203	8	Im	K0 V
3134	Santa Marta de Ort	B300678-8	Va Ni Na	{-1}	(F54-1)	[957B]	B	-	-	207	8	Im	D
3136	St. Petersburg	E200100-7	Va Lo	{-3}	(700+1)	[4116]	B	-	-	108	8	Im	D
3137	Sofala	A200673-D	Va Ni Na	{+1}	(C55-2)	[778F]	B	-	-	504	7	Im	M0 V
3139	Saguday	C6A8100-6	Fl Lo	{-2}	(600+1)	[1183]	B	-	-	104	8	Im	K0 V
3201	Chenango	B200675-8	Va Ni Na	{-1}	(754+1)	[7578]	B	N	-	303	8	Im	G0 V
3205	Gargzdai	BAB768A-9	Fl Ni	{+0}	(A52-2)	[5648]	B	-	-	404	8	Im	K0 V
3207	Nelson Bay	BBB8686-A	Fl Ni	{+1}	(654-2)	[775A]	B	-	-	613	8	Im	G0 V
3212	Villalonga	CAB2353-9	Fl He Lo	{-1}	(B20+1)	[526A]	B	S	-	413	9	Im	G0 V
3214	Serra Negra do Nor	D200435-5	Va Ni	{-3}	(C30+1)	[2137]	B	-	-	403	7	Im	M5 V
3230	Laura	B200978-9	Va Hi Na In	{+3}	(A8E+1)	[AC46]	EB	-	-	214	6	Im	M5 V
3233	Bishopbriggs	A200755-C	Va Na Pi	{+2}	(F6B+3)	[893D]	DB	S	-	905	7	Im	M5 V
3235	Tanix	C100401-9	Va Ni	{-1}	(930-2)	[734A]	B	-	-	704	6	Im	M5 V
3237	San Fernando	C20059D-7	Va Ni	{-2}	(742+3)	[3356]	B	-	-	105	7	Im	M5 V
3240	Gokumenon	A4A6767-D	Fl	{+2}	(F69-3)	[795B]	B	N	-	20A	15	Im	M5 V M5 V M5 V
