#--------1---------2---------3---------4---------5-------
#PlanetName   Loc. UPP Code   B   Notes         Z  PBG Al
#----------   ---- ---------  - --------------- -  --- --
KAHLESS       0934 B8BA9AD-D  N Fl Hi Wa Cp        834 --
Vondera       0938 C223869-9    Po                 501 --
Usinger       1032 B0007BA-8    As Na           A  303 --
Sestor        1035 A66A567-C    Ni Wa           R  124 --
Fistrastov    1038 C320100-7  S De Lo Po           100 --
Lamann        1040 C40046B-8  S Ni Va              420 --
Rinaldo       1131 B47A78A-D  N Wa                 324 --
Efremian      1132 B899588-C  2 Ni                 413 --
Duganima      1134 B644547-6    Ag Ni              535 --
Cambrindi     1135 E321865-6    Na Po              900 --
Dogita        1136 C469597-9    Ni                 710 --
Landerad      1137 E965220-2    Lo Co              100 --
Suristanet    1138 D36A554-A    Ni Wa              200 --
Liraman       1139 A422548-D  2 Ni Po              721 --
Quantis       1140 B8B357A-B  N Fl Ni           A  313 --
Bernoulli     1231 D650663-1  S De Ni Po           912 --
Maitor        1233 B763467-7    Ni                 811 --
Weskan        1235 B4127BB-8    Ic Na              103 --
Foshir        1236 X365000-0    Ba              R  023 --
Romalya       1238 D332674-5  S Na Ni Po           123 --
Sillan        1240 C8CA235-A    Fl Lo Wa           200 --
Frenebe       1332 E33689B-7                       210 --
Keire         1333 B48A787-9  2 Ri Wa              224 --
Jonesen       1334 C640230-7    De Lo Po           724 --
Vesalaki      1336 B476202-D    Lo              A  411 --
Krysli        1338 B6235A7-7  N Ni Po              412 --
Minden        1339 D420886-4  S De Na Po           220 --
Rugo          1340 A6BA624-B    Fl Ni Wa           110 --
Decwiz        1432 A6387A9-C                       822 --
Viran         1433 E432841-8    Na Po              524 --
Kasmart       1435 B59789A-6  N                    203 --
Smuthers      1436 A100643-E  N Na Ni Va           723 --
Tirenc        1437 C466100-A    Lo                 114 --
Thirage       1438 E556647-2    Ag Ni              600 --
Ristosy       1439 B568664-7  N Ag Ni Ri           134 --
Priscati      1440 D244689-5  S Ag Ni              401 --
Doran         1531 B77A421-C    Ni Wa              200 --
Phartin       1532 AAC8753-9  N Fl                 802 --
Palammel      1534 EA65478-5    Ni                 100 --
Gramamosa     1535 A576130-C  N Lo                 524 --
Bruxeller     1536 D000797-4    As Na              620 --
Kronis        1537 C665635-5    Ag Ni              221 --
Kayal         1540 D400554-6    Ni Va              404 --
Inrada        1633 B333520-D  S Ni Po              125 --
Arster        1634 B436543-B  S Ni                 804 --
Kendli        1636 C452732-8  S Po                 400 --
Javatas       1638 CA986AA-4    Ag Ni              301 --
Gardie        1640 B745257-A  N Lo                 124 --
#--------1---------2---------3---------4---------5-------
#PlanetName   Loc. UPP Code   B   Notes         Z  PBG Al
#----------   ---- ---------  - --------------- -  --- --
Elinette      1731 C674314-9    Lo                 504 --
SOLDERLAND    1732 C6599AB-6  S Hi                 400 --
Dels          1733 A889657-C    Ni Ri              611 --
Tucati        1734 A6AA79A-D    Fl Wa              920 --
Knadman       1735 C4235AC-7  S Ni Po              824 --
Erisga        1737 B6A6756-6  S Fl                 405 --
Emari         1738 A676876-A  N                    524 --
Cabrion       1739 BAA7149-6    Fl Lo              110 --
Rosert        1740 E8A4662-5    Fl Ni              114 --
Winden        1832 A434366-F  N Lo                 234 --
Likusu        1833 C454620-7    Ag Ni              503 --
Spano         1834 C7B6744-5  S Fl                 600 --
Hradur        1835 B567541-7  S Ag Ni              312 --
Frisserm      1839 A000897-C  N As Na Cp           112 --
Barbar        1840 C7C5630-7    Fl Ni              904 --
Miaheller     1932 B466768-A  S Ag Ri              100 --
Bernas        1933 B300644-8  N Na Ni Va           404 --
Zyko          1937 B458566-7  S Ag Ni              802 --
Beatrope      1939 A9B5135-8    Fl Lo              123 --
Horom         1940 A12088A-D  S De Na Po           222 --
Vincoln       2031 A000300-F    As Lo              100 --
Studbak       2032 X441000-0    Ba Po Co        R  011 --
Seilipe       2131 E540404-8    De Ni Po           714 --
Olympinema    2133 B798300-9  S Lo                 315 --
Denete        2134 B722310-B    Lo Po              313 --
Herndi        2137 B997654-A  N Ag Ni              200 --
Wothers       2138 B240526-A  N De Ni Po           823 --
Pangu         2231 A535784-C  S                    123 --
Gordman       2232 E659135-6    Lo                 210 --
Lelion        2234 B343642-6  N Ni Po Co           102 --
Cirli         2240 C57A745-9    Wa                 322 --
Franis        2331 C6517B8-7    Po              A  114 --
Maartin       2334 C455445-A    Ni                 110 --
Sengas        2335 B233689-C  S Ni Po              522 --
Bulgy         2337 C547403-8  S Ni                 113 --
Extol         2340 D594113-5    Lo                 320 --
Jesed         2431 A410200-F  N Lo                 134 --
Nekrin        2432 C336304-7  S Lo                 903 --
Ganing        2433 B887440-6  N Ni                 121 --
Calavo        2435 B00077A-8  S As Na              211 --
Lome          2436 B366557-8    Ag Ni              101 --
Joderag       2438 E300410-9    Ni Va              414 --
Cruden        2439 C125526-9    Ni                 523 --
Atsaria       2440 A43866A-C    Ni                 723 --
#--------1---------2---------3---------4---------5-------
#PlanetName   Loc. UPP Code   B   Notes         Z  PBG Al
#----------   ---- ---------  - --------------- -  --- --
Ibarrin       2531 E848211-6    Lo                 411 --
Calatoomas    2532 E645698-6    Ag Ni              223 --
Aree          2533 C100546-A    Ni Va              400 --
Patinim       2538 B84047B-6    De Ni Po        A  705 --
Cindon        2539 A427687-C    Ni                 203 --
Berle         2540 B88A433-B    Ni Wa              325 --
Amig          2631 A42578C-B                       213 --
Sheras        2634 A486324-B  N Lo                 315 --
Ganstet       2635 EAF9335-7    Fl Lo              423 --
Harvoser      2636 B688510-7  S Ag Ni              402 --
Chamlar       2637 B310215-D    Lo                 225 --
Denaryn       2639 C79A444-A    Ni Wa              123 --
Iderblos      2731 D477200-6  S Lo                 423 --
Ducna         2733 AAE8553-C  N Fl Ni              103 --
Jildung       2734 B253498-A    Ni Po              613 --
Weis          2735 B67A422-9  2 Ni Wa              122 --
DOOHAN        2739 C6569A6-7  S Hi                 810 --
NSA           2832 A220965-F  N De Hi In Na Po     813 --
Einstus       2834 C200799-6    Na Va              724 --
Namis         2839 A472775-9  N                    502 --
ADDISON       2932 C6A9A69-D  S Fl Hi              322 --
Plode         2933 E340869-5    De Po              814 --
Ehrssok       2936 D3598A9-5                       122 --
Lariam        2937 A577879-8  N                    224 --
Fardun        2939 A37A114-F    Lo Wa              824 --
Mira          2940 C741745-8    Po                 114 --
Tomte         3031 C520554-A    De Ni Po           505 --
Chirote       3032 B32079B-B  N De Na Po           503 --
Linke         3034 B726100-8  N Lo              A  123 --
Oren          3035 C576432-8  S Ni                 110 --
Fotie         3037 E9A5101-8    Fl Lo              211 --
Sershbert     3040 A9A8420-9    Fl Ni              512 --
Jonken        3131 E4767B9-5    Ag                 134 --
Takaridor     3135 B794620-5    Ag Ni              323 --
Bellames      3136 C410369-A    Lo                 411 --
Gandus        3137 B000210-E    As Lo              203 --
Karoline      3138 C542353-7    Lo Po              922 --
Abigail       3140 A1107BF-C    Na                 313 --
Somvillen     3231 C432697-7    Na Ni Po           124 --
Cebra         3235 D530895-6  S De Na Po           103 --
Bronie        3236 C679730-6                       224 --
Thera         3237 C385794-4    Ag Ri              215 --
