Sector	SS	Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	Worlds	Allegiance	Stellar
Varan	J	1521	Dalthor's Den	A8697A7-E	Ri	{3}	(C66+2)	[A90H]	BC	N		914	15	Vn	F6 V M6 V
Varan	J	1528	Thailus	E567364-D	Lo Lk Sa	{-1}	(B20+2)	[425J]	B	 		720	6	Vn	F4 V M4 V
Varan	J	1530	Hansille	C320100-C	He Lo Po	{-1}	(C00+0)	[007H]	B	 		420	7	Vn	G4 V
Varan	J	1626	Talerin	D312351-E	Ic Lo Tz	{-1}	(E20+1)	[029H]	B	 		524	11	Vn	M2 V K5 V
Varan	J	1628	Maccabbee	C843578-D	Ni Ag Po	{0}	(842+3)	[858F]	BC	 		623	15	Vn	F3 V
Varan	J	1629	Sarinlor	C442532-D	He Ni Po Co Tz	{-1}	(E42+1)	[143H]	B	S		525	12	Vn	M0 V
Varan	J	1630	Sarinlad	A140267-C	De Lo Po Sa	{2}	(810+1)	[344G]	B	A		924	13	Vn	F7 V M7 V
Varan	K	1722	Solon	C434477-F	Ni Pa Po Px	{-1}	(E32+3)	[23AE]	Bc	G		502	12	Vn	K1 V
Varan	K	1724	Arielleh	A686522-F	Ni Ag Pr Tu	{2}	(B44+0)	[375G]	BcC	 		923	11	Vn	F6 V
Varan	K	1826	Itterat	A365864-F	Ph Pa Ri	{3}	(87D+1)	[9B2J]	BcCe	F		410	11	Vn	F6 V M3 V
Varan	K	1828	Shentai Yi	C442231-E	He Lo Po	{-1}	(B10+0)	[313J]	B	S		705	10	Vn	F4 V M6 V
Varan	K	1921	Sitka	C355465-F	Ni Pa	{-1}	(A35+1)	[439H]	Bc	M		613	11	Vn	K1 V M5 V
Varan	K	1923	Kellan	A8686A4-G	Ni Ag Ri Tz	{3}	(743+3)	[274G]	BC	N		200	11	Vc	M0 V M5 V
Varan	K	1924	Falan	A7686A4-G	Ni Ag Ri Co Tz	{3}	(731+5)	[957J]	BC	N		310	11	Vc	M2 V
Varan	K	1926	Anet Zhoelle	C688720-F	Ag Ri	{2}	(469+5)	[695H]	BC	S		300	12	Vn	G9 V
Varan	K	1928	Garth	B200224-E	Va Lo Lk Sa	{-1}	(B10+0)	[115J]	B	 		200	4	Vn	F4 V M5 V
Varan	K	1929	Omnie	B230438-E	De Ni Po Ho Px	{-1}	(C35+1)	[033K]	B	N		322	13	Vn	M2 II M6 V
Varan	K	1930	Haitu	C1009B8-D	Va Hi Na In	{2}	(E98+0)	[DC2J]	BE	S		215	12	Vn	F1 V M7 V
Varan	K	2022	Trevorra	A5686A4-G	Ni Ag Ri	{3}	(C55+1)	[693H]	BC	N		423	15	Vc	F7 V
Varan	K	2023	Varan	A8676C7-G	Ga Ni Ag Ri Cx	{5}	(L56+4)	[890D]	BC	B		544	21	Vc	G4 V
Varan	K	2024	Korrell	A4676A4-G	Ni Ag Ri	{3}	(36B+2)	[3A6D]	BC	N		110	7	Vc	K2 V M3 V
Varan	K	2028	Dahved	A310466-E	Ni Tz	{1}	(731+1)	[156G]	B	F		713	13	Vn	M0 V M7 V
Varan	K	2029	Furlough	C546622-E	Ni Ag	{0}	(752+1)	[461K]	BC	M		714	16	Vn	F5 V M3 V
Varan	K	2030	Mylan	E347467-D	Ni Pa	{-1}	(831+0)	[033H]	Bc	 		504	9	Vn	G4 V M4 V
Varan	K	2123	Niall	A7676A4-G	Ga Ni Ag Ri	{3}	(A41+2)	[67AG]	BC	N		500	3	Vc	F0 V
Varan	K	2124	Eddoh	A8686A4-G	Ni Ag Ri	{3}	(C42+3)	[876L]	BC	N		724	18	Vc	G7 V
Varan	K	2127	Kyle	A353430-F	Ni Pa Po	{1}	(835+1)	[653D]	Bc	N		510	11	Vn	F5 V M7 V
Varan	K	2128	Myrven	A548887-E	Ph Pa Pi Lk Sa	{2}	(E79+1)	[B86B]	BcDe	 		814	14	Vn	F0 V
Varan	K	2130	Kolleene	A2527B7-D	Po	{2}	(565+3)	[A91H]	B	 		100	4	Vn	F7 V
Varan	K	2228	Deeno Teefe	C231676-E	Ni Na Po Px	{-1}	(B52+1)	[658J]	B	M		615	14	Vn	F7 V
Varan	K	2230	Nanetta	A200788-D	Va Na Pi Tz	{2}	(86A+2)	[598F]	BD	 		223	13	Vn	M0 V
Varan	K	2321	Fanor	C302200-F	Ic Va Lo Tz	{-1}	(910+1)	[215G]	B	 		911	10	Vn	M0 V
Varan	K	2327	Valree	A573632-E	Ni Ag	{2}	(F51+2)	[78AE]	BC	N		823	14	Vn	F5 V
Varan	K	2329	Chevil	E4269C9-D	Hi In	{2}	(98B+2)	[EBAG]	BE	 		913	16	Vn	F2 V
Varan	K	2430	Tiron	B446412-C	Ni Pa Tz	{-1}	(B31+1)	[634L]	Bc	M		920	14	Vn	M0 V
Varan	L	2523	L-2523	X648000-0	Ba	{-3}	(600+0)	[0000]		 		022	15	Na	G7 V M0 VI M0 VI G0 VI K3 VI
Varan	L	2622	L-2622	X99A000-0	Wa Ba Co Tz	{-3}	(600+0)	[0000]		 		004	11	Na	M6 V
Varan	L	2623	L-2623	X210000-0	Ba Sa	{-3}	(700+0)	[0000]		 		002	10	Na	G0 V
Varan	L	2624	L-2624	X554000-0	Ba Po	{-3}	(600+0)	[0000]		 		002	5	Na	K6 V
Varan	L	2626	L-2626	X400000-0	Va Ba Tz	{-3}	(800+0)	[0000]		 		000	6	Na	M9 V Bd
Varan	L	2628	L-2628	X9A5000-0	Fl Ba	{-3}	(600+0)	[0000]		 		002	9	Na	F4 V K5 VI FD
Varan	L	2721	L-2721	X592000-0	He Ba Co	{-3}	(300+0)	[0000]		 		020	15	Na	F2 V G3 V K2 V
Varan	L	2723	L-2723	X100000-0	Va Ba Lk Sa	{-3}	(700+0)	[0000]		 		012	11	Na	G9 V
Varan	L	2730	L-2730	X544000-0	Ba Po Co	{-3}	(800+0)	[0000]		 		023	13	Na	F7 V K8 VI FD
Varan	L	2821	L-2821	X676000-0	Ba Tz	{-3}	(800+0)	[0000]		 		031	13	Na	M7 V Bd
Varan	L	2824	L-2824	X401000-0	Ic Va Ba	{-3}	(600+0)	[0000]		 		001	13	Na	K7 V
Varan	L	2826	L-2826	X957000-0	Ba Lk Sa	{-3}	(400+0)	[0000]		 		022	14	Na	G7 V M1 VI
Varan	L	2829	L-2829	X8DA000-0	Ba Sa	{-3}	(700+0)	[0000]		 		013	9	Na	F4 V M7 V
Varan	L	2830	L-2830	X100000-0	Va Ba	{-3}	(A00+0)	[0000]		 		001	6	Na	K4 V M7 V Bd
Varan	L	2925	L-2925	X8C5000-0	Fl Ba	{-3}	(500+0)	[0000]		 		000	6	Na	G6 V M3 V
Varan	L	2928	L-2928	X544000-0	Ba Po	{-3}	(400+0)	[0000]		 		032	18	Na	K3 III
Varan	L	3023	L-3023	X473000-0	Ba Ho	{-3}	(800+0)	[0000]		 		020	11	Na	M0 II
Varan	L	3029	L-3029	X631000-0	Ba Po	{-3}	(700+0)	[0000]		 		002	11	Na	M9 III
Varan	L	3030	L-3030	X534000-0	Ba Po	{-3}	(B00+0)	[0000]		 		002	7	Na	G7 V K0 V
Varan	L	3124	L-3124	X130000-0	De Ba Po	{-3}	(300+0)	[0000]		 		004	8	Na	G1 V K8 VI
Varan	L	3127	L-3127	X77A000-0	Wa Ba	{-3}	(700+0)	[0000]		 		022	9	Na	F5 V K5 V
Varan	L	3128	L-3128	X867000-0	Ga Ba Lk Sa	{-3}	(500+0)	[0000]		 		023	11	Na	F4 V
Varan	L	3222	L-3222	X631000-0	Ba Po	{-3}	(700+0)	[0000]		 		031	13	Na	G5 V
Varan	L	3226	L-3226	X887000-0	Ga Ba	{-3}	(700+0)	[0000]		 		000	9	Na	F0 IV GD
Varan	L	3227	L-3227	X445000-0	Ba Co Lk Sa	{-3}	(A00+0)	[0000]		 		000	9	Na	M6 V
Varan	M	0536	M-0536	X211000-0	Ic Ba	{-3}	(800+0)	[0000]		 		023	11	Na	F1 V
Varan	M	0735	M-0735	X450000-0	De Ba Po	{-3}	(600+0)	[0000]		 		003	15	Na	K6 V M5 V
Varan	N	0933	Bypalor	C120400-A	De Ni Po Sa	{-1}	(C31+5)	[535E]	B	 		125	12	Vn	M1 V
Varan	N	0938	Arestanitz	B301766-A	Ic Va Na Pi Co Tz	{0}	(968+1)	[273E]	BD	 		210	9	Vn	M2 V M2 D
Varan	N	1036	Scisser	A548544-A	Ni Ag Cp Sa	{3}	(D42+3)	[285K]	BC	A		202	8	Vn	F6 V
Varan	N	1037	Omandel	B6A7100-A	Fl Lo	{-1}	(F00+0)	[004F]	B	 		613	14	Vn	F9 V
Varan	N	1038	Qiver	A201300-A	Ic Va Lo Lk Sa	{1}	(G20+1)	[147G]	B	F		225	18	Vn	M3 V
Varan	N	1133	Mordepal	A667300-A	Ga Lo Sa	{1}	(F20+1)	[446H]	B	F		422	13	Vn	G3 V M1 V
Varan	N	1134	Rezon	A350998-A	De Hi Po	{3}	(889+3)	[BC1G]	BE	 		900	11	Vn	F4 V M7 V
Varan	N	1138	Kahrl	C765655-A	Ga Ni Ag Ri	{1}	(D53+1)	[372F]	BC	 		215	12	Vn	G5 V M1 V
Varan	N	1232	Barok	C549667-A	Ni	{-1}	(951+1)	[951F]	B	S		300	9	Vn	F8 V
Varan	N	1235	Nohbal	B130899-A	De Ph Na Po	{0}	(D78+2)	[582K]	Be	S		212	16	Vn	K6 V M3 V
Varan	N	1333	Sherral	A599361-A	Lo	{1}	(A20+1)	[040K]	B	N		223	12	Vn	F5 V
Varan	N	1334	Endormin	C98A698-A	Wa Ni Ri	{0}	(656+1)	[B65K]	BC	G		900	7	Vn	F7 V
Varan	N	1336	Guyon	D7979A8-A	Hi In	{2}	(D98+0)	[BC5G]	BE	 		124	14	Vn	F5 V
Varan	N	1337	Wendover	C99A672-A	Wa Ni Lk Sa	{-1}	(B51+2)	[457H]	B	 		114	14	Vn	F2 V M9 V
Varan	N	1432	Balo Theben	D678234-B	Lo Co	{-1}	(E10+1)	[414B]	B	S		525	10	Vn	G8 V
Varan	N	1440	N-1440	X253000-0	Ba Po	{-3}	(A00+0)	[0000]		 		014	13	Na	G7 V
Varan	N	1531	Felle	B223579-C	Ni Po Tz Px	{-1}	(C41+0)	[84AF]	B	G		713	10	Vn	M0 V
Varan	N	1533	Redolen	E230666-B	De Ni Na Po Tz Px	{-1}	(A53+3)	[751E]	B	 		123	12	Vn	M3 V M3 V
Varan	N	1536	Darrinek	A310005-A	Tz	{1}	(F00+0)	[0000]		 		533	17	Vn	M0 V M7 V
Varan	N	1537	Orrin	B120999-A	De Hi Na In Po	{2}	(98B+0)	[AB09]	BE	 		615	12	Vn	F5 V
Varan	N	1631	Yoshille	C373668-C	Ni Ag	{0}	(656+1)	[367H]	BC	S		800	11	Vn	F9 V M6 V
Varan	N	1632	Tandoran	E385832-B	Ph Pa Ri Lk Sa	{1}	(A76+2)	[795K]	BcCe	 		924	15	Vn	F3 V
Varan	N	1633	Lemage	E430565-B	De Ni Po Tz	{-1}	(C44+0)	[741B]	B	 		514	14	Vn	M0 V K2 V
Varan	N	1638	Edwert	B200687-A	Va Ni Na Tz	{-1}	(954+1)	[551G]	B	 		614	17	Vn	M1 V
Varan	O	1733	Gareon	A323677-B	Ni Na Po Px	{1}	(D55+0)	[47AG]	B	S		112	8	Vn	F1 IV
Varan	O	1735	Malth	B57345A-A	Ni Pa	{-1}	(E33+3)	[736K]	Bc	 		823	15	Vn	F3 V
Varan	O	1736	Warredd	D1009B8-A	Va Hi Na In	{2}	(887+2)	[8B5D]	BE	 		400	13	Vn	F5 V
Varan	O	1737	Indolen	E234546-A	Ni Ag Po Tz Px	{0}	(744+2)	[755H]	BC	 		901	4	Vn	M3 V G9 V
Varan	O	1738	Cirilli	D551335-A	Lo Po	{-1}	(A20+1)	[524E]	B	 		112	11	Vn	F5 V
Varan	O	1833	Gordell	D567875-B	Ph Pa Ri	{1}	(D78+0)	[698D]	BcCe	S		623	10	Vn	G3 V
Varan	O	1835	Enghen	E89A655-A	Wa Ni	{-1}	(A54+1)	[754G]	B	 		525	13	Vn	F4 V
Varan	O	1837	Calerean	B231754-A	Na Po	{0}	(A65+1)	[B72E]	B	 		322	13	Vn	G4 V
Varan	O	1840	O-1840	X738000-0	Ba Tz	{-3}	(800+0)	[0000]		 		000	11	Na	M0 V
Varan	O	1934	Ufyrt	C452526-B	Ni Po	{-1}	(B45+2)	[446F]	B	S		112	9	Vn	K5 V
Varan	O	1935	Tellane	B8BA37A-B	Fl Lo Co	{-1}	(820+1)	[629D]	B	 		301	6	Vn	F8 IV M8 D M7 D
Varan	O	1938	Yerroll	C593478-A	Ni Pa	{-1}	(B31+0)	[432G]	Bc	S		323	13	Vn	F7 V M6 V
Varan	O	2034	Lashielle	C99A786-B	Wa Pi Co Lk Sa	{0}	(767+1)	[277G]	BD	M		123	14	Vn	F5 V M6 V
Varan	O	2035	Vanloft	C587778-B	Ag Ri Lk Sa	{2}	(86A+1)	[797G]	BC	 		123	15	Vn	K3 V
Varan	O	2037	Corun	C000412-A	As Ni	{-1}	(634+4)	[435H]	B	S		200	11	Vn	G5 V
Varan	O	2038	Chadow	C475300-A	Lo Co	{-1}	(E20+2)	[425J]	B	 		920	13	Vn	G2 V
Varan	O	2234	Magera	A6A7955-B	Fl Hi In Cp	{5}	(B9B+0)	[BD19]	BE	A		402	9	Vn	F4 V
Varan	O	2236	Zanselut	A7BA325-A	Fl Lo Tz	{1}	(C20+5)	[042J]	B	 		212	15	Vn	M3 V
Varan	O	2237	Benvolent	C46169A-A	Ni Ri	{0}	(H52+2)	[A65E]	BC	M		525	15	Vn	F8 V M3 V
Varan	O	2240	O-2240	X366000-0	Ba Tz	{-3}	(A00+0)	[0000]		 		023	11	Na	M0 V K6 V
Varan	O	2331	Marjoyan	C775655-C	Ni Ag	{0}	(A51+4)	[467G]	BC	S		120	12	Vn	G5 V
Varan	O	2332	Karistel	BA8A658-C	Oc Ni Ri Co	{0}	(951+4)	[565H]	BC	S		615	15	Vn	F9 V
Varan	O	2333	Logalist	C98A452-B	Wa Ni	{-1}	(432+3)	[435F]	B	M		500	5	Vn	F5 V M9 V
Varan	O	2338	Geds Myrt	C311755-A	Ic Na Pi Co	{0}	(A68+1)	[774F]	BD	S		311	8	Vn	F6 V
Varan	O	2433	Pandissol	E667000-B	Ga Di	{-1}	(D00+0)	[0000]		 	A	915	18	Vn	F5 V
Varan	P	2540	P-2540	X450000-0	De Ba Po	{-3}	(600+0)	[0000]		 		031	9	Na	G0 V
Varan	P	2637	P-2637	X368000-0	Ba	{-3}	(500+0)	[0000]		 		013	11	Na	G5 V
Varan	P	2640	P-2640	X400000-0	Va Ba	{-3}	(500+0)	[0000]		 		014	15	Na	F6 V K8 VI
Varan	P	2831	P-2831	X100000-0	Va Ba	{-3}	(A00+0)	[0000]		 		032	13	Na	G7 V
Varan	P	2836	P-2836	X000000-0	As Ba	{-3}	(A00+0)	[0000]		 		022	14	Na	G2 V
Varan	P	2839	P-2839	X574000-0	Ba Sa	{-3}	(900+0)	[0000]		 		002	9	Na	K6 III K8 V Bd
Varan	P	2840	P-2840	X200000-0	Va Ba Tz	{-3}	(300+0)	[0000]		 		014	15	Na	M0 V
Varan	P	2932	P-2932	X211000-0	Ic Ba Tz	{-3}	(B00+0)	[0000]		 		012	13	Na	M2 V
Varan	P	2933	P-2933	X691000-0	Ba	{-3}	(B00+0)	[0000]		 		001	7	Na	A4 V
Varan	P	2937	P-2937	X653000-0	Ba Po	{-3}	(900+0)	[0000]		 		002	10	Na	F7 V F2 V K9 VI F6 VI GD
Varan	P	2938	P-2938	X657000-0	Ga Ba Sa	{-3}	(600+0)	[0000]		 		012	11	Na	F6 V K2 VI K2 VI
Varan	P	2939	P-2939	X8A8000-0	Fl Ba Sa	{-3}	(200+0)	[0000]		 		013	11	Na	M0 V K6 V
Varan	P	3038	P-3038	X511000-0	Ic Ba Co	{-3}	(400+0)	[0000]		 		001	12	Na	F2 V
Varan	P	3040	P-3040	X456000-0	Ba	{-3}	(A00+0)	[0000]		 		012	9	Na	G9 V G1 V
Varan	P	3133	P-3133	X130000-0	De Ba Po	{-3}	(500+0)	[0000]		 		011	11	Na	M9 II
Varan	P	3137	P-3137	X75A000-0	Wa Ba	{-3}	(C00+0)	[0000]		 		032	17	Na	G8 V
Varan	P	3139	P-3139	X875000-0	Ba Tz	{-3}	(A00+0)	[0000]		 		000	8	Na	M8 V
Varan	P	3231	P-3231	X764000-0	Ba	{-3}	(700+0)	[0000]		 		023	13	Na	G6 V M8 V
Varan	P	3232	P-3232	X766000-0	Ga Ba	{-3}	(600+0)	[0000]		 		025	13	Na	F4 V
Varan	P	3234	P-3234	X666000-0	Ga Ba	{-3}	(200+0)	[0000]		 		024	18	Na	F1 V G0 V

