Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar	Old A	
1416	Finn	B799200-D	Lo Ht	{ 2 }	(912-2)	[1418]	-	KM	-	823	13	SoCf	G9 V	SoCf	
1418	Patterson	A577862-C	Pa Ph Pi Asla3 Mr Ht	{ 3 }	(E7D-1)	[4B18]	-	KM	-	904	11	SoCf	F5 V M2 V	SoCf	
1420	Dahlpacker	E565474-7	Ni Pa Co	{ -3 }	(631-5)	[2135]	-	-	-	200	3	SoCf	G9 V	SoCf	
1511	Vasya	A520210-D	De He Lo Po Ht	{ 1 }	(511-3)	[1318]	-	-	-	410	10	SoNS	G4 V	SoNS	
1512	Minsk	C7319BB-C	Hi Na Po Cp Pz Ht	{ 2 }	(B8D+4)	[BB7E]	-	-	A	400	5	SoNS	F2 V	SoNS	
1513	Roblig	B301863-C	Ic Na Va Ph Pi Asla2 Co Lk Mr Ht	{ 3 }	(C7E+1)	[5B29]	-	KM	-	602	6	SoNS	K1 V	SoNS	
1516	Zathaneze	C557343-9	Lo Lk	{ -1 }	(A20-4)	[1226]	-	-	-	505	9	SoNS	G6 V	SoNS	
1517	Quraifi	E000673-9	As Na Ni Va	{ -2 }	(952-5)	[3426]	-	-	-	610	12	SoNS	M2 V	SoNS	
1612	Nethery	B401102-E	Ic Lo Va Ho Ht	{ 1 }	(401-3)	[121A]	-	-	-	401	7	SoCf	F6 V M7 V	SoCf	
1619	Intress	C6A3435-A	Fl Ni Rs Fr	{ 0 }	(933-2)	[2438]	-	-	-	812	15	SoCf	M0 V	SoCf	
1620	Sumerfelt	C655446-9	Ni Ga Pa Co Tu	{ -1 }	(932-2)	[3348]	-	-	-	403	12	SoCf	M2 V M6 V	SoCf	
1713	Namedih	B300430-D	Ni Va Da Co Ht	{ 2 }	(635-2)	[1618]	-	KM	A	300	6	SoRD	K3 V	SoRD	
1714	Headley	E99A855-9	Wa Ph Pi Tz	{ -1 }	(D78-3)	[6737]	-	-	-	603	16	SoRD	M1 V M3 V	SoRD	
1720	Reed	B876523-B	Ag Ni	{ 2 }	(846-1)	[2728]	-	-	-	501	9	SoCf	K9 V M0 V	SoCf	
1815	Voetsak	B7B8899-B	Fl Ph Co	{ 3 }	(A7D+4)	[9B6C]	-	KM	-	300	7	SoRD	F4 V	SoRD	
1817	Vivian	B421346-D	He Lo Po Ho Ht	{ 1 }	(921+1)	[244C]	-	-	-	304	12	SoRD	G8 V M6 V	SoRD	
1818	Higdon	C999775-9	Pi	{ 0 }	(B69-2)	[5737]	-	-	-	402	10	SoCf	G3 V	SoCf	
1911	Pearce	C8338AB-A	Na Po Ph Pz	{ 1 }	(B7A+3)	[A97C]	-	-	A	201	10	SoRD	K7 V	SoRD	
1912	Dixon	B420644-C	De He Na Ni Po Ho Ht	{ 1 }	(C55-1)	[473A]	-	-	-	813	7	SoRD	G2 V M3 V	SoRD	
1913	Tralp	D968998-8	Hi Pr	{ -1 }	(F88-1)	[9858]	-	-	-	213	10	SoRD	K5 V	SoRD	
1915	Abrell	C422664-A	He Na Ni Po O:1815 Ho Sa	{ 0 }	(B54-2)	[4638]	-	-	-	203	10	SoRD	G8 V K7 V	SoRD	
1916	Dreesen	A201652-E	Ic Na Ni Va Cp Tz Ht	{ 1 }	(955-3)	[271A]	-	-	-	410	12	SoRD	M3 V	SoRD	
1917	Ownes	C786567-9	Ag Ni Ga Pr O:1815	{ 0 }	(A44+1)	[5559]	-	-	-	703	10	SoRD	K2 V	SoRD	
1918	Wackowsk	A7B5775-D	Fl Co Tz Ht	{ 2 }	(D6D+1)	[593B]	-	-	-	513	10	SoRD	M1 V	SoRD	
1919	Pieper	C566773-8	Ag Ri	{ 1 }	(G69-2)	[4825]	-	-	-	125	13	SoRD	G1 V M9 V	SoRD	
2012	Tryon	C310447-B	Ni Tz	{ 0 }	(733+1)	[445B]	-	-	-	710	8	SoRD	M2 V	SoRD	
2019	Ensley	B420578-D	De He Ni Po Co Lk Ht	{ 2 }	(A46+2)	[575D]	-	KM	-	803	12	SoRD	K4 V	SoRD	
2118	Ftuihtaea	B7B8778-B	Fl Co Tz	{ 3 }	(C6D+3)	[7A5B]	-	KM	-	103	9	SoCf	M1 V	SoCf	
2213	Rogalle	E421666-8	He Na Ni Po O:1815 Tz	{ -3 }	(C51-4)	[5347]	-	-	-	304	9	SoRD	M0 V	SoRD	
2214	Coglan	AA9A8A6-C	Oc Ph Pi Ht	{ 2 }	(E7D+1)	[7A4D]	-	-	-	913	7	SoCf	G4 V	ImDs	
2218	Vaderwall	C652453-A	Ni Po Tz	{ 0 }	(933-3)	[1427]	-	-	-	203	10	SoCf	M2 V	SoCf	
2219	Eoyang	D545575-7	Ag Ni	{ -2 }	(742-4)	[3335]	-	-	-	702	8	SoCf	G3 V	SoCf	
2312	Last Pine	E5565A5-7	Ag Ni Sa	{ -2 }	(742-5)	[1313]	-	-	-	504	8	SoCf	G0 V	ImDs	
2314	Boldfulch	C431444-B	Ni Po Tz	{ 0 }	(633-2)	[2439]	-	-	-	200	12	SoCf	M0 V M1 V	SoCf	
2316	Cloverreach	E873640-6	Ni	{ -3 }	(851-5)	[1311]	-	-	-	703	11	SoCf	G7 V M4 V	ImDs	
2317	Rodriguez	D521320-8	He Lo Po Tz	{ -3 }	(820-5)	[1113]	-	-	-	412	9	SoCf	M0 V	SoCf	
2319	Otha	E434522-9	Ni	{ -2 }	(D42-5)	[1315]	-	-	-	824	16	SoCf	K3 V	ImDs	
2411	Alto	A5418AE-A	He Po Ph Pi Pz Tz	{ 2 }	(F7C+5)	[CA9F]	-	-	A	605	13	SoCf	M3 V	ImDs	
2412	Boshkoff	D636857-8	Ph	{ -2 }	(E76-2)	[8658]	-	-	-	304	13	SoCf	K3 V M6 V	ImDs	
2413	Stevanic	C797687-8	Ag Ni	{ -1 }	(C53-1)	[6558]	-	-	-	904	13	SoCf	G5 V K1 V	ImDs	
2415	Clarmoment	B543426-B	Ni Po	{ 1 }	(634+1)	[354A]	-	-	-	700	13	SoCf	M2 V	ImDs	
2416	Dexter	B587510-B	Ag Ni Pr	{ 2 }	(E46-2)	[1716]	-	-	-	525	10	SoCf	K0 V	ImDs	
2418	Schaut	C720115-9	De He Lo Po	{ -1 }	(600-3)	[1137]	-	-	-	803	14	SoCf	K1 V	ImDs	
2419	Drang	E651124-7	Lo Po	{ -3 }	(300-5)	[1135]	-	-	-	103	12	SoCf	F6 V	SoCf	
2512	Sinott	E431742-7	Na Po Tz	{ -2 }	(C6A-5)	[391A]	-	-	-	333	17	SoCf	M1 V	ImDs	
2518	Pankow	A56146B-B	Ni An Mr	{ 1 }	(834-3)	[1518]	-	-	R	702	15	SoCf	G1 V G9 V	ImDs	
2519	Veneet	C7428A5-8	He Po Ph Pi Co	{ -1 }	(E77-3)	[6736]	-	-	-	404	11	SoCf	G9 V	ImDs	
2616	Fornorb	D997A85-A	Hi In	{ 2 }	(G9D-1)	[8D38]	BE	-	-	204	11	ImDs	M0 V	ImDs	
2617	Dix	E8C9343-9	Fl Lo Da Tz	{ -2 }	(620-5)	[1126]	B	-	A	510	12	ImDs	M2 V	ImDs	
2715	Byrley	C687538-9	Ag Ni Ga Pr	{ 0 }	(944+1)	[5559]	BcC	-	-	602	12	ImDs	K9 V M1 V	ImDs	
2716	Milbrath	E430896-7	De Na Po Ph Lk	{ -2 }	(A76-3)	[7646]	Be	-	-	613	10	ImDs	G5 V	ImDs	
2717	Herculis	B421402-B	He Ni Po Tz	{ 1 }	(C34-3)	[151A]	B	-	-	415	10	ImDs	M1 V	ImDs	
2718	Udkukhii	C8C6789-9	Fl Tz	{ 0 }	(A69+1)	[876A]	B	-	-	310	10	ImDs	M1 V	ImDs	
2811	Nakiim	C777862-8	Pa Ph Pi O:3012	{ -1 }	(D77-5)	[4714]	BcDe	-	-	903	9	ImDs	M2 V	ImDs	
2813	Lonelund	C516320-A	Ic Lo Co	{ 0 }	(920-4)	[1315]	B	-	-	104	13	ImDs	G3 V	ImDs	
2815	Udikaa	C6A5754-A	Fl Fr	{ 1 }	(E6A-1)	[5838]	B	-	-	423	8	ImDs	M2 V	ImDs	
2816	Tyrrell	C421663-A	He Na Ni Po Fr Mr Sa	{ 0 }	(C54-3)	[3627]	B	-	-	804	8	ImDs	M1 V	ImDs	
2817	Hrongding	B621511-B	He Ni Po Ho Tz	{ 2 }	(D46-2)	[1718]	-	NS	-	524	11	ImDs	K0 V	CsIm	
2912	Gyurenek	B778458-C	Ni Pa An Co Ht	{ 1 }	(834+1)	[455C]	Bc	N	-	702	8	ImDs	M2 V M3 V	ImDs	
2913	Ramli	C7B5114-A	Fl Lo Tz	{ 0 }	(900-2)	[1138]	B	-	-	115	11	ImDs	M2 V M6 V	ImDs	
2914	Brand	C541364-9	He Lo Po O:3012	{ -1 }	(920-3)	[1237]	B	-	-	522	7	ImDs	K4 V	ImDs	
2915	Norkio	C67578A-8	Ag Pi Co Tu	{ 0 }	(E68+2)	[977A]	BCD	-	-	214	8	ImDs	K8 V	ImDs	
2917	Parperides	C765335-9	Lo Ga Ho Tr	{ -1 }	(920-3)	[1237]	B	-	-	804	14	ImDs	F7 V G5 V	ImDs	
3012	Kline	A642987-E	He Hi In Po Cp Co Tz Ht	{ 4 }	(F8G+4)	[9D5E]	BEF	-	-	104	10	ImDs	M0 V M1 V	ImDs	
3014	Gupta	E422214-7	He Lo Po	{ -3 }	(410-5)	[1135]	B	-	-	902	10	ImDs	F5 V	ImDs	
3019	Amelbar	C6A4775-9	Fl Fr	{ 0 }	(D69-2)	[5737]	B	S	-	513	10	ImDs	M1 V	ImDs	
3020	Einkamp	E8648BD-6	Ri Pa Ph Pz UApe1	{ -1 }	(A76+3)	[C79A]	BcCe	-	A	825	11	ImDs	F4 V	ImDs	
3113	Curson	C580310-9	De Lo	{ -1 }	(920-5)	[1214]	B	-	-	313	10	ImDs	G2 V	ImDs	
3114	Melody	D5578C8-6	Pa Ph Pz Co	{ -2 }	(A75-2)	[8656]	Bce	-	A	410	8	ImDs	G2 V	ImDs	
3118	Skyhaven	E588501-8	Ag Ni Pr	{ -2 }	(944-5)	[1718]	BcC	-	-	502	11	ImDs	G1 V	ImDs	
3212	Sterchi	B697663-A	Ag Ni Da Droy5 Mr	{ 2 }	(B56-1)	[3827]	BC	N	A	203	8	ImDs	G4 V	ImDs	
3213	Rouern	D5568DC-4	Pa Ph Pz Lt	{ -2 }	(A74+1)	[B687]	Bce	-	A	924	10	ImDs	M1 V	ImDs	
3214	Kanamsa	B577355-C	Lo Ht	{ 1 }	(921-1)	[143A]	B	-	-	204	7	ImDs	G1 V G4 V	ImDs	
3219	Vallance	A6B4598-D	Fl Ni Da Tz Ht	{ 1 }	(D45+1)	[565E]	B	-	A	133	10	ImDs	M0 V M4 V	ImDs	
3220	Gikir	B6A78DD-9	Fl Ph Pz Tz	{ 1 }	(D7A+5)	[C99D]	Be	-	A	621	12	ImDs	M2 V	ImDs	
0122	Vaneken	C7B78A9-9	Fl Ph Co Tz	{ 0 }	(D79+1)	[986A]	-	-	-	203	9	SoCf	M3 V M7 V	SoCf	
0125	Ulm	A548666-C	Ag Ni O:0227 Ht	{ 2 }	(D56+1)	[584B]	-	-	-	614	11	SoCf	G1 V G4 V	SoCf	
0130	Rosefeld	E5218CB-7	He Na Po Ph Pi Pz Ho	{ -2 }	(A76+1)	[A679]	-	-	A	621	11	SoCf	G3 V M8 V	SoCf	
0223	Campany	B641888-A	He Po Ph Pi	{ 2 }	(D7B+2)	[8A5A]	-	-	-	821	11	SoCf	G9 V	SoCf	
0224	Romm	B531321-D	Lo Po Tz Ht	{ 1 }	(821-3)	[1419]	-	-	-	703	11	SoCf	M2 V	SoCf	
0225	Adopoulos	C100599-C	Ni Va Sa Ht	{ 0 }	(944+1)	[656D]	-	-	-	111	9	SoCf	M0 V	SoCf	
0227	Ock	A9A8855-E	Fl Ph Cp Co Tz Ht	{ 3 }	(B7E+1)	[6B3C]	-	KM	-	510	7	SoCf	M2 V M4 V	SoCf	
0229	Tworek	E8AA446-A	Fl Ni Co	{ -1 }	(932-2)	[3349]	-	-	-	812	10	SoCf	K5 V	SoCf	
0321	Usi Ub	C696966-A	Hi In O:0120	{ 3 }	(G8D+2)	[8C49]	-	-	-	714	14	SoCf	G5 V K9 V	SoCf	
0322	Wright	C000356-D	As Lo Va Ht	{ 0 }	(920-1)	[234C]	-	-	-	913	11	SoCf	M2 V	SoCf	
0327	Ciaconn	C89A220-B	Lo Wa	{ 0 }	(410-4)	[1216]	-	-	-	900	7	SoCf	G0 V	SoCf	
0329	Tenson	C63257A-A	Ni Po Ho	{ 0 }	(944+2)	[757C]	-	-	-	702	12	SoCf	F6 V	SoCf	
0330	Awrenek	D556110-7	Lo Co	{ -3 }	(300-5)	[1112]	-	-	-	504	15	SoCf	M2 V	SoCf	
0423	Wieaaw	E401568-9	Ic Ni Va Asla2 O:0624 Ho Sa	{ -2 }	(942-2)	[6359]	-	-	-	701	10	SoCf	G8 V M5 V	SoCf	
0425	Mitaro	B895301-C	Lo Ht	{ 1 }	(521-3)	[1418]	-	-	-	200	8	SoCf	G9 V	SoCf	
0427	Yoeahti	A542468-D	He Ni Po Asla4 O:0624 Tz Ht	{ 1 }	(B34+1)	[455D]	-	-	-	314	10	SoCf	M0 V	SoCf	
0428	Weiji	A741677-C	He Ni Po Tz Ht	{ 1 }	(855+1)	[675C]	-	-	-	200	8	SoCf	M2 V	SoCf	
0523	Havaiikii	B69A668-C	Ni Wa Mr Ht	{ 2 }	(C56+2)	[685C]	-	KM	-	604	10	SoCf	K1 V M8 V	SoCf	
0524	Butchko	E301552-A	Ic Ni Va Co Sa	{ -1 }	(B43-5)	[1416]	-	-	-	104	14	SoCf	K3 V M3 V	SoCf	
0526	Lancess	C677430-9	Ni Pa	{ -1 }	(832-5)	[1314]	-	-	-	820	9	SoCf	G5 V	SoCf	
0528	Gobi	D8408AD-6	De He Po Ph Pi Pz Tz	{ -2 }	(A75+2)	[C69A]	-	-	A	800	8	SoCf	M1 V	SoCf	
0530	Troy	C562369-9	Lo O:0931 Co Tz	{ -1 }	(920+1)	[426A]	-	-	-	604	10	SoCf	M1 V	SoCf	
0623	Pathak	D722400-9	He Ni Po Ho Tz	{ -2 }	(931-5)	[1214]	-	-	-	403	14	SoCf	G4 V K8 V M9 V	SoCf	
0624	Iouo	A79A96B-E	Hi In Wa Asla6 Mr Ht	{ 5 }	(B8H+5)	[BE7G]	-	KM	-	800	4	SoCf	K3 V M7 V	SoCf	
0625	Esteraj	C7B7400-B	Fl Ni Tz	{ 0 }	(733-4)	[1416]	-	-	-	910	8	SoCf	M0 V	SoCf	
0627	Hekhtye	C311224-B	Ic Lo Asla5 Co Tz	{ 0 }	(410-2)	[1239]	-	-	-	800	6	SoCf	M3 V	SoCf	
0721	Jafar	X559100-8	Lo Fo	{ -3 }	(300-5)	[1113]	-	-	R	500	8	SoCf	G3 V	SoCf	
0722	Damond	B550788-A	De Po	{ 2 }	(A6B+2)	[795A]	-	-	-	210	8	SoCf	G0 V	SoCf	
0723	Boracim	A201232-E	Ic Lo Va Co Tz Ht	{ 1 }	(611-3)	[131A]	-	-	-	402	14	SoCf	M1 V	SoCf	
0724	Ristel	C536555-B	Ni	{ 0 }	(744-2)	[3539]	-	-	-	600	11	SoCf	F3 V	SoCf	
0824	Feayu	C99A567-B	Ni Wa O:0624	{ 0 }	(944+1)	[555B]	-	-	-	720	8	SoCf	K5 V M0 V	SoCf	
0825	Nait	B8C7415-C	Fl Ni Ho Tz Ht	{ 1 }	(B34-1)	[253A]	-	-	-	923	17	SoCf	K7 V M3 V	SoCf	
0827	Sod	B853423-B	Ni Po	{ 1 }	(634-2)	[1528]	-	-	-	700	3	SoCf	G3 V	SoCf	
0829	Britten	A99A247-E	Lo Wa Ht	{ 1 }	(911+1)	[235E]	-	-	-	714	12	SoCf	G7 V	SoCf	
0830	Haworth	E653574-7	Ni Po Lk	{ -3 }	(741-5)	[3235]	-	-	-	404	16	SoCf	G6 V	SoCf	
0921	Antaeus	A779730-D	Pi Ht	{ 3 }	(C6E-1)	[2A18]	-	KM	-	203	11	SoCf	K0 V	SoCf	
0923	Feast	C6788AC-8	Pa Ph Pi Pz	{ -1 }	(E77+2)	[B78B]	-	-	A	113	9	SoCf	K9 V	SoCf	
0924	Lavik	XC9A355-6	Lo Oc Fo	{ -3 }	(520-5)	[1134]	-	-	R	604	12	SoCf	F5 V	SoCf	
0926	Shenski	E830342-7	De Lo Po	{ -3 }	(520-5)	[1113]	-	-	-	710	7	SoCf	F9 V	SoCf	
0928	Tsute	E7988AA-6	Pa Ph Pi Pz	{ -2 }	(A75+1)	[A678]	-	-	A	702	5	SoCf	G2 V	SoCf	
0930	Barland	A5678A7-C	Ri Pa Ph Ht	{ 3 }	(E7D+3)	[8B5C]	-	-	-	104	14	SoCf	K1 V	SoCf	
1021	Kriss	B787463-B	Ni Ga Pa Co Tu Mr	{ 2 }	(935-1)	[1628]	-	KM	-	812	13	SoCf	M1 V M3 V	SoCf	
1022	Hachiman	A620731-C	De He Na Po Pi Co Tz Ht	{ 2 }	(B6C-2)	[3918]	-	-	-	111	10	SoCf	M2 V	SoCf	
1023	Breck	E5958A9-6	Pa Ph Pi	{ -2 }	(A75-1)	[9667]	-	-	-	403	8	SoCf	K4 V	SoCf	
1027	Ethlum	B2018AB-C	Ic Na Va Ph Pi Pz Fr Sa Ht	{ 2 }	(C7C+4)	[AA7E]	-	-	A	602	10	SoCf	M3 V M4 V	SoCf	
1029	Perrault	A311846-E	Ic Na Ph Pi Ho Ht	{ 3 }	(A7E+2)	[7B4D]	-	KM	-	700	12	SoCf	G3 V	SoCf	
1030	Ithaqua	AB89249-E	Lo Co Ht	{ 2 }	(712+3)	[346F]	-	KM	-	112	7	SoCf	K2 V M8 V	SoCf	
1121	Merida	B898245-B	Lo Co	{ 1 }	(911-1)	[1339]	-	-	-	805	15	SoCf	G1 V	SoCf	
1123	Hale	B730154-C	De Lo Po Ho Tz Ht	{ 1 }	(601-1)	[123A]	-	-	-	303	11	SoCf	K9 V	SoCf	
1128	Issekhee	C430669-A	De Na Ni Po O:0931 Tz	{ 0 }	(D54+1)	[766B]	-	-	-	414	11	SoCf	K4 V M2 V M2 V	SoCf	
1129	Rasilha	C5758B6-8	Pa Ph Pi	{ -1 }	(D77-2)	[7747]	-	-	-	103	6	SoCf	G5 V M2 V	SoCf	
1222	Caldwell	D587798-6	Ag Ri	{ 0 }	(967+1)	[7756]	-	-	-	900	6	SoCf	F3 V M7 V	SoCf	
1230	Girral	E5307AE-7	De Na Po Pz Tz	{ -2 }	(966+2)	[B59B]	-	-	A	710	14	SoCf	M0 V	SoCf	
1321	Truelock	E848367-7	Lo O:1521	{ -3 }	(520-3)	[3157]	-	-	-	503	15	SoCf	K1 V K7 V	SoCf	
1323	Yuehtsao	X8C989D-9	Fl Ph Fo	{ -1 }	(A78+3)	[C79D]	-	-	R	600	7	SoCf	K8 V M1 V	SoCf	
1324	Uebelhor	A566877-C	Ri Pa Ph Cp Ht	{ 4 }	(E7E+4)	[8C5C]	-	KM	-	404	12	SoCf	F0 V	SoCf	
1326	Ramanar	A643755-D	Po Pi Rs Ht	{ 2 }	(A6D+1)	[593B]	-	-	-	510	6	SoCf	G4 V	SoCf	
1329	Quinn	AB75100-E	Lo Ht	{ 1 }	(501-3)	[1219]	-	-	-	920	5	SoCf	F5 V	SoCf	
1423	Vanus	B422201-E	He Lo Po Tz Ht	{ 1 }	(711-3)	[131A]	-	-	-	321	12	SoCf	M1 V M2 V	SoCf	
1427	Enbaum	C557675-8	Ag Ni	{ -1 }	(C53-3)	[4536]	-	-	-	913	14	SoCf	M2 V	SoCf	
1429	Calvo	B430444-D	De Ni Po Sa Ht	{ 1 }	(A34-1)	[253B]	-	-	-	704	14	SoCf	M0 V	SoCf	
1430	Grimes	E555100-8	Lo Co Lk	{ -3 }	(900-5)	[1113]	-	-	-	315	16	SoCf	F9 V M5 V	SoCf	
1521	Keyor	A201889-E	Ic Na Va Ph Pi Ho Ht	{ 3 }	(B7E+4)	[9B6F]	-	KM	-	710	10	SoCf	G4 V M5 V	SoCf	
1522	Vanauken	A201430-E	Ic Ni Va Fr Sa Ht	{ 1 }	(934-3)	[1519]	-	-	-	903	15	SoCf	M2 V M7 V	SoCf	
1524	Heather	A698532-D	Ag Ni Ht	{ 2 }	(846-2)	[1719]	-	-	-	710	10	SoCf	G7 V M3 V	SoCf	
1529	Trull	B000654-E	As Na Ni Va Ht	{ 2 }	(856+1)	[483C]	-	KM	-	400	3	SoCf	K5 V M0 V	SoCf	
1622	Buschfeld	E698333-7	Lo	{ -3 }	(520-5)	[1124]	-	-	-	300	6	SoCf	G9 V M6 V	SoCf	
1624	Mervyn	C301325-B	Ic Lo Va Co	{ 0 }	(820-2)	[1339]	-	-	-	403	14	SoCf	G8 III	SoCf	
1627	Acara	B67999B-D	Hi In Pz Ht	{ 4 }	(E8G+5)	[BD7F]	-	-	A	103	11	SoCf	M0 V	SoCf	
1725	Smilgys	E623466-8	Ni Po O:1627	{ -3 }	(A31-4)	[3147]	-	-	-	504	7	SoCf	K7 V K9 V	SoCf	
1728	Bishop	D422544-9	He Ni Po	{ -2 }	(A42-4)	[3337]	-	-	-	603	16	SoCf	F9 V	SoCf	
1730	Creighton	B436233-D	Lo Tz Ht	{ 1 }	(411-2)	[132A]	-	-	-	700	4	SoCf	M3 V M3 V	SoCf	
1821	Moxbarg	B502220-C	Ic Lo Va Co Ht	{ 1 }	(811-3)	[1317]	-	-	-	422	9	SoCf	K9 V	SoCf	
1823	Garniewicz	D630313-7	De Lo Po Sa	{ -3 }	(520-5)	[1124]	-	-	-	625	15	SoCf	F4 V	SoCf	
1824	Saienz	B850898-A	De Po Ph	{ 2 }	(C7B+2)	[8A5A]	-	-	-	911	10	SoCf	G5 V	SoCf	
1825	Lanchester	D421469-9	He Ni Po O:1627 Fr Lk	{ -2 }	(A31-1)	[526A]	-	-	-	604	13	SoCf	M2 V M2 V	SoCf	
1826	Annu-u	A560679-C	De Ni Ri Ht	{ 2 }	(C56+3)	[786D]	-	-	-	513	8	SoCf	F4 V	SoCf	
1827	Winterlot	C531898-9	Na Po Ph Tz	{ 0 }	(E79+1)	[8859]	-	-	-	704	8	SoCf	M2 V M3 V	SoCf	
1828	Shanjaijing	E6A4562-8	Fl Ni O:1627 Fr	{ -3 }	(841-5)	[1214]	-	-	-	610	10	SoCf	M1 V	SoCf	
1830	Kaarna	A8415AA-D	He Ni Po Da Ho Ht	{ 1 }	(845+3)	[767F]	-	-	A	701	8	SoCf	G1 V	SoCf	
1924	Ebbing	C531536-A	Ni Po Tz	{ 0 }	(944-1)	[4549]	-	-	-	402	6	SoCf	M1 V	SoCf	
1926	Crius	D999575-8	Ni	{ -3 }	(C41-5)	[3236]	-	-	-	823	12	SoCf	K9 V	SoCf	
1927	Ramaniam	A831869-E	Na Po Ph Cp Ho Mr Ht	{ 3 }	(D7E+4)	[9B6F]	-	KM	-	603	10	SoCf	G3 V	SoCf	
1928	Yognigath	E863453-8	Ni Co Tu	{ -3 }	(631-5)	[1125]	-	-	-	400	11	SoCf	M2 V	SoCf	
1930	Langas	B43646B-D	Ni Tz Mr Ht	{ 2 }	(735+4)	[667F]	-	KM	-	501	11	SoCf	M1 V M9 V	SoCf	
2024	Vacob	C433640-A	Na Ni Po Fr Sa	{ 0 }	(C54-4)	[1615]	-	-	-	804	16	SoCf	M1 V	SoCf	
2026	McNellen	B54136A-B	He Lo Po An Da Mr	{ 2 }	(922+4)	[557D]	-	KM	A	504	12	SoCf	F7 V	SoCf	
2029	Helm	E874865-6	Pa Ph Pi O:2030	{ -2 }	(A75-4)	[6634]	-	-	-	404	12	SoCf	F6 V M0 V	SoCf	
2030	Koskiku	B577830-A	Pa Ph Pi	{ 2 }	(D7B-2)	[3A15]	-	-	-	403	8	SoCf	K7 V M3 V	SoCf	
2122	Ahto	C67A376-B	Lo Wa Co Tz	{ 0 }	(620-1)	[234A]	-	-	-	110	5	SoCf	M1 V M8 V	SoCf	
2124	Ginivia	A7A4554-E	Fl Ni Co Tz Ht	{ 1 }	(A45-1)	[363C]	-	-	-	203	8	SoCf	M1 V	SoCf	
2126	Paxton	B420121-D	De He Lo Po Tz Ht	{ 2 }	(502-2)	[1319]	-	KM	-	202	12	SoCf	M2 V	SoCf	
2127	Yama	C530855-A	De Na Po Ph Ho	{ 1 }	(A7A-1)	[6938]	-	-	-	900	4	SoCf	G1 V G5 V	SoCf	
2128	Jaro	D555469-7	Ni Pa O:1927 Lk	{ -3 }	(631-2)	[5168]	-	-	-	514	14	SoCf	F9 V	SoCf	
2130	Burris	X69A300-6	Lo Wa Fo Sa	{ -3 }	(520-5)	[1111]	-	-	R	901	9	SoCf	G0 V M0 V	SoCf	
2223	Elnor	A554611-B	Ag Ni Lk	{ 2 }	(C56-2)	[2818]	-	-	-	604	13	SoCf	G4 V	SoCf	
2229	Fatagin	B667878-A	Ga Ri Pa Ph	{ 3 }	(C7C+3)	[8B5A]	-	-	-	920	9	SoCf	M3 V M3 V	SoCf	
2230	Tlaloc	E57A112-9	Lo Wa Ho	{ -2 }	(600-5)	[1115]	-	-	-	203	12	SoCf	G5 V M2 V M9 V	SoCf	
2321	Fyffe	E8C9110-9	Fl Lo Tz	{ -2 }	(700-5)	[1114]	-	-	-	204	15	SoCf	M1 V	ImDs	
2324	Kotada	D559354-9	Lo Co	{ -2 }	(B20-4)	[1137]	-	-	-	124	14	SoCf	G6 V M7 V	SoCf	
2421	Court	D5007A8-7	Na Va Pi Co Tz	{ -2 }	(966-2)	[7557]	-	-	-	424	12	SoCf	M2 V	ImDs	
2422	Argon	C55A755-B	Wa Pz	{ 1 }	(D6B-1)	[5839]	-	-	A	904	9	SoCf	G3 V	ImDs	
2423	Kugle	A522656-B	He Na Ni Po Da Fr Sa	{ 1 }	(C55-1)	[574D]	-	-	A	404	9	SoCf	M0 V	ImDs	
2426	Mest	D540454-8	De He Ni Po	{ -3 }	(831-5)	[2136]	-	-	-	102	6	SoCf	K3 V	SoCf	
2522	Sturwold	C500316-A	Lo Va	{ 0 }	(720-1)	[2349]	-	-	-	102	5	SoCf	A3 IV F0 V	ImDs	
2523	Taaksha	C641352-A	He Lo Po Tz	{ 0 }	(820-4)	[1316]	-	-	-	703	8	SoCf	M2 V M9 V	ImDs	
2526	Ghosh	E10068A-9	Na Ni Va Co Lk	{ -2 }	(A52+1)	[847B]	-	-	-	102	6	SoCf	K8 V	SoCf	
2528	Laidlaw	C99A400-C	Ni Wa Tz Ht	{ 0 }	(933-4)	[1417]	-	-	-	903	8	SoCf	M0 V	SoCf	
2529	Seker	D310888-8	Na Ph Pi Sa	{ -2 }	(E76-2)	[8658]	-	-	-	704	8	SoCf	M2 V	SoCf	
2622	Yarling	E899324-8	Lo	{ -3 }	(620-5)	[1136]	-	-	-	110	13	SoCf	M0 V	ImDs	
2625	Morgenstern	E999589-8	Ni An	{ -3 }	(A41-2)	[6269]	-	-	-	312	12	SoCf	G0 V	SoCf	
2628	Iatur	C510A9E-B	Hi In Na Pz Co	{ 3 }	(E9E+5)	[ED9F]	-	-	A	311	14	SoCf	F7 V	ImDs	
2724	Raiden	E59A8A8-8	Wa Ph Pi Tz	{ -2 }	(D76-2)	[8658]	-	-	-	103	8	SoCf	M0 V M7 V	ImDs	
2725	Parkhill	C6A8630-9	Fl Ni	{ -1 }	(C53-5)	[1514]	-	-	-	513	12	SoCf	K9 V	ImDs	
2726	Orpurgo	C432556-C	Ni Po Tz Ht	{ 0 }	(D44-1)	[454B]	-	-	-	824	14	SoCf	M2 V	SoCf	
