Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar			
1128	Eikhaaw	C88978C-9	Ri	{ 1 }	(C6A+4)	[A88C]	-	-	-	903	13	AsTv	F1 V			
1221	Colony Six	A68A541-D	Ni Wa Pr HumaW Ht	{ 1 }	(A45-3)	[1619]	-	-	-	303	12	AsXX	F4 V M4 V			
1222	Goertel	B6688DC-6	Ri Pa Ph HumaW	{ 1 }	(A78+4)	[B989]	-	-	-	122	13	AsXX	F7 V			
1223	Hteakya	B423426-D	Ni Po Ht	{ 1 }	(A34+1)	[354C]	-	-	-	413	9	AsWc	K6 V M3 V			
1226	Khau	C687598-9	Ag Ni Ga Pr	{ 0 }	(B44+1)	[5559]	-	-	-	222	10	AsTv	F8 V M5 V			
1230	Erasaso	B68A136-C	Lo Wa Ht	{ 1 }	(701+1)	[124B]	-	T	-	113	14	AsT4	F2 V M3 V			
1322	Hrahraiu	B42068C-C	De He Na Ni Po Ht	{ 1 }	(855+4)	[978F]	-	T	-	800	7	AsT9	M6 V			
1323	Hliyh	B200AB7-E	Hi In Na Va Huma4 Ht	{ 4 }	(E9G+4)	[AE5E]	-	R	-	102	12	AsMw	F8 V			
1324	Eilaeah	B863267-B	Lo O:1323	{ 1 }	(911+1)	[235B]	-	-	-	414	12	AsMw	G6 V			
1426	Yestahwye	B9A4656-C	Fl Ni Ht	{ 1 }	(A55+1)	[574B]	-	-	-	602	12	AsVc	M4 V			
1429	Fiyleakh	B41389A-C	Ic Na Ph Pi Ht	{ 2 }	(E7C+4)	[AA7E]	-	R	-	604	13	AsVc	F6 V M0 V			
1524	Tryaoke	D556978-8	Hi	{ -1 }	(C88-1)	[9858]	-	-	-	801	8	AsSc	K8 V			
1530	A'eouya	E550000-0	Ba De Po Fo Lt	{ -3 }	(200-5)	[0000]	-	-	R	012	13	AsXX	F2 V			
1621	Akhwohkyal	BA95688-9	Ag Ni An	{ 1 }	(C55+1)	[6759]	-	-	-	113	8	AsWc	G7 V			
1626	Ftiys	C76A325-7	Lo Wa	{ -2 }	(520-4)	[1135]	-	R	-	714	15	AsMw	F2 V M1 V			
1630	Eauhti	B540479-B	De He Ni Po	{ 1 }	(B34+2)	[556C]	-	R	-	432	12	AsSc	F3 V M1 V			
1723	Oiwoiieaw	B787897-A	Ga Ri Pa Ph	{ 3 }	(C7C+3)	[8B5A]	-	-	-	711	13	AsVc	F0 V M7 V			
1728	Asoieteal	B697688-A	Ag Ni	{ 2 }	(C56+2)	[685A]	-	R	-	604	16	AsWc	F2 V			
1823	Camoran	A55167A-B	Ni Po HumaW	{ 1 }	(D55+3)	[877D]	-	-	-	514	12	AsXX	F9 V			
1830	Keaih	CAA5887-9	Fl Ph	{ 0 }	(C79+1)	[8859]	-	-	-	202	15	AsWc	K1 V M3 V			
1927	Ohaualr	B422388-B	He Lo Po	{ 1 }	(A21+1)	[345B]	-	T	-	214	11	AsTv	M9 V			
1928	Tlaiowaha	B420954-E	De He Hi In Na Po Ht	{ 4 }	(D8G+2)	[7D3C]	-	T	-	411	10	AsT1	F4 V			
2023	Khusai	A576655-C	Ag Ni Ht	{ 2 }	(E56+1)	[483A]	-	R	-	724	19	AsVc	F7 V			
2029	Staha	B755486-B	Ni Ga Pa	{ 1 }	(A34+1)	[354A]	-	R	-	313	13	AsMw	F3 V D			
2123	Asim	B867564-6	Ag Ni Ga Pr HumaW O:2324	{ 0 }	(744-2)	[3534]	-	-	-	205	10	AsXX	F2 V			
2125	Kteiroa	C560164-8	De Lo O:	{ -2 }	(400-4)	[1136]	-	-	-	710	7	AsMw	F5 V			
2221	Torpol	B55A77A-8	Wa HumaW	{ 0 }	(F68+2)	[977A]	-	-	-	624	16	AsXX	F4 V			
2223	Drinax	A43645A-E	Ni HumaW Ht	{ 1 }	(B34+3)	[657G]	-	-	-	714	9	AsXX	M1 V			
2226	Tyokh	B566A77-E	Hi Ht	{ 3 }	(G9F+3)	[AD5E]	-	-	-	204	11	AsSc	F4 V M7 V			
2227	Iroioah	B530113-C	De Lo Po Ht	{ 1 }	(801-2)	[1229]	-	-	-	823	12	AsMw	M3 V M4 V			
2229	Hleakhayes	E54348B-7	Ni Po	{ -3 }	(631-1)	[6179]	-	-	-	812	9	AsMw	F2 V M0 V			
2230	Akoaft	E898000-0	Ba Fo Lt	{ -3 }	(200-5)	[0000]	-	-	R	031	17	AsXX	F3 V			
2322	Clarke	B899753-8	Pi HumaW	{ 0 }	(B68-3)	[4725]	-	-	-	820	9	AsXX	F1 V M9 V			
2324	Pourne	A9B2887-A	Fl He Ph HumaW	{ 2 }	(C7B+2)	[8A5A]	-	-	-	902	11	AsXX	F3 V			
2327	The World	E100551-7	Ni Va HumaW	{ -3 }	(741-5)	[1213]	-	-	-	223	10	AsXX	M5 V			
2329	Vorito	E595ABB-A	Hi In HumaW	{ 2 }	(H9C+4)	[CC7C]	-	-	-	105	10	AsXX	F4 V M6 V			
2421	Blue	B543487-B	Ni Po HumaW	{ 1 }	(834+1)	[455B]	-	-	-	702	15	AsXX	F9 V			
2424	Hilfer	B55077A-6	De Po HumaW	{ 0 }	(967+2)	[9778]	-	-	-	600	4	AsXX	M6 V			
2425	Paal	B564679-6	Ag Ni Ri HumaW	{ 1 }	(855+2)	[7767]	-	-	-	603	9	AsXX	F3 V			
2426	Sink	D665220-5	Lo Ga Lt HumaW	{ -3 }	(410-5)	[1111]	-	-	-	813	8	AsXX	F5 V			
2428	Fantasy	E788400-3	Ni Pa HumaW Lt	{ -3 }	(631-5)	[1111]	-	-	-	331	11	AsXX	G2 V			
2527	Byrni	B955699-6	Ag Ni HumaW	{ 0 }	(854+1)	[7667]	-	-	-	404	16	AsXX	F3 V			
2621	Arunisiir	B776530-6	Ag Ni HumaW	{ 0 }	(744-4)	[1511]	-	-	-	103	14	AsXX	F8 V M5 V			
2624	Tech-World	A555154-F	Lo HumaW Ht	{ 1 }	(401-1)	[123C]	-	-	-	310	8	AsXX	F8 V			
2625	Ergo	X767500-3	Ag Ni Ga Pr Fo (Ergosians) Lt	{ -2 }	(742-5)	[1311]	-	-	R	412	13	AsXX	F8 V			
2721	Tanith	A589342-B	Lo HumaW	{ 1 }	(A21-3)	[1417]	-	-	-	105	11	AsXX	M3 V M8 V			
2722	Acrid	AAC1388-D	Fl He Lo (Blotches) Ht	{ 1 }	(821+1)	[345D]	-	-	-	103	13	AsXX	M7 III			
2724	Inurin	E668776-5	Ag Ri Lt HumaW	{ 0 }	(967-1)	[6744]	-	-	-	404	13	AsXX	F7 V M9 V M4 V			
2725	Falcon	A558448-D	Ni Pa HumaW Ht	{ 1 }	(B34+1)	[455D]	-	-	-	405	11	AsXX	F6 V			
2821	Cordan	A895347-9	Lo HumaW	{ 0 }	(820+1)	[3359]	-	-	-	203	10	AsXX	F4 V			
2823	Exe	B300101-A	Lo Va HumaW	{ 1 }	(401-3)	[1216]	-	-	-	601	4	AsXX	K6 V			
2824	Sperle	BA8A78A-7	Oc Ri HumaW	{ 1 }	(969+3)	[9879]	-	-	-	920	6	AsXX	F3 V			
2921	Umemii	C521877-7	He Na Po Ph Pi HumaW	{ -1 }	(A77-1)	[8757]	-	-	-	304	9	AsXX	F5 V			
2923	Argona	B612586-9	Ic Ni HumaW	{ 0 }	(A44-1)	[4548]	-	-	-	403	9	AsXX	K2 V M3 V			
3029	Villane	B100634-8	Na Ni Va	{ -1 }	(C53-3)	[4536]	-	-	-	413	12	NaHu	F1 IV			
3030	Browne	B550A96-9	De Hi Po	{ 2 }	(F9C+1)	[9C48]	-	-	-	903	14	NaHu	G4 V M2 V			
0132	Ftyewirl	B55648A-B	Ni Pa	{ 1 }	(834+3)	[657D]	-	T	-	120	13	AsT7	K4 V			
0134	Elahkoi	C568587-9	Ag Ni Pr	{ 0 }	(B44+1)	[5559]	-	-	-	722	9	AsVc	K2 V			
0135	Uiwuar	B101115-E	Ic Lo Va Ht	{ 1 }	(801-1)	[123C]	-	-	-	605	11	AsMw	F1 V M4 V			
0139	Ealea	B576587-9	Ag Ni	{ 1 }	(745+1)	[5659]	-	-	-	200	8	AsMw	G5 V D			
0232	Yekhtia	B423376-B	Lo Po	{ 1 }	(721+1)	[244A]	-	-	-	211	11	AsSc	G0 V M8 V			
0234	Aehahr	B100449-C	Ni Va Rs Ht	{ 1 }	(A34+2)	[556D]	-	-	-	522	15	AsVc	M7 V M9 V			
0236	Ftoakh	E673A7B-A	Hi In	{ 2 }	(C9C+5)	[DC8D]	-	-	-	200	10	AsSc	F4 V M9 V M7 V			
0240	Aohfeau	B998784-A	Ag Pi	{ 3 }	(B6C+1)	[5A38]	-	-	-	620	14	AsVc	F3 V M8 V			
0332	Hkesuh	B9A4758-B	Fl	{ 2 }	(D6C+2)	[795B]	-	R	-	122	13	AsMw	M4 V			
0335	Eaweiya	A5406B7-A	De He Ni Po	{ 1 }	(955+1)	[675A]	-	T	-	610	11	AsT2	K7 V M3 V			
0336	Awo	C530376-A	De Lo Po O:0633	{ 0 }	(B20-1)	[2349]	-	-	-	724	14	AsSc	M2 V			
0338	Aiyostea	B20068B-9	Na Ni Va	{ 0 }	(D54+2)	[867B]	-	-	-	805	13	AsWc	M5 V D			
0431	Hfa'yuweas	B555388-B	Lo	{ 1 }	(A21+1)	[345B]	-	-	-	305	10	AsWc	F3 V M4 V			
0531	Oseweheal	B79A647-C	Ni Wa Ht	{ 1 }	(B55+1)	[675C]	-	R	-	303	12	AsTv	F7 V M9 V M0 V			
0534	Uaeakhea	B530389-8	De Lo Po An	{ -1 }	(A20+1)	[4269]	-	R	-	214	13	AsMw	F6 V			
0536	Teharl	C654453-A	Ni Pa	{ 0 }	(833-3)	[1427]	-	-	-	620	13	AsVc	F3 V M7 V			
0633	Ehearye	A588779-C	Ag Ri Ht	{ 5 }	(C6F+5)	[8C6D]	-	RT	-	230	12	AsSc	F1 V			
0640	Iysewekh	A52058A-E	De He Ni Po Ht	{ 1 }	(A45+3)	[767G]	-	R	-	503	8	AsT3	F2 V			
0738	Eiwakh	D200777-8	Na Va Pi	{ -2 }	(966-2)	[7558]	-	-	-	200	7	AsSc	M5 V			
0739	Hkeleiakh	E310000-0	Ba Lt	{ -3 }	(200-5)	[0000]	-	-	R	005	15	AsXX	K5 V			
0835	Stohyus	A567886-C	Ri Pa Ph Ht	{ 3 }	(C7D+2)	[7B4B]	-	R	-	902	14	AsTv	F6 V M2 V			
0837	Hkakh	A424546-E	Ni Ht	{ 1 }	(B45+1)	[464D]	-	R	-	704	12	AsWc	K6 V			
0839	Ohtae	B665168-9	Lo Ga O:0835	{ 0 }	(600+1)	[1159]	-	-	-	903	14	AsVc	F8 V M6 V			
0840	Uitasoayaw	B579687-9	Ni	{ 0 }	(B54+1)	[6659]	-	R	-	103	12	AsWc	F3 V D			
0931	Eoiw	B430684-C	De Na Ni Po An Ht	{ 1 }	(B55-1)	[473A]	-	R	-	803	13	AsMw	M0 V M3 V			
0933	Earlyu	B989859-C	Ri Ph Ht	{ 3 }	(B7D+4)	[9B6D]	-	T	-	801	6	AsT2	F3 V M6 V M9 V			
0934	Hkuikhekh	B532316-C	Lo Po Ht	{ 1 }	(921+1)	[244B]	-	-	-	804	14	AsMw	G0 II			
0936	Ewyeyal	B58457A-B	Ag Ni Pr	{ 3 }	(747+5)	[787D]	-	RT	-	100	9	AsSc	K8 V			
0938	Aisaoawi	EAC5000-0	Ba Fl Fo Lt	{ -3 }	(200-5)	[0000]	-	-	R	023	15	AsXX	M0 V			
1034	Eiyehwehakhea	B79A57B-B	Ni Wa	{ 1 }	(A45+3)	[767D]	-	R	-	103	11	AsSc	F9 V			
1036	Haealroiea	B554487-9	Ni Pa	{ 0 }	(933+1)	[4459]	-	R	-	730	15	AsVc	F1 V			
1038	Wuaki	A310545-C	Ni Ht	{ 1 }	(B45-1)	[363A]	-	R	-	413	12	AsMw	M0 V			
1235	Aoiyras	B54068C-9	De He Ni Po	{ 0 }	(C54+3)	[968C]	-	-	-	813	14	AsMw	F0 V			
1236	Irlaiw	C436A75-D	Hi Ht	{ 2 }	(G9E+1)	[8C3B]	-	-	-	813	8	AsSc	M4 V M6 V			
1333	Rileakh	C437855-A	Ph	{ 1 }	(C7A-1)	[6938]	-	-	-	702	12	AsTv	F7 V M6 V M6 V			
1334	Eateaw	E423000-0	Ba Po Lt	{ -3 }	(200-5)	[0000]	-	-	R	004	12	AsXX	M6 V M7 V			
1335	Yu'eal	B432686-C	Na Ni Po Ht	{ 1 }	(E55+1)	[574B]	-	T	-	524	12	AsT4	M6 V M7 V			
1338	Aiuiktiyr	E797449-7	Ni Pa	{ -3 }	(631-2)	[5168]	-	-	-	204	15	AsVc	M9 V			
1339	Htoihfui	A568873-C	Ri Pa Ph Ht	{ 3 }	(F7D+1)	[5B29]	-	R	-	105	11	AsSc	G0 V M4 V M1 V			
1436	Huaholr	B42049C-9	De He Ni Po	{ 0 }	(B33+3)	[748C]	-	R	-	823	18	AsTv	G2 IV			
1438	Teiseirle	BA9A377-8	Lo Oc	{ -1 }	(820-1)	[3258]	-	-	-	703	7	AsSc	F9 V			
1533	Ouiyloi	C574789-8	Ag Pi	{ 0 }	(A68+1)	[8769]	-	-	-	601	11	AsT8	F2 V M1 V			
1534	Stehasu	A520677-C	De He Na Ni Po Ht	{ 1 }	(855+1)	[675C]	-	R	-	800	6	AsSc	M2 V M7 V			
1535	Sosuasaoh	B100858-B	Na Va Ph Pi	{ 2 }	(D7C+2)	[8A5B]	-	R	-	203	11	AsTv	G7 V			
1537	Kheiyyo	C5257B7-9	Pi	{ 0 }	(C69+1)	[7759]	-	-	-	803	14	AsWc	K6 V			
1631	Yai'ilrao	B85836B-B	Lo O:1634	{ 1 }	(921+3)	[547D]	-	-	-	604	13	AsMw	F7 V D			
1634	Aiuite	B645747-A	Ag Pi	{ 3 }	(E6C+3)	[7A5A]	-	R	-	223	16	AsWc	F5 V M3 V			
1637	Awaweaw	E855859-7	Ga Pa Ph (Yont)	{ -2 }	(A76-1)	[9668]	-	-	-	121	12	AsTv	F8 V M9 V			
1731	Wesiyeah	D641259-8	He Lo Po	{ -3 }	(910-2)	[3169]	-	-	-	823	16	AsMw	K4 V			
1733	Aiwewakh	BA96113-B	Lo	{ 1 }	(701-2)	[1228]	-	-	-	404	10	AsMw	G4 V M2 V			
1734	Ohraihah	E8B6787-8	Fl	{ -2 }	(F66-2)	[7558]	-	-	-	124	18	AsWc	F4 V			
1735	Ayayo	B000674-D	As Na Ni Va An Rs Ht	{ 1 }	(A55-1)	[473B]	-	-	-	820	9	AsSc	M0 V			
1736	Feaheaha	E301248-9	Ic Lo Va O:1634	{ -2 }	(410-2)	[2159]	-	-	-	200	11	AsMw	F0 V M7 V			
1835	Afeakter	A69A68A-B	Ni Wa	{ 2 }	(D56+4)	[887D]	-	RT	-	514	16	AsTv	F2 V			
1931	Ralaiw	B420534-D	De He Ni Po Ht	{ 1 }	(B45-1)	[363B]	-	-	-	422	13	AsVc	F4 V			
1933	Ereah	B67A359-D	Lo Wa O:1634 Ht	{ 1 }	(921+2)	[446E]	-	-	-	531	10	AsMw	K8 V			
2133	Hewekho	E10079A-7	Na Va Pi	{ -2 }	(966+1)	[9579]	-	-	-	923	13	AsMw	G6 II M9 V			
2134	Airliweiw	D56767B-6	Ag Ni Ri	{ -1 }	(853+1)	[8578]	-	-	-	513	9	AsSc	F5 V			
2137	Tisilli	B78A945-A	Hi Wa Pr	{ 3 }	(F8D+1)	[7C38]	-	-	-	604	12	NaHu	F0 V M5 V			
2232	Khtiyrlo	DA887CA-6	Ag Ri	{ 0 }	(967+2)	[9778]	-	R	-	222	10	AsMw	M2 V M6 V			
2233	Eaohfose	B6736A7-A	Ni	{ 1 }	(D55+1)	[675A]	-	T	-	105	17	AsT5	K6 V D			
2234	Gikarlum	B310587-9	Ni	{ 0 }	(C44+1)	[5559]	-	-	-	714	11	NaHu	F0 IV			
2332	Burgess	B796633-6	Ag Ni HumaW	{ 0 }	(854-3)	[3623]	-	-	-	703	8	AsXX	F6 V M0 V			
2938	Sarage	B540523-B	De He Ni Po RsG	{ 1 }	(945-2)	[2628]	-	N	-	902	8	CsIm	F1 V			
3140	Auitawry	A56689A-C	Ri Pa Ph An Fo Ht	{ 3 }	(F7E+5)	[AC7E]	-	K	R	514	10	NaDr	G6 V			
