WORLD DATA																			
																			
																			
Sector	Hex	Name	UWP	TC	Remarks	Sophonts 	Details	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	Allegiance	Stars	SS	W	RU
Daib	1411	Ulikaari	C100330-C	Lo Va 				{ 1 }	(721-3)	[1417]	B	W	 	202	ImDi	M1 V M2 V 	F	9	10
Daib	1413	Burnaby	D772524-7	He Ni 				{ -3 }	(741-5)	[3235]	B		 	613	ImDi	K3 V 	F	17	14
Daib	1415	Atun	E566315-7	Lo 				{ -3 }	(521-5)	[1135]	B		 	103	ImDi	M0 V 	F	10	5
Daib	1421	Kimchi	B100443-E	Ni Va 				{ 1 }	(B34-2)	[152B]	B		 	223	ImDi	G4 V 	J	12	106
Daib	1425	Juniper	B100532-E	Ni Va 				{ 1 }	(C45-3)	[161A]	B		 	714	ImDi	M3 V 	J	10	168
Daib	1427	Coquitlam	E100866-9	Na Va 	Ph Pi 		O:1729	{ -1 }	(E78-2)	[7748]	BDe		 	304	ImDi	M1 V 	J	9	627
Daib	1428	Port Kells	E100574-A	Ni Va 				{ -1 }	(A43-3)	[3438]	B		 	212	ImDi	M2 V M9 V 	J	11	84
Daib	1431	HERMES	D100ABA-D	Hi In Na Va 				{ 2 }	(H9E+4)	[CC7F]	BE	S	 	432	ImDi	G6 II M6 V	N	11	8,568
Daib	1438	Firine	C692121-9	He Lo 	Da 			{ -1 }	(711-5)	[1115]	B		A	204	ImDi	G4 V M3 V 	N	12	4
Daib	1439	Kirsch	B573320-B	Lo 				{ 1 }	(821-3)	[1416]	B		 	403	ImDi	K7 V 	N	12	11
Daib	1440	Phars	BA69644-B	Ni Ri 				{ 2 }	(D56+1)	[4839]	BC		 	732	ImDi	K3 V M5 V 	N	12	390
Daib	1502	L'Engle	C67A430-B	Ni Wa 				{ 0 }	(B33-4)	[1416]	B	S	 	223	ImDi	K4 V M8 V 	B	9	59
Daib	1505	Lisle	B88A336-D	Lo Wa 				{ 1 }	(521+1)	[244C]	B	N	 	800	ImDi	M2 V M1 V 	B	10	10
Daib	1506	Purgatory	D635369-7	Lo 	Da 		Px	{ -3 }	(521-2)	[4168]	B		A	604	ImDi	M0 V 	B	12	8
Daib	1508	Wedge	A300863-E	Na Va 	Ph Pi 		O:1608	{ 2 }	(E7D-1)	[5A2B]	BDe		 	404	ImDi	M2 V M9 V 	B	7	1,147
Daib	1509	Vaarini	C556772-8	Ag 				{ 0 }	(D68-4)	[3714]	BC		 	604	ImDi	K6 V M6 V 	B	16	374
Daib	1510	Reyivik	B778687-A	Ag Ni 				{ 2 }	(C56+2)	[685A]	BC		 	104	ImDi	K0 V 	B	8	720
Daib	1511	Tarma	C100665-B	Na Ni Va 	Da 		O:1510	{ 0 }	(954-2)	[4639]	B		A	101	ImDi	M0 V M2 V 	F	12	144
Daib	1512	Marathon	EA5A89B-8	Oc 	Ph 			{ -2 }	(C76+1)	[A67A]	Be		 	802	ImDi	M2 V M9 V 	F	16	504
Daib	1513	Eketta	A571352-E	He Lo 				{ 1 }	(A21-3)	[141A]	B		 	214	ImDi	M2 V K0 V 	F	8	14
Daib	1520	Kitspiox	C552331-9	Lo Po 				{ -1 }	(B21-5)	[1215]	B		 	424	ImDi	M2 V 	F	12	11
Daib	1525	Mendelson	D568338-7	Lo 				{ -3 }	(521-3)	[3157]	B		 	914	ImDi	M2 V 	J	9	7
Daib	1526	Dawn	C566543-9	Ag Ni 	Pr 			{ 0 }	(A44-3)	[2526]	BcC		 	403	ImDi	M2 V K0 V 	J	13	112
Daib	1529	Juuri Banii	A565546-D	Ag Ni 	Cp Pr 			{ 2 }	(946+1)	[474C]	BcC		 	811	ImDi	M2 V 	J	15	216
Daib	1533	Aspare	C100214-C	Lo Va 				{ 0 }	(711-2)	[123A]	B		 	303	ImDi	K6 V M8 V 	N	10	6
Daib	1534	Accent	C541523-9	He Ni Po 				{ -1 }	(843-4)	[2426]	B		 	401	ImDi	K3 V 	N	9	58
Daib	1536	Pierson	C565879-8	Ri 	Pa Ph 	Droy8 		{ 0 }	(B78+1)	[9869]	BcCe	S	 	601	ImDi	G3 V 	N	8	616
Daib	1537	Xenon	AAD5357-F	Lo 				{ 1 }	(921+1)	[345F]	B		 	604	ImDi	M0 V 	N	9	18
Daib	1539	Kafal	E548351-8	Lo 				{ -3 }	(721-5)	[1114]	B		 	802	ImDi	K7 V 	N	11	7
Daib	1608	Diamond Head	A675837-C		Pa Ph Cp Pi 			{ 2 }	(F7C+2)	[8A5C]	BcDe		 	323	ImDi	M3 V 	B	10	2,520
Daib	1612	Parnassis	C000220-C	As Lo Va 				{ 0 }	(811-4)	[1217]	B		 	104	ImDi	K8 IV 	F	10	5
Daib	1614	Sissel	C774300-A	Lo 				{ 0 }	(A21-4)	[1315]	B		 	714	ImDi	K1 V M0 V 	F	12	12
Daib	1615	Tyrrhenum	D97A668-8	Ni Wa 			O:1616	{ -3 }	(A51-3)	[6358]	B		 	202	ImDi	M2 V 	F	9	35
Daib	1616	Tremor	C699622-9	Ni 				{ -1 }	(B53-5)	[2515]	B		 	503	ImDi	K2 V 	F	13	83
Daib	1617	Constantine	E544733-6	Ag 	Pi 			{ -1 }	(966-4)	[4623]	BCD		 	133	ImDi	K1 V M2 V 	F	9	194
Daib	1618	Vendel's Star	B626346-C	Lo 				{ 1 }	(821+1)	[244B]	B		 	303	ImDi	G6 V 	F	11	16
Daib	1626	Handel	B544433-B	Ni 	Pa 			{ 1 }	(B34-2)	[1528]	Bc		 	314	ImDi	K3 V 	J	14	106
Daib	1627	Mozart	E400441-9	Ni Va 	Da 			{ -2 }	(931-5)	[1215]	B		A	103	ImDi	G6 III D 	J	13	14
Daib	1629	Schubert	C433611-A	Na Ni Po 				{ 0 }	(B54-4)	[2616]	B		 	203	ImDi	M0 V	J	7	132
Daib	1630	Hadria	CA8A344-B	Lo Oc 				{ 0 }	(A21-2)	[1339]	B		 	223	ImDi	M0 V 	J	9	16
Daib	1632	Litten	C547320-9	Lo 				{ -1 }	(521-5)	[1214]	B		 	200	ImDi	F7 V 	N	14	5
Daib	1635	Brewin	A784200-E	Lo 				{ 1 }	(911-3)	[1319]	B		 	814	ImDi	M1 V 	N	10	6
Daib	1637	OIFUERR	B310AD9-E	Hi In Na 	Cp 	Asla8 		{ 4 }	(F9G+5)	[BE6F]	BEF		 	603	ImDi	M4 V	N	6	10,800
Daib	1639	Axis	D434212-9	Lo 				{ -2 }	(811-5)	[1115]	B		 	322	ImDi	M2 V	N	7	4
Daib	1701	Ossifur	C8D3641-9	Ni 				{ -1 }	(C53-5)	[2515]	B		 	704	ImDi	M0 V 	C	11	90
Daib	1705	Enigma	D400111-9	Lo Va 				{ -2 }	(711-5)	[1115]	B		 	104	ImDi	M2 V 	C	7	4
Daib	1708	Tarens	A400679-E	Na Ni Va 				{ 1 }	(A55+2)	[776F]	B		 	502	ImDi	M2 V M2 V 	C	11	500
Daib	1711	Kikish	D000266-A	As Lo Va 			O:1811	{ -1 }	(511-2)	[1149]	B		 	210	ImDi	K1 V M2 V 	G	5	4
Daib	1712	Kiinia	EAD9642-8	Ni 				{ -3 }	(C51-5)	[2314]	B		 	313	ImDi	M1 V M8 V M7 V 	G	8	30
Daib	1716	Iisar	E85959E-8	Ni 				{ -3 }	(C41+1)	[929C]	B		 	605	ImDi	M2 V 	G	8	48
Daib	1721	Ur	B425415-D	Ni 				{ 1 }	(834-1)	[253B]	B		 	220	ImDi	M3 V M5 V 	K	11	86
Daib	1724	Uukaminukhu	DA8A746-8	Oc Ri 	Pz 			{ -1 }	(F67-2)	[6647]	BC		A	915	ImDi	G5 V M2 V	K	9	504
Daib	1725	Beethoven	C55A476-B	Ni Wa 				{ 0 }	(C33-1)	[344A]	B		 	615	ImDi	M2 V M8 V 	K	10	97
Daib	1729	CORVE	B572ABA-B	He Hi In 		(Bruhre) 		{ 4 }	(G9F+5)	[CE7D]	BEf		 	604	ImDi	K1 V M2 V 	K	12	10,800
Daib	1730	Tyres	A653200-E	Lo Po 				{ 1 }	(A11-3)	[1319]	B		 	815	ImDi	M0 V M1 V 	K	9	7
Daib	1731	Phillips World	B94A643-C	Ni Wa 				{ 1 }	(C55-2)	[3729]	B		 	704	ImDi	M0 V	O	9	240
Daib	1734	Victoria	D100799-9	Na Va 	Pi 			{ -1 }	(D68+1)	[866A]	BD	S	 	604	ImDi	K4 V M7 V 	O	14	624
Daib	1736	Stasin	E000220-A	As Lo Va 				{ -1 }	(611-5)	[1115]	B		 	202	ImDi	M2 V M8 V 	O	10	3
Daib	1737	Charon	C4347A9-A					{ 1 }	(B6A+2)	[886B]	B		 	702	ImDi	K2 V 	O	11	1,320
Daib	1739	Coast	D668769-6	Ag Ri 			O:1637	{ 0 }	(967+1)	[8767]	BC		 	824	ImDi	K0 V 	O	9	378
Daib	1802	Naagishda	E200656-9	Na Ni Va 				{ -2 }	(E52-3)	[5448]	B		 	315	ImDi	M3 V K8 V 	C	9	98
Daib	1810	Shigakham	A100300-F	Lo Va 				{ 1 }	(921-3)	[141A]	B		 	404	ImDi	M2 V 	C	7	13
Daib	1811	Tower	C769776-9	Ri 				{ 1 }	(F6A+1)	[6848]	BC		 	933	ImDi	M1 V 	G	14	900
Daib	1812	Enlu	D544514-7	Ag Ni 				{ -2 }	(742-4)	[3335]	BC		 	903	ImDi	G9 V M1 V 	G	13	34
Daib	1818	Duugi	C100400-D	Ni Va 				{ 0 }	(633-4)	[1418]	B		 	800	ImDi	K2 V 	G	13	32
Daib	1819	Mater	E766300-8	Lo Ga 	Da 			{ -3 }	(B21-5)	[1113]	B		A	124	ImDi	M0 V 	G	13	11
Daib	1820	Aquilon	A645367-D	Lo 			Mr	{ 1 }	(A21+1)	[345D]	B	N	 	205	ImDi	M1 V 	G	9	20
Daib	1821	Sardinia	E1007BB-9	Na Va 	Pi 			{ -1 }	(D68+1)	[967B]	BD		 	613	ImDi	M1 V 	K	10	624
Daib	1824	Bould	C100200-D	Lo Va 				{ 0 }	(611-4)	[1218]	B		 	702	ImDi	K6 V M0 V 	K	15	4
Daib	1825	Wishart	E310201-A	Lo 				{ -1 }	(911-5)	[1116]	B		 	123	ImDi	M1 V M9 V 	K	11	5
Daib	1827	Leesing	E775452-8	Ni 	Pa 			{ -3 }	(831-5)	[1114]	Bc		 	102	ImDi	G1 V 	K	12	12
Daib	1829	Panorama Ridge	D200584-9	Ni Va 				{ -2 }	(C42-4)	[3337]	B		 	723	ImDi	M3 V M7 V 	K	9	58
Daib	1831	Saint Dalmatia	B424756-D		Pi 			{ 2 }	(A6D+1)	[694C]	BD		 	201	ImDi	M3 V 	O	11	780
Daib	1832	Serindipity	X75A431-5	Ni Wa 	Fo 			{ -3 }	(631-5)	[1111]			R	504	ImDi	M1 V M5 V 	O	13	9
Daib	1838	Ash	C96A334-B	Lo Wa 				{ 0 }	(A21-2)	[1339]	B		 	123	ImDi	G2 V 	O	12	16
Daib	1901	Erin's Star	C694524-9	Ag Ni 				{ 0 }	(C44-2)	[3537]	BC	S	 	714	ImDi	M1 V 	C	15	154
Daib	1902	Ikkusham	B100447-E	Ni Va 				{ 1 }	(834+1)	[455E]	B	N	 	802	ImDi	K3 V M6 V 	C	8	96
Daib	1903	Specter	B100200-F	Lo Va 				{ 1 }	(411-3)	[131A]	B		 	100	ImDi	M2 V 	C	8	3
Daib	1904	Daisy	C3008A8-A	Na Va 	Ph Pi 			{ 1 }	(E7A+1)	[895A]	BDe		 	113	ImDi	M2 V 	C	11	980
Daib	1907	Salona	E737610-7	Ni 				{ -3 }	(851-5)	[1312]	B		 	523	ImDi	G2 V M2 V	C	15	20
Daib	1909	Tranquility	D310155-A	Lo 				{ -1 }	(711-3)	[1138]	B		 	904	ImDi	G8 V 	C	7	5
Daib	1911	Kagusamar	C200234-B	Lo Va 				{ 0 }	(A11-2)	[1239]	B		 	824	ImDi	K3 V 	G	9	8
Daib	1916	Girgaleka	A427689-E	Ni 	Da 			{ 1 }	(F55+2)	[776F]	B		A	725	ImDi	M2 V 	G	10	750
Daib	1922	Udo	A9896BB-D	Ni Ri 	Cp 			{ 2 }	(B56+4)	[887F]	BC		 	912	ImDi	M2 V M7 V 	K	9	1,320
Daib	1925	Prince	D564255-8	Lo 				{ -3 }	(511-5)	[1136]	B		 	101	ImDi	K3 V	K	10	3
Daib	1929	Khatmandu	E588334-7	Lo 				{ -3 }	(521-5)	[1135]	B		 	403	ImDi	M1 V 	K	13	5
Daib	1930	Mott	C551114-9	Lo Po 				{ -1 }	(711-3)	[1137]	B		 	904	ImDi	F9 V M8 V 	K	12	5
Daib	1933	Pearl	C500596-A	Ni Va 				{ 0 }	(944-1)	[4549]	B		 	320	ImDi	K3 V 	O	13	130
Daib	1934	NARYA	C877ADD-A	Hi In 				{ 3 }	(F9D+5)	[ED9E]	BE	S	 	312	ImDi	K6 V	O	13	8,775
Daib	1935	Huntress	A200589-F	Ni Va 				{ 2 }	(946+3)	[676G]	B	W	 	302	ImDi	K3 V M8 V 	O	13	648
Daib	1936	Dionitia	D893465-7	Ni 	Da 		O:1934	{ -3 }	(631-5)	[2135]	B		A	613	ImDi	M3 V M9 V 	O	10	9
Daib	1938	Nanaimo	C100354-D	Lo Va 				{ 0 }	(B21-2)	[133B]	B		 	524	ImDi	M1 V 	O	9	18
Daib	1939	Stewart	E310246-9	Lo 				{ -2 }	(811-3)	[1148]	B		 	713	ImDi	K7 IV 	O	10	6
Daib	2001	Zazish	A63A68B-F	Ni Wa 	Cp 			{ 2 }	(956+4)	[887H]	B	NS	 	401	ImDi	G0 V 	C	11	1,080
Daib	2004	Zagiku	B424532-D	Ni 				{ 1 }	(D45-3)	[1619]	B		 	515	ImDi	K4 V 	C	9	182
Daib	2005	Maduun	B538332-C	Lo 				{ 1 }	(921-3)	[1418]	B		 	904	ImDi	K7 V 	C	10	13
Daib	2007	Corvus	A544435-D	Ni 	Pa 			{ 1 }	(934-1)	[253B]	Bc		 	803	ImDi	M3 V M2 V 	C	9	97
Daib	2009	Epkiip	B894553-C	Ag Ni 				{ 2 }	(A46-1)	[2729]	BC		 	712	ImDi	G0 V 	C	10	216
Daib	2010	Horsefly	E84A445-9	Ni Wa 	Da 			{ -2 }	(A31-4)	[2237]	B		A	213	ImDi	K2 V 	C	9	18
Daib	2011	UNKASHE	D549AAE-B	Hi In 				{ 2 }	(J9D+5)	[EC9F]	BE	S	 	424	ImDi	M0 V 	G	12	10,530
Daib	2013	Kukisakuga	B9D447A-C	Ni 				{ 1 }	(D34+3)	[657E]	B	N	 	725	ImDi	K8 V M8 V	G	10	468
Daib	2014	AMDANI	A865AEA-F	Hi Ga 	Cp 			{ 3 }	(G9F+5)	[CD7H]	BEF		 	904	ImDi	M3 V 	G	13	10,800
Daib	2015	Agukikhiga	C879311-A	Lo 				{ 0 }	(921-4)	[1316]	B		 	513	ImDi	M3 V 	G	12	11
Daib	2020	Raven's Wood	B565301-C	Lo 				{ 1 }	(A21-3)	[1418]	B		 	923	ImDi	K0 V	G	11	14
Daib	2021	Escher	C978730-8	Ag 	Pi 			{ 0 }	(E68-4)	[2713]	BCD		 	323	ImDi	K3 V M7 V 	K	9	403
Daib	2023	Fender	A100865-F	Na Va 	Ph Pi 		O:1922	{ 2 }	(D7E+1)	[6A3D]	BDe		 	703	ImDi	K1 V M6 V 	K	13	1,274
Daib	2025	Baarn	C0007A6-B	As Na Va 	Pi 			{ 1 }	(A6B+1)	[684A]	BD		 	210	ImDi	M2 V M2 V 	K	15	660
Daib	2028	DUDIN	D745A67-A	Hi In 	Pz 		Mr	{ 2 }	(E9C+2)	[AC5A]	BE		A	702	ImDi	M1 V 	K	12	3,024
Daib	2031	Ring	B437267-D	Lo 			O:1934	{ 1 }	(811+1)	[235D]	B	N	 	904	ImDi	G0 V M4 V 	O	12	8
Daib	2033	Brennan	B572634-A	He Ni 				{ 1 }	(A55-1)	[4738]	B		 	420	ImDi	M1 V 	O	14	225
Daib	2039	Ladanyi	C43445A-C	Ni 				{ 0 }	(B33+2)	[647E]	B		 	823	ImDi	K6 V	O	16	198
Daib	2040	Ciaran	B797754-B	Ag 	Pi 			{ 3 }	(D6D+1)	[5A39]	BCD		 	504	ImDi	K7 V M7 V	O	10	1,014
Daib	2102	Delany	E78A452-A	Ni Wa 				{ -1 }	(832-5)	[1316]	B		 	411	ImDi	M2 V 	C	12	24
Daib	2107	Cobald	C645102-A	Lo 				{ 0 }	(411-4)	[1116]	B		 	110	ImDi	M2 V K7 V 	C	5	2
Daib	2108	Botirill	C637146-A	Lo 				{ 0 }	(A11-1)	[1149]	B		 	925	ImDi	M3 V M1 V 	C	10	9
Daib	2109	Shurugashad	C000305-D	As Lo Va 	Da 			{ 0 }	(921-2)	[133B]	B		A	804	ImDi	G9 V 	C	8	14
Daib	2111	Vettesse	D3108CB-8	Na 	Ph Pi 			{ -2 }	(B76+1)	[A67A]	BDe		 	401	ImDi	M3 V M2 V 	G	11	462
Daib	2113	Ahmun	C10078C-B	Na Va 	Pi 			{ 1 }	(C6B+4)	[A88E]	BD		 	112	ImDi	K3 V M5 V 	G	9	3,168
Daib	2116	Lappin	CAF5765-9				O:2014	{ 0 }	(D69-2)	[5737]	B		 	513	ImDi	M1 V M7 V 	G	10	562
Daib	2119	Macella	A53657B-E	Ni 				{ 1 }	(C45+3)	[767G]	B	N	 	423	ImDi	K3 V M5 V 	G	14	720
Daib	2121	Amarsi	E994733-6	Ag 	Pi 			{ -1 }	(966-4)	[4623]	BCD		 	913	ImDi	M0 V M7 V 	K	10	194
Daib	2122	Ditcham	D786131-7	Lo Ga 				{ -3 }	(311-5)	[1113]	B	S	 	504	ImDi	M1 V 	K	9	2
Daib	2124	Ahwai	E591574-7	He Ni 				{ -3 }	(741-5)	[3235]	B		 	804	ImDi	M3 V M0 V 	K	9	14
Daib	2126	Lorimer	B987483-B	Ni 	Pa 			{ 1 }	(834-2)	[1528]	Bc		 	802	ImDi	M1 V M8 V 	K	8	77
Daib	2129	Phong	C564645-8	Ag Ni Ri 				{ 0 }	(954-2)	[4636]	BC		 	510	ImDi	M1 V 	K	14	144
Daib	2131	Mackswith	C100369-C	Lo Va 			O:1729	{ 0 }	(821+1)	[436D]	B		 	912	ImDi	M0 V M6 V 	O	16	16
Daib	2136	Eurtrik	B572466-B	He Ni 			O:2137	{ 1 }	(934+1)	[354A]	B		 	303	ImDi	M0 V 	O	12	108
Daib	2137	KARUKHI	C567AED-C	Hi 	Pz 	(minor)		{ 2 }	(E9D+5)	[EC9G]	BE		A	702	ImDi	M0 V 	O	9	8,190
Daib	2202	Memmmulid	D998333-7	Lo 				{ -3 }	(521-5)	[1124]	B	S	 	504	ImDi	K8 V 	C	7	5
Daib	2203	Vargus	D84A430-9	Ni Wa 				{ -2 }	(831-5)	[1214]	B	S	 	802	ImDi	M2 V M3 V 	C	15	12
Daib	2212	Chilton	C541766-8	He Po 	Pi 		O:2113	{ -1 }	(E67-2)	[6647]	BD		 	314	ImDi	K2 V 	G	14	470
Daib	2214	Wagnild	C435687-A	Ni 				{ 0 }	(B54+1)	[665A]	B		 	603	ImDi	M0 V M2 V M7 V 	G	13	220
Daib	2217	Uvatha	D595422-7	Ni 	Pa Da 			{ -3 }	(631-5)	[1113]	Bc		A	100	ImDi	G3 V 	G	10	9
Daib	2224	Lok	B879485-C	Ni 				{ 1 }	(634-1)	[253A]	B		 	600	ImDi	M2 V 	K	10	65
Daib	2228	Ren	C887212-9	Lo Ga 				{ -1 }	(911-5)	[1115]	B		 	705	ImDi	M3 V 	K	9	5
Daib	2231	Murazor	B558334-B	Lo 		Asla4 		{ 1 }	(721-1)	[1439]	B		 	102	ImDi	M3 V M0 V 	O	11	13
Daib	2232	Akorahil	E425587-9	Ni 				{ -2 }	(B42-2)	[5359]	B		 	313	ImDi	K0 V M6 V 	O	11	70
Daib	2234	Guiv	D310566-9	Ni 			O:2535	{ -2 }	(B42-3)	[4348]	B		 	204	ImDi	M3 V 	O	8	62
Daib	2235	Hela	C8878A8-8	Ga Ri 	Pa Ph 			{ 0 }	(F78+1)	[8858]	BcCe		 	305	ImDi	M0 V 	O	10	840
Daib	2239	KIMEL	A555AEH-F	Hi 	Cp Pz 			{ 3 }	(G9F+5)	[FDAL]	BEF		A	804	ImDi	M2 V 	O	7	10,800
Daib	2301	Seddon	A96A762-E	Ri Wa 			O:Zaru-2340	{ 3 }	(E6E-1)	[3A1A]	BC		 	605	ImDi	G2 V 	C	8	1,058
Daib	2303	Dibnah	C794776-8	Ag 	Pi 			{ 0 }	(B68-1)	[6747]	BCD	S	 	302	ImDi	M0 V M6 V 	C	12	475
Daib	2306	Comox	C769444-A	Ni 	Da 			{ 0 }	(933-2)	[2438]	B		A	112	ImDi	G1 V M4 V 	C	11	65
Daib	2310	Broguun	B100446-E	Ni Va 				{ 1 }	(934+1)	[354D]	B		 	103	ImDi	F1 V M0 V 	C	9	108
Daib	2311	Llwyellen	C66788C-8	Ga Ri 	Pa Ph 			{ 0 }	(E78+3)	[B88B]	BcCe		 	804	ImDi	M2 V M1 V 	G	13	2,352
Daib	2316	Bagherzadeh	D100238-A	Lo Va 				{ -1 }	(411-1)	[215A]	B		 	600	ImDi	K0 V 	G	11	4
Daib	2319	LAUDUMASH	D310A99-C	Hi In Na 				{ 2 }	(G9D+3)	[BC6D]	BE		 	822	ImDi	A1 V 	G	12	5,616
Daib	2320	Chapel Mews	B6487A9-A	Ag 	Pi 			{ 3 }	(D6C+4)	[8A6B]	BCD	N	 	513	ImDi	M3 V 	G	9	3,744
Daib	2322	Ashurst Wood	C64A101-C	Lo Wa 	Da 			{ 0 }	(911-4)	[1118]	B		A	324	ImDi	K4 V M0 V 	K	9	5
Daib	2323	Zenone	C5667AC-8	Ag Ri 		Droy6 		{ 1 }	(D69+4)	[A88B]	BC		 	904	ImDi	M1 V 	K	8	2,808
Daib	2337	Woosnam	B544113-B	Lo 		(minor)		{ 1 }	(711-2)	[1228]	B	N	 	504	ImDi	G6 V 	O	10	6
Daib	2340	Link	B692773-A	He 	Pi 			{ 2 }	(D6B-1)	[4927]	BD		 	604	ImDi	G3 V 	O	8	772
Daib	2401	Queens	D100779-9	Na Va 	Pi 			{ -1 }	(D68+1)	[866A]	BD		 	713	ImDi	K3 V 	C	10	624
Daib	2404	Giinaca	C581569-9	Ni 	Pr 		O:2501	{ -1 }	(A43+1)	[646A]	Bc		 	303	ImDi	K4 V M1 V 	C	10	120
Daib	2405	Zehpyr	B432457-E	Ni Po 				{ 1 }	(B34+1)	[455E]	B		 	705	ImDi	M1 V 	C	12	132
Daib	2406	Ravkovic	B100120-E	Lo Va 				{ 1 }	(311-3)	[1219]	B	N	 	700	ImDi	K7 V 	C	10	2
Daib	2408	Zelda	A000663-F	As Na Ni Va 			O:2708	{ 1 }	(855-2)	[372C]	B		 	800	ImDi	F2 V M7 V 	C	7	160
Daib	2409	Lesiuii	D562435-7	Ni 				{ -3 }	(631-5)	[2135]	B		 	311	ImDi	K2 V 	C	12	9
Daib	2410	Maiiu	C100767-B	Na Va 	Pi Pz 		O:2708	{ 1 }	(A6B+1)	[785B]	BD		A	410	ImDi	M7 III M5 V 	C	10	660
Daib	2411	Leroux	D426588-9	Ni 				{ -2 }	(742-2)	[5359]	B		 	700	ImDi	M2 V 	G	11	45
Daib	2413	Fyvie	C553463-9	Ni Po 			O:2014	{ -1 }	(632-4)	[1326]	B		 	600	ImDi	F4 V G9 V	G	10	22
Daib	2415	Gilden	A431400-F	Ni Po 				{ 1 }	(834-3)	[151A]	B		 	902	ImDi	K1 V M0 V 	G	12	67
Daib	2419	Miller's Glen	C785451-A	Ni Ga 	Pa 			{ 0 }	(833-4)	[1416]	Bc	S	 	402	ImDi	M1 V 	G	12	43
Daib	2423	TUKERA	E693AA8-A	Hi In 				{ 2 }	(C9C+2)	[AC5A]	BE		 	700	ImDi	M2 V 	K	16	2,592
Daib	2426	Xiang	X581114-3	Lo 	Fo 			{ -3 }	(311-5)	[1131]			R	500	ImDi	G7 V M5 V 	K	5	2
Daib	2428	Girillovitch	D543755-7	Po 	Pi 			{ -2 }	(966-4)	[5535]	BD		 	814	ImDi	M0 V M9 V 	K	11	194
Daib	2429	Rennox	A200113-F	Lo Va 				{ 1 }	(611-2)	[122C]	B		 	812	ImDi	M1 V 	K	13	5
Daib	2431	Battista	C310438-B	Ni 				{ 0 }	(933+1)	[445B]	B		 	912	ImDi	G1 V 	O	6	81
Daib	2432	Corinth	C576685-8	Ag Ni 				{ -1 }	(B53-3)	[4536]	BC		 	203	ImDi	M1 V 	O	10	116
Daib	2435	Fister	X432787-6	Na Po 	Fo 			{ -2 }	(965-2)	[7556]			R	900	ImDi	K0 V 	O	15	216
Daib	2501	Alikaanii	C5327AD-9	Na Po 				{ 0 }	(969+4)	[B79D]	B		 	500	ImDi	M0 V 	D	9	1,944
Daib	2504	Pharnaaka	E54557A-7	Ag Ni 				{ -2 }	(742+1)	[7379]	BC		 	314	ImDi	M2 V M6 V 	D	11	56
Daib	2509	Moyenne	E766344-7	Lo Ga 				{ -3 }	(521-5)	[1135]	B		 	400	ImDi	M1 V M9 V 	D	8	5
Daib	2524	Adanac	CA6A454-C	Ni Oc 				{ 0 }	(733-2)	[243A]	B		 	810	ImDi	M2 V 	L	9	50
Daib	2528	Anchor	B525873-B		Ph Pi 			{ 2 }	(B7C-1)	[5A28]	BDe		 	710	ImDi	M2 V	L	5	832
Daib	2530	Chemi	C888413-9	Ni 	Pa 			{ -1 }	(A32-4)	[1326]	Bc		 	504	ImDi	G2 V 	L	10	36
Daib	2533	Renaissance	B798266-B	Lo 			O:2535	{ 1 }	(911+1)	[134A]	B	N	 	214	ImDi	G7 V M3 V 	P	14	9
Daib	2535	MGG	A551998-E	Hi Po 	Cp 			{ 4 }	(F8G+4)	[9D5E]	BEF	NS	 	604	ImDi	M1 V 	P	13	7,680
Daib	2536	Caverna	BA7A554-E	Ni Oc 				{ 1 }	(C45-1)	[363C]	B	N	 	705	ImDi	M3 V 	P	12	216
Daib	2537	Karma	A988369-D	Lo 			O:2535	{ 1 }	(721+2)	[446E]	B		 	402	ImDi	M1 V 	P	10	28
Daib	2538	Raamiigi	C438525-B	Ni 				{ 0 }	(C44-2)	[3539]	B		 	405	ImDi	M1 V 	P	15	154
Daib	2540	Vengilis	E553300-8	Lo Po 				{ -3 }	(521-5)	[1113]	B		 	800	ImDi	G0 V 	P	10	5
Daib	2603	Felicity	C788100-A	Lo 				{ 0 }	(811-4)	[1115]	B		 	223	ImDi	G5 V 	D	8	5
Daib	2606	Regnander	C541216-9	He Lo Po 				{ -1 }	(711-2)	[1148]	B		 	803	ImDi	M0 V 	D	14	6
Daib	2610	Vaneenoo	B300555-E	Ni Va 				{ 1 }	(A45-1)	[363C]	B		 	103	ImDi	M2 V 	D	12	180
Daib	2611	Locu	D535446-8	Ni 				{ -3 }	(731-4)	[3147]	B		 	501	ImDi	G0 V 	H	14	13
Daib	2621	Dharma	C555599-9	Ag Ni 				{ 0 }	(944+1)	[656A]	BC		 	220	ImDi	G2 V 	L	12	144
Daib	2622	Carnivora	C694664-8	Ag Ni 			O:2720	{ -1 }	(D53-3)	[4536]	BC		 	623	ImDi	K4 V M1 V 	L	12	137
Daib	2623	Regiimaa	C435388-B	Lo 				{ 0 }	(821+1)	[335B]	B		 	303	ImDi	M2 V 	L	10	16
Daib	2624	St. Sebastien	D200310-9	Lo Va 				{ -2 }	(821-5)	[1114]	B		 	303	ImDi	M7 III 	L	7	8
Daib	2626	Paris	A100248-F	Lo Va 	Da 			{ 1 }	(811+1)	[235F]	B		A	922	ImDi	M2 V 	L	7	8
