	Sector	Hex	Name	UWP	TC	Remarks	Sophonts 	Details	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	Allegiance	Stars	s	SS	W	RU	Tech-Mod	St	S	A	H	P	G	L	T	P	B	G	St		Ag 	As 	Ba 	De 	Fl 	He 	Hi 	Ic 	In 	Lo 	Na 	Ni 	Oc 	Po 	Ga 	Ri 	Va 	Wa 	Pa 	Pi 	Pr 	Ph 	An 	Cp		Di 	Fo 	Pz 	Da 	B	c	C	D	e	E	f	F	G	Location	Scout ID	Stars	M1000 Names	M0 Names	Rule of Man Names	Ziru Sirka	Res	Lab	Inf	i	Eff	e	Importance	Homogeneity	Acceptance	Strangeness	Symbols	Population	Human?	Alien?	 Human 	 Non-Human 	Human Minor	Important	Noble				x	y
Milieu 0	Corr	0113	Khikhuushir	C615000-A	Ic 	Di 			{ 0 }	(701-1)	[1028]				202	ImDv	M3 V	1	P	13	0	6	3	6	1	5	0	0	0	10	2	0	2	C	3848								Ic 																		Di 				B									Corr 7086	615-	M3 V	Ka Eto	Khikhuushir	Mipmi	Umaakiipmi	7	0	1	1	-1	-1	+0	1	0	2	8	 2.00 	 0.10 	0	 0 	 2 	0	0						
Milieu 0	Corr	0115	Ka Eto	C543000-A	Po 	Di 			{ 0 }	(B05+3)	[7028]				122	ImDv	M1 V	1	P	7	0	5	3	5	4	3	0	0	0	10	1	2	2	C	4005														Po 												Di 				B									Corr 7243	543-	M1 V	Koergfoes	Ka Eto	Ggiilusm	Gagiilusmer	B	0	5	5	+3	3	+0	7	0	2	8	 1.00 	 0.10 	0	 0 	 1 	0	0						
Milieu 0	Corr	0119	Mikesh	C625000-8		Di 			{ -2 }	(701-1)	[1028]				311	ImDv	K5 V M6 V	2	P	11	0	7	3	6	2	5	0	0	0	8	3	1	1	C	5325																										Di 				B									Corr 8563	625-	K5 V M6 V	Pergzitt	Mikesh	Rirkaashkii	Irkaashkii	7	0	1	1	-1	-1	-2	1	0	2	8	 3.00 	 0.10 	0	 0 	 3 	0	-2						
Milieu 0	Corr	0205	Shushi	C7C0000-8	He 	Di 			{ -2 }	(C04-1)	[5028]				704	ImDv	M0 V	1	P	12	0	5	3	7	12	0	0	0	0	8	7	0	4	C	1						He 																				Di 				B									Corr 3239	7C0-	M0 V	Erlu	Shushi	Aiolltourolk	Shushi	C	0	4	4	-1	-1	-2	5	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-2						
Milieu 0	Corr	0206	Hesarus	C553000-7	Po 	Di 			{ -2 }	(904-1)	[4028]				720	ImDv	M1 V	1	P	8	0	6	3	5	5	3	0	0	0	7	7	2	0	C	1														Po 												Di 				B									Corr 3239	553-	M1 V	Hesarus	Hesarus	Azaga	Gaamzaga	9	0	4	4	-1	-1	-2	4	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-2						
Milieu 0	Corr	0209	Caulins Belt	B000000-7	As Va 	Di 			{ -1 }	(601+1)	[2028]				011	ImDv	M5 V	1	P	9	0	9	2	0	0	0	0	0	0	7	0	1	1	B	1		As 															Va 									Di 				B									Corr 3239	000-	M5 V	Caulins Belt	Caulins Belt	Amundarg	Asmundarguu	6	0	1	1	+1	1	-1	2	0	2	8	 -   	 0.90 	0	 -   	 -   	0	-1						
Milieu 0	Corr	0210	Faraway	E682000-7		Di 			{ -3 }	(701-4)	[4028]				413	ImDv	M1 V	1	P	7	0	1	5	6	8	2	0	0	0	7	4	1	3	E	1																										Di 				B									Corr 3239	682-	M1 V	Faraway	Faraway	Kimkibadn	Khimkibadnim	7	0	1	1	-4	-4	-3	4	0	2	8	 4.00 	 0.10 	0	 0 	 4 	0	-3						
Milieu 0	Corr	0213	Jubal	E553000-A	Po 	Di 			{ -1 }	(601-5)	[2028]				701	ImDv	M0 V	1	P	8	0	1	5	5	5	3	0	0	0	10	7	0	1	E	1														Po 												Di 				B									Corr 3239	553-	M0 V	Muugagen	Jubal	Imguush	Imguush	6	0	1	1	-5	-5	-1	2	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-1						
Milieu 0	Corr	0218	Yubitty	D859000-8		Di 			{ -3 }	(801-4)	[1028]				721	ImDv	F9 V	1	P	12	0	4	4	8	5	9	0	0	0	8	7	2	1	D	1																										Di 				B									Corr 3239	859-	F9 V	Auritaurus	Yubitty	Namulam	Namulam	8	0	1	1	-4	-4	-3	1	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-3						
Milieu 0	Corr	0301	Auritaurus	C100000-9	Va 	Di 			{ -1 }	(905+1)	[6028]				510	ImDv	M7 V	1	P	11	0	7	3	1	0	0	0	0	0	9	5	1	0	C	1																	Va 									Di 				B									Corr 3239	100-	M7 V	Rrev Rigr	Auritaurus	Aargar	Nargar	9	0	5	5	+1	1	-1	6	0	2	8	 5.00 	 0.90 	0	 5 	 1 	0	-1						
Milieu 0	Corr	0304	Irasumshu	F563000-9		Di 			{ -2 }	(501-5)	[1028]				234	ImDv	K9 V	1	P	10	0	2	6	5	6	3	0	0	0	9	2	3	4	F	119																										Di 				B									Corr 3357	563-	K9 V	Koppel	Irasumshu	Earliirk	Ebarliirkig	5	0	1	1	-5	-5	-2	1	0	2	8	 2.00 	 0.10 	0	 0 	 2 	0	-2						
Milieu 0	Corr	0306	Koppel	D7B5000-8	Fl 	Di 			{ -3 }	(901-4)	[2028]				512	ImDv	M8 V	1	P	10	0	4	4	7	11	5	0	0	0	8	5	1	2	D	123					Fl 																					Di 				B									Corr 3361	7B5-	M8 V	Naxx-Iygo	Koppel	Grpash	Girpashgash	9	0	1	1	-4	-4	-3	2	0	2	8	 5.00 	 0.10 	0	 1 	 5 	0	-3						
Milieu 0	Corr	0307	Naxx-Iygo	D561000-A		Di 			{ -1 }	(C03-5)	[1028]				423	ImDv	M2 V K8 V	2	H	11	0	3	4	5	6	1	0	0	0	10	4	2	3	D	273																										Di 				B									Corr 3511	561-	M2 V K8 V	Pamock	Naxx-Iygo	Imekun	Iimekunka	C	0	3	3	-5	-5	-1	1	0	2	8	 4.00 	 0.10 	0	 0 	 4 	0	-1						
Milieu 0	Corr	0308	Pamock	F422000-9	He Po 	Di 			{ -2 }	(B01-3)	[5028]				022	ImDv	M2 V	1	P	12	0	3	6	4	2	2	0	0	0	9	0	2	2	F	447						He 								Po 												Di 				B									Corr 3685	422-	M2 V	Linix' Cha	Pamock	Arapshad	Rapshad	B	0	1	1	-3	-3	-2	5	0	2	8	 -   	 0.10 	0	 -   	 -   	0	-2						
Milieu 0	Corr	0312	Linix' Cha	E543000-8	Po 	Di 			{ -3 }	(701-3)	[5028]				314	ImDv	M1 V	1	P	11	0	1	5	5	4	3	0	0	0	8	3	1	4	E	860														Po 												Di 				B									Corr 4098	543-	M1 V	Beta Regilis	Linix' Cha	Kshash	Kushashalash	7	0	1	1	-3	-3	-3	5	0	2	8	 3.00 	 0.10 	0	 0 	 3 	0	-3						
Milieu 0	Corr	0313	Kumorle	664000-6		Di 			{ -3 }	(702-5)	[1028]				114	ImDv	M2 V	1	L	8	0	1	14	6	6	4	0	0	0	6	1	1	4		2189																										Di 				B									Corr 5427	664-	M2 V	Raiga	Kumorle	Mpamig	Mupamigar	7	0	2	2	-5	-5	-3	1	0	2	8	 1.00 	 0.10 	0	 0 	 1 	0	-3						
Milieu 0	Corr	0401	Raiga	B560000-9	De 	Di 			{ 0 }	(501+1)	[1028]				801	ImDv	M2 V M5 V	2	D	14	0	7	2	5	6	0	0	0	0	9	8	0	1	B	2362				De 																						Di 				B									Corr 5600	560-	M2 V M5 V	Greenrok	Raiga	Ahsirkhugn	Ashsirkhugner	5	0	1	1	+1	1	+0	1	0	2	8	 8.00 	 0.10 	0	 1 	 7 	0	0						
Milieu 0	Corr	0402	Greenrok	E893000-9		Di 			{ -2 }	(601-5)	[1028]				223	ImDv	M5 V	1	P	12	0	1	5	8	9	3	0	0	0	9	2	2	3	E	2445																										Di 				B									Corr 5683	893-	M5 V	Taratun	Greenrok	Isushi	Isushi	6	0	1	1	-5	-5	-2	1	0	2	8	 2.00 	 0.10 	0	 0 	 2 	1	-2						
Milieu 0	Corr	0407	Taratun	C432000-8	Po 	Di 			{ -2 }	(A05+2)	[6028]				403	ImDv	M0 V K3 V	2	P	13	0	7	3	4	3	2	0	0	0	8	4	0	3	C	2546														Po 												Di 				B									Corr 5784	432-	M0 V K3 V	Aka Gee	Taratun	Sirzurmu	Ashbirzurmu	A	0	5	5	+2	2	-2	6	0	2	8	 4.00 	 0.10 	0	 0 	 4 	0	-2						
Milieu 0	Corr	0411	Aka Gee	B611000-7	Ic 	Di 			{ -1 }	(905-1)	[4028]				310	ImDv	K8 V	1	P	12	0	7	2	6	1	1	0	0	0	7	3	1	0	B	2829								Ic 																		Di 				B									Corr 6067	611-	K8 V	Degarla	Aka Gee	Umashmi	Uugmashmi	9	0	5	5	-1	-1	-1	4	0	2	8	 3.00 	 0.10 	0	 0 	 3 	0	-1						
Milieu 0	Corr	0416	Degarla	C9B4000-7	Fl 	Di 			{ -2 }	(906-2)	[1028]				320	ImDv	G5 V	1	P	8	0	7	3	9	11	4	0	0	0	7	3	2	0	C	2831					Fl 																					Di 				B									Corr 6069	9B4-	G5 V	Desolate	Degarla	Shidgur	Ushidgur	9	0	6	6	-2	-2	-2	1	0	2	8	 3.00 	 0.10 	0	 0 	 3 	0	-2						
Milieu 0	Corr	0417	Desolate	D561000-A		Di 			{ -1 }	(A03-5)	[2028]				702	ImDv	M1 V M7 V	2	P	9	0	2	4	5	6	1	0	0	0	10	7	0	2	D	2842																										Di 				B									Corr 6080	561-	M1 V M7 V	Semiplast	Desolate	Oriwnenos	Adgapu	A	0	3	3	-5	-5	-1	2	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-1						
Milieu 0	Corr	0502	Semiplast	C756000-A	Ga 	Di 			{ 0 }	(806-2)	[1028]				801	ImDv	M0 V	1	P	13	0	5	3	7	5	6	0	0	0	10	8	0	1	C	3461															Ga 											Di 				B									Corr 6699	756-	M0 V	Ikhur	Semiplast	Imidedikkis	Midedikkis	8	0	6	6	-2	-2	+0	1	0	2	8	 8.00 	 0.10 	0	 1 	 7 	0	0						
Milieu 0	Corr	0509	Ikhur	D547000-A		Di 			{ -1 }	(A04+1)	[5028]				321	ImDv	G5 V M8 V	2	P	8	0	3	4	5	4	7	0	0	0	10	3	2	1	D	3635																										Di 				B									Corr 6873	547-	G5 V M8 V	Dywosik	Ikhur	Shalir	Shalir	A	0	4	4	+1	1	-1	5	0	2	8	 3.00 	 0.10 	0	 0 	 3 	0	-1						
Milieu 0	Corr	0510	Dywosik	D423000-8	Po 	Di 			{ -3 }	(903-1)	[5028]				002	ImDv	F9 V	1	D	16	0	5	4	4	2	3	0	0	0	8	0	0	2	D	3866														Po 												Di 				B									Corr 7104	423-	F9 V	Vom	Dywosik	Elenkukag	Lenkukag	9	0	3	3	-1	-1	-3	5	0	2	8	 -   	 0.10 	0	 -   	 -   	0	-3						
Milieu 0	Corr	0511	Vom	C200000-7	Va 	Di 			{ -2 }	(906+1)	[3028]				511	ImDv	A9 V	1	H	11	0	7	3	2	0	0	0	0	0	7	5	1	1	C	3881																	Va 									Di 				B									Corr 7119	200-	A9 V	Mowanda	Vom	Aduzin	Gakimduzin	9	0	6	6	+1	1	-2	3	0	2	8	 5.00 	 0.90 	0	 5 	 1 	0	-2						
Milieu 0	Corr	0512	Mowanda	C438000-8		Di 			{ -2 }	(501+1)	[2028]				710	ImDv	M3 V M0 V	2	P	7	0	7	3	4	3	8	0	0	0	8	7	1	0	C	4031																										Di 				B									Corr 7269	438-	M3 V M0 V	Teras	Mowanda	Ggirk	Gegirkag	5	0	1	1	+1	1	-2	2	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-2						
Milieu 0	Corr	0513	Teras	F552000-7	Po 	Di 			{ -3 }	(501-5)	[1028]				502	ImDv	K2 V M0 V	2	L	10	0	2	6	5	5	2	0	0	0	7	5	0	2	F	4090														Po 												Di 				B									Corr 7328	552-	K2 V M0 V	Bersha	Teras	Sushkundag	Ushkundag	5	0	1	1	-5	-5	-3	1	0	2	8	 5.00 	 0.10 	0	 1 	 5 	0	-3						
Milieu 0	Corr	0516	Bersha	C594000-8		Di 			{ -2 }	(805+1)	[4028]				701	ImDv	M0 V	1	P	7	0	5	3	5	9	4	0	0	0	8	7	0	1	C	4120																										Di 				B									Corr 7358	594-	M0 V	Lysio	Bersha	Mukurka	Mukurka	8	0	5	5	+1	1	-2	4	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-2						
Milieu 0	Corr	0601	Lysio	B423000-7	Po 	Di 			{ -1 }	(B04-3)	[1028]				614	ImDv	F6 V	1	P	8	0	9	2	4	2	3	0	0	0	7	6	1	4	B	4148														Po 												Di 				B									Corr 7386	423-	F6 V	Antiquity	Lysio	Imkip	Imkip	B	0	4	4	-3	-3	-1	1	0	2	8	 6.00 	 0.10 	0	 1 	 5 	0	-1						
Milieu 0	Corr	0603	Antiquity	B548000-A		Di 			{ 1 }	(601-3)	[1028]				301	ImDv	M2 V G7 V	2	L	16	0	7	2	5	4	8	0	0	0	10	3	0	1	B	4183																										Di 				B									Corr 7421	548-	M2 V G7 V	Yopogirp	Antiquity	Kaanaza	Kaanaza	6	0	1	1	-3	-3	+1	1	0	2	8	 3.00 	 0.10 	0	 0 	 3 	0	1						
Milieu 0	Corr	0605	Drayne	B566000-A		Di 			{ 1 }	(704-3)	[1028]				501	ImDv	M2 V M7 V	2	P	16	0	7	2	5	6	6	0	0	0	10	5	0	1	B	4454																										Di 				B									Corr 7692	566-	M2 V M7 V	Toddie-lee	Drayne	Iinka	Iinka	7	0	4	4	-3	-3	+1	1	0	2	8	 5.00 	 0.10 	0	 1 	 5 	0	1						
Milieu 0	Corr	0606	Toddie-Lee	B541000-9	He Po 	Di 			{ 0 }	(C05-1)	[4028]				522	ImDv	K9 V M7 V	2	L	10	0	6	2	5	4	1	0	0	0	9	5	2	2	B	4889						He 								Po 												Di 				B									Corr 8127	541-	K9 V M7 V	Heald	Toddie-Lee	Rmakisk	Ramakiskhu	C	0	5	5	-1	-1	+0	4	0	2	8	 5.00 	 0.10 	0	 1 	 5 	0	0						
Milieu 0	Corr	0608	Heald	B545000-9		Di 			{ 0 }	(E06+1)	[4028]				824	ImDv	F3 V	1	P	12	0	7	2	5	4	5	0	0	0	9	8	2	4	B	5058																										Di 				B									Corr 8296	545-	F3 V	Strand	Heald	Drinus	Darinushma	E	0	6	6	+1	1	+0	4	0	2	8	 8.00 	 0.10 	0	 1 	 7 	0	0						
Milieu 0	Corr	0609	Mount	C559000-6		Di 			{ -2 }	(902-5)	[1028]				303	ImDv	M1 V	1	L	11	0	6	3	5	5	9	0	0	0	6	3	0	3	C	5187																										Di 				B									Corr 8425	559-	M1 V	Wieresh	Mount	Ikhazirg	Iskhazirgiin	9	0	2	2	-5	-5	-2	1	0	2	8	 3.00 	 0.10 	0	 0 	 3 	0	-2						
Milieu 0	Corr	0611	Wieresh	E554000-A		Di 			{ -1 }	(702-4)	[3028]				724	ImDv	G1 V	1	D	13	0	1	5	5	5	4	0	0	0	10	7	2	4	E	5366																										Di 				B									Corr 8604	554-	G1 V	Byla Hoso	Wieresh	Grkap	Gerkapan	7	0	2	2	-4	-4	-1	3	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-1						
Milieu 0	Corr	0614	Byla Hoso	D96A000-9	Wa 	Di 			{ -2 }	(703-4)	[1028]				801	ImDv	M2 V M3 V	2	H	8	0	5	4	9	6	10	0	0	0	9	8	0	1	D	5482																		Wa 								Di 				B									Corr 8720	96A-	M2 V M3 V	Tobibak	Byla Hoso	Uurbu	Gurbu	7	0	3	3	-4	-4	-2	1	0	2	8	 8.00 	 0.10 	0	 1 	 7 	0	-2						
Milieu 0	Corr	0617	Demick	C511000-9	Ic 	Di 			{ -1 }	(901+1)	[3028]				104	ImDv	K0 III D	1	D	7	0	7	3	5	1	1	0	0	0	9	1	0	4	C	5564								Ic 																		Di 				B									Corr 8802	511-	K0 III D	Formation	Demick	Kugirru	Khugirrushdur	9	0	1	1	+1	1	-1	3	0	2	8	 1.00 	 0.10 	0	 0 	 1 	0	-1						
Milieu 0	Corr	0709	Shushaka	C849000-8		Di 			{ -2 }	(A04-3)	[1028]				722	ImDv	K6 V	1	P	15	0	7	3	8	4	9	0	0	0	8	7	2	2	C	5753																										Di 				B									Corr 8991	849-	K6 V	Biinersa	Shushaka	Giidaka	Ugiidaka	A	0	4	4	-3	-3	-2	1	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-2						
Milieu 0	Corr	0714	Biinersa	B426000-6		Di 			{ -1 }	(A01-2)	[1028]				823	ImDv	M1 V	1	P	8	0	10	2	4	2	6	0	0	0	6	8	2	3	B	5756																										Di 				B									Corr 8994	426-	M1 V	Buagki	Biinersa	Dkhimk	Dikhimkidii	A	0	1	1	-2	-2	-1	1	0	2	8	 8.00 	 0.10 	0	 1 	 7 	1	-1						
Milieu 0	Corr	0807	Kaasu	C87A000-A	Wa 	Di 			{ 0 }	(804+3)	[6028]				402	ImDv	M2 V K4 V	2	P	17	0	7	3	8	7	10	0	0	0	10	4	0	2	C	1																		Wa 								Di 				B									Corr 3239	87A-	M2 V K4 V	Latu	Kaasu	Ushashu	Usshashuku	8	0	4	4	+3	3	+0	6	0	2	8	 4.00 	 0.10 	0	 0 	 4 	0	0						
Milieu 0	Corr	0815	Latu	D200000-8	Va 	Di 			{ -3 }	(601+1)	[2028]				002	ImDv	M3 V G5 V	2	P	13	0	6	4	2	0	0	0	0	0	8	0	0	2	D	1																	Va 									Di 				B									Corr 3239	200-	M3 V G5 V	Vigh	Latu	Iigagmuda	Gigagmuda	6	0	1	1	+1	1	-3	2	0	2	8	 -   	 0.90 	0	 -   	 -   	0	-3						
Milieu 0	Corr	0816	Vigh	C577000-8		Di 			{ -2 }	(703-4)	[1028]				701	ImDv	M2 V	1	P	10	0	5	3	5	7	7	0	0	0	8	7	0	1	C	1726																										Di 				B									Corr 4964	577-	M2 V	Six Lights	Vigh	Iksharshi	Iksharshi	7	0	3	3	-4	-4	-2	1	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-2						
Milieu 0	Corr	0906	Six Lights	D568000-7		Di 			{ -3 }	(601-2)	[4028]				503	ImDv	K1 V	1	P	6	0	3	4	5	6	8	0	0	0	7	5	0	3	D	1808																										Di 				B									Corr 5046	568-	K1 V	Sebastion	Six Lights	Aagandar	Gagandar	6	0	1	1	-2	-2	-3	4	0	2	8	 5.00 	 0.10 	0	 1 	 5 	1	-3						
Milieu 0	Corr	0910	Sebastion	D556000-A		Di 			{ -1 }	(D03-1)	[6028]				223	ImDv	K7 V	1	L	17	0	2	4	5	5	6	0	0	0	10	2	2	3	D	4083																										Di 				B									Corr 7321	556-	K7 V	Naasakiira	Sebastion	Imilishe	Milishe	D	0	3	3	-1	-1	-1	6	0	2	8	 2.00 	 0.10 	0	 0 	 2 	0	-1						
Milieu 0	Corr	0912	Sluru	E87A000-6	Wa 	Di 			{ -3 }	(801-5)	[3028]				024	ImDv	M4 V	1	L	9	0	3	5	8	7	10	0	0	0	6	0	2	4	E	4189																		Wa 								Di 				B									Corr 7427	87A-	M4 V	Xinox	Sluru	Ulaguk	Urlaguknar	8	0	1	1	-5	-5	-3	3	0	2	8	 -   	 0.10 	0	 -   	 -   	0	-3						
Milieu 0	Corr	0913	Xinox	D572000-A	He 	Di 			{ -1 }	(B03-2)	[4028]				822	ImDv	G6 V M2 V	2	L	11	0	3	4	5	7	2	0	0	0	10	8	2	2	D	4587						He 																				Di 				B									Corr 7825	572-	G6 V M2 V	Draack Elka	Xinox	Arkuzesham	Arkuzesham	B	0	3	3	-2	-2	-1	4	0	2	8	 8.00 	 0.10 	0	 1 	 7 	0	-1						
Milieu 0	Corr	0916	Draack Elka	D542000-A	He Po 	Di 			{ -1 }	(701-3)	[1028]				302	ImDv	F7 V	1	L	13	0	3	4	5	4	2	0	0	0	10	3	0	2	D	4791						He 								Po 												Di 				B									Corr 8029	542-	F7 V	Itasis	Draack Elka	E	Kikhi	7	0	1	1	-3	-3	-1	1	0	2	8	 3.00 	 0.10 	0	 0 	 3 	0	-1						
Milieu 0	Corr	1005	Itasis	D412000-6	Ic 	Di 			{ -3 }	(301-5)	[1028]				122	ImDv	F7 V M9 V	2	H	17	0	5	4	4	1	2	0	0	0	6	1	2	2	D	4881								Ic 																		Di 				B									Corr 8119	412-	F7 V M9 V	Valeneg	Itasis	Gunnirkagim	Gunnirkagim	3	0	1	1	-5	-5	-3	1	0	2	8	 1.00 	 0.10 	0	 0 	 1 	0	-3						
Milieu 0	Corr	1006	Zudagim	C8C2000-6	Fl He 	Di 			{ -2 }	(B01-4)	[1028]				225	ImDv	K4 III	1	P	10	0	7	3	8	12	2	0	0	0	6	2	2	5	C	5102					Fl 	He 																				Di 				B									Corr 8340	8C2-	K4 III	Lasher	Zudagim	Ksagukh	Kasagukhar	B	0	1	1	-4	-4	-2	1	0	2	8	 2.00 	 0.10 	0	 0 	 2 	0	-2						
Milieu 0	Corr	1010	Errd Lomon	D410000-8		Di 			{ -3 }	(902-5)	[1028]				703	ImDv	K5 V	1	P	7	0	5	4	4	1	0	0	0	0	8	7	0	3	D	5146																										Di 				B									Corr 8384	410-	K5 V	Errd Lomon	Errd Lomon	Ipaashak	Irpaashakig	9	0	2	2	-5	-5	-3	1	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-3						
Milieu 0	Corr	1011	686-901	B686000-A	Ga 	Di 			{ 1 }	(B05+4)	[6028]				123	ImDv	M4 V	1	P	8	0	7	2	6	8	6	0	0	0	10	1	2	3	B	1															Ga 											Di 				B									Corr 3239	686-	M4 V	Depot	686-901	Ekluug	Ekluug	B	0	5	5	+4	4	+1	6	0	2	8	 1.00 	 0.10 	0	 0 	 1 	0	1						
Milieu 0	Corr	1013	Nubotech	D562000-9		Di 			{ -2 }	(B03-2)	[4028]				122	ImDv	M4 V M8 V	2	P	9	0	4	4	5	6	2	0	0	0	9	1	2	2	D	1																										Di 				B									Corr 3239	562-	M4 V M8 V	Nubotech	Nubotech	Rishkir	Rishkir	B	0	3	3	-2	-2	-2	4	0	2	8	 1.00 	 0.10 	0	 0 	 1 	0	-2						
Milieu 0	Corr	1107	Justends Four	E567000-7		Di 			{ -3 }	(301-5)	[1028]				012	ImDv	F8 V M3 V	2	P	11	0	2	5	5	6	7	0	0	0	7	0	1	2	E	1																										Di 				B									Corr 3239	567-	F8 V M3 V	Justends Four	Justends Four	Aadurgum	Darladurgum	3	0	1	1	-5	-5	-3	1	0	2	8	 -   	 0.10 	0	 -   	 -   	0	-3						
Milieu 0	Corr	1109	Silibast Ti	F550000-A	De Po 	Di 			{ -1 }	(B01-5)	[2028]				513	ImDv	M1 V F3 V	2	P	9	0	2	6	5	5	0	0	0	0	10	5	1	3	F	1				De 										Po 												Di 				B									Corr 3239	550-	M1 V F3 V	Silibast Ti	Silibast Ti	Aashga	Adashgargu	B	0	1	1	-5	-5	-1	2	0	2	8	 5.00 	 0.10 	0	 1 	 5 	1	-1						
Milieu 0	Corr	1111	Shishkala	C686000-A	Ga 	Di 			{ 0 }	(C07+1)	[4028]				413	ImDv	M2 V	1	P	11	0	5	3	6	8	6	0	0	0	10	4	1	3	C	1															Ga 											Di 				B									Corr 3239	686-	M2 V	Shishkala	Shishkala	Midalloen	Lemansuu	C	0	7	7	+1	1	+0	4	0	2	8	 4.00 	 0.10 	0	 0 	 4 	0	0						
Milieu 0	Corr	1112	Veu Belle	E421000-9	He Po 	Di 			{ -2 }	(A01-1)	[7028]				712	ImDv	M3 V	1	P	13	0	3	5	4	2	1	0	0	0	9	7	1	2	E	1						He 								Po 												Di 				B									Corr 3239	421-	M3 V	Veu Belle	Veu Belle	Gagida	Agida	A	0	1	1	-1	-1	-2	7	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-2						
Milieu 0	Corr	1205	Naadi	B578000-8		Di 			{ -1 }	(907-1)	[1028]				102	ImDv	M2 V	1	P	9	0	7	2	5	7	8	0	0	0	8	1	0	2	B	1																										Di 				B									Corr 3239	578-	M2 V	Naadi	Naadi	Ddgakhashli	Idgakhashli	9	0	7	7	-1	-1	-1	1	0	2	8	 1.00 	 0.10 	0	 0 	 1 	0	-1						
Milieu 0	Corr	1207	Getz	D553000-9	Po 	Di 			{ -2 }	(501+1)	[3028]				210	ImDv	M0 V M4 V	2	P	8	0	4	4	5	5	3	0	0	0	9	2	1	0	D	1														Po 												Di 				B									Corr 3239	553-	M0 V M4 V	Getz	Getz	Mshlinil	Mushlinilar	5	0	1	1	+1	1	-2	3	0	2	8	 2.00 	 0.10 	0	 0 	 2 	0	-2						
Milieu 0	Corr	1209	Denlaar	D695000-7		Di 			{ -3 }	(601-3)	[3028]				422	ImDv	K9 V	1	P	12	0	3	4	6	9	5	0	0	0	7	4	2	2	D	1																										Di 				B									Corr 3239	695-	K9 V	Denlaar	Denlaar	Dgaanmii	Dugaanmiinii	6	0	1	1	-3	-3	-3	3	0	2	8	 4.00 	 0.10 	0	 0 	 4 	0	-3						
Milieu 0	Corr	1210	Lemish	B795000-A		Di 			{ 1 }	(907+5)	[9028]				101	ImDv	M1 V M2 V	2	P	8	0	6	2	7	9	5	0	0	0	10	1	0	1	B	1																										Di 				B									Corr 3239	795-	M1 V M2 V	Lemish	Lemish	Inmakup	Kiginmakup	9	0	7	7	+5	5	+1	9	0	2	8	 1.00 	 0.10 	0	 0 	 1 	0	1						
Milieu 0	Corr	1213	Munhofen	D543000-8	Po 	Di 			{ -3 }	(901-5)	[1028]				723	ImDv	G7 V	1	P	8	0	4	4	5	4	3	0	0	0	8	7	2	3	D	1														Po 												Di 				B									Corr 3239	543-	G7 V	Munhofen	Munhofen	Khimmu	Khimmu	9	0	1	1	-5	-5	-3	1	0	2	8	 7.00 	 0.10 	0	 1 	 6 	1	-3						
Milieu 0	Corr	1216	Antezeno	D637000-9		Di 			{ -2 }	(B01-3)	[1028]				624	ImDv	F6 V	1	P	11	0	4	4	6	3	7	0	0	0	9	6	2	4	D	1																										Di 				B									Corr 3239	637-	F6 V	Antezeno	Antezeno	Kirgel	Khirgeliilar	B	0	1	1	-3	-3	-2	1	0	2	8	 6.00 	 0.10 	0	 1 	 5 	0	-2						
Milieu 0	Corr	1307	Jafla	B898000-A		Di 			{ 1 }	(701-1)	[1028]				313	ImDv	G5 V	1	P	9	0	7	2	8	9	8	0	0	0	10	3	1	3	B	1																										Di 				B									Corr 3239	898-	G5 V	Jafla	Jafla	Sakhapu	Shakhapukha	7	0	1	1	-1	-1	+1	1	0	2	8	 3.00 	 0.10 	0	 0 	 3 	0	1						
Milieu 0	Corr	1309	Dazeys World	D438000-A		Di 			{ -1 }	(501-4)	[1028]				210	ImDv	M3 V	1	P	13	0	5	4	4	3	8	0	0	0	10	2	1	0	D	1																										Di 				B									Corr 3239	438-	M3 V	Dazeys World	Dazeys World	Gupar	Ugupar	5	0	1	1	-4	-4	-1	1	0	2	8	 2.00 	 0.10 	0	 0 	 2 	0	-1						
Milieu 0	Corr	1405	Sutton	C420000-9	De He Po 	Di 			{ -1 }	(D05-1)	[3028]				315	ImDv	K5 V	1	P	13	0	7	3	4	2	0	0	0	0	9	3	1	5	C	1				De 		He 								Po 												Di 				B									Corr 3239	420-	K5 V	Sutton	Sutton	Iiissh	Igiisshiki	D	0	5	5	-1	-1	-1	3	0	2	8	 3.00 	 0.10 	0	 0 	 3 	0	-1						
